distance,Ux
0,0
0.00344828,0.13208
0.00689655,0.263407
0.0103448,0.387496
0.0137931,0.506745
0.0172414,0.611464
0.0206897,0.705739
0.0241379,0.781642
0.0275862,0.84545
0.0310345,0.892998
0.0344828,0.930899
0.037931,0.957194
0.0413793,0.977542
0.0448276,0.990591
0.0482759,1.00063
0.0517241,1.0065
0.0551724,1.01108
0.0586207,1.01346
0.062069,1.01515
0.0655172,1.01617
0.0689655,1.01674
0.0724138,1.01713
0.0758621,1.01729
0.0793103,1.0174
0.0827586,1.01742
0.0862069,1.01741
0.0896552,1.01739
0.0931034,1.01735
0.0965517,1.01731
0.1,1.01727
