velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.0078125,,0.5,0.0937624294749,8.18971500174e-07,1.49175591006e-05,0.00041233094098,0.269515122127,0.309230906938,9.06671826457e-05,0.998984073937,0.672016951749,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.0078125,,0.5,3.35025738275,0.00190845078554,0.183221783576,18.1186217441,3.72132100497,19.860854105,0.179139004303,0.502379008668,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.0078125,,0.5,0.901171313246,0.048124562569,5.84986538907,0.915896830049,0.898477655948,0.914234280487,6.30912774461,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.0078125,,0.5,0.945564806888,0.0508324542262,6.20002864896,0.945832628224,0.94542378603,0.943904851891,5.90665362794,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.0078125,,1.0,0.0937646963152,2.7713505428e-06,0.000136735807922,0.000732995942123,0.269595383168,0.309699582982,6.54140469123e-05,0.998554909919,0.67217892227,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.0078125,,1.0,3.33704684645,0.00190980646828,0.184092531137,18.0560076971,3.74602864713,19.9153238472,0.178027924107,0.504324206472,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.0078125,,1.0,0.892155999022,0.0479869182165,5.85652917863,0.910908787615,0.897227829778,0.914512516482,5.84747510114,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.0078125,,1.0,0.940898771924,0.0514180544053,6.30197833355,0.941624681558,0.940343460338,0.941241031212,6.2841999254,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.015625,,0.5,0.135108405199,6.87413643095e-06,9.86035984478e-05,0.00276024044288,0.283822499288,0.310382374891,0.000140846663004,0.993687262205,0.670334727731,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.015625,,0.5,1.81513985119,0.00631902703809,0.770661581081,5.04300066869,2.0167816337,5.54842912884,0.765647400191,0,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.015625,,0.5,0.914761222956,0.0486186848289,5.89574053622,0.923018296087,0.915391403994,0.922192709029,5.86868234993,0,0,0,UpwindUext,,,,,,
none,,anchoredEikonal,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.015625,,0.5,0.941218727917,0.0509495123163,6.22151822083,0.941245758571,0.941419076045,0.941571352971,6.30252331482,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.015625,,1.0,0.13488084439,9.73700840931e-06,0.00020785830869,0.00299688577488,0.283048354679,0.309926527516,0.000351046819281,0.993363283684,0.672092527331,0,UpwindUext,,,,,,
none,,PDE,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.015625,,1.0,1.80921406614,0.00632675328762,0.773155735398,5.0476393983,2.03329921544,5.65859101571,0.762773368458,0,0,0,UpwindUext,,,,,,
none,,planeFootWave,gradPsiThreshold,leiaRedistancedLevelSetFoam,detrixheAslam,0.5,0.015625,,1.0,0.91442073078,0.0485638750062,5.88866777452,0.923554349487,0.913959993379,0.922375910117,5.85891003206,0,0,0,UpwindUext,,,,,,
