velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
none,,PDE,interval,leiaTestRedistance,detrixheAslam,1,0.00390625,,,,,,,,,,,,,,,,,,,
none,,planeFootWave,interval,leiaTestRedistance,detrixheAslam,1,0.00390625,,,,,,,,,,,,,,,,,,,
none,,anchoredEikonal,interval,leiaTestRedistance,detrixheAslam,1,0.00390625,,,,,,,,,,,,,,,,,,,
none,,PDE,interval,leiaTestRedistance,detrixheAslam,1,0.0078125,,,,,,,,,,,,,,,,,,,
none,,planeFootWave,interval,leiaTestRedistance,detrixheAslam,1,0.0078125,,,,,,,,,,,,,,,,,,,
none,,anchoredEikonal,interval,leiaTestRedistance,detrixheAslam,1,0.0078125,,,,,,,,,,,,,,,,,,,
none,,PDE,interval,leiaTestRedistance,detrixheAslam,1,0.015625,,,,,,,,,,,,,,,,,,,
none,,planeFootWave,interval,leiaTestRedistance,detrixheAslam,1,0.015625,,,,,,,,,,,,,,,,,,,
none,,anchoredEikonal,interval,leiaTestRedistance,detrixheAslam,1,0.015625,,,,,,,,,,,,,,,,,,,
none,,PDE,interval,leiaTestRedistance,detrixheAslam,1,0.03125,,,,,,,,,,,,,,,,,,,
none,,planeFootWave,interval,leiaTestRedistance,detrixheAslam,1,0.03125,,,,,,,,,,,,,,,,,,,
none,,anchoredEikonal,interval,leiaTestRedistance,detrixheAslam,1,0.03125,,,,,,,,,,,,,,,,,,,
