velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
none,,noRedistancing,interval,leiaTestRedistance,detrixheAslam,1,0.00390625,,,,0,0,,,,,,,,,,,,,,
none,,noRedistancing,interval,leiaTestRedistance,detrixheAslam,1,0.00390625,,,,0,0,,,,,,,,,,,,,,
none,,PDE,interval,leiaTestRedistance,detrixheAslam,1,0.00390625,,,,2.12909540175e-08,1.05396771955e-06,,,,,,,,,,,,,,
none,,PDE,interval,leiaTestRedistance,detrixheAslam,1,0.00390625,,,,3.44660626361e-14,8.43769498716e-14,,,,,,,,,,,,,,
none,,planeFootWave,interval,leiaTestRedistance,detrixheAslam,1,0.00390625,,,,1.20065243469e-07,1.65872981917e-05,,,,,,,,,,,,,,
none,,planeFootWave,interval,leiaTestRedistance,detrixheAslam,1,0.00390625,,,,1.08555488411e-15,4.71844785466e-15,,,,,,,,,,,,,,
none,,anchoredEikonal,interval,leiaTestRedistance,detrixheAslam,1,0.00390625,,,,1.20065243469e-07,1.65872981917e-05,,,,,,,,,,,,,,
none,,anchoredEikonal,interval,leiaTestRedistance,detrixheAslam,1,0.00390625,,,,1.0855547147e-15,4.71844785466e-15,,,,,,,,,,,,,,
none,,noRedistancing,interval,leiaTestRedistance,detrixheAslam,1,0.0078125,,,,0,0,,,,,,,,,,,,,,
none,,noRedistancing,interval,leiaTestRedistance,detrixheAslam,1,0.0078125,,,,0,0,,,,,,,,,,,,,,
none,,PDE,interval,leiaTestRedistance,detrixheAslam,1,0.0078125,,,,1.509440936e-07,5.98320269321e-06,,,,,,,,,,,,,,
none,,PDE,interval,leiaTestRedistance,detrixheAslam,1,0.0078125,,,,6.19921330256e-14,1.16573417586e-12,,,,,,,,,,,,,,
none,,planeFootWave,interval,leiaTestRedistance,detrixheAslam,1,0.0078125,,,,4.7755731165e-07,6.50238739325e-05,,,,,,,,,,,,,,
none,,planeFootWave,interval,leiaTestRedistance,detrixheAslam,1,0.0078125,,,,9.14559091437e-16,8.32667268469e-15,,,,,,,,,,,,,,
none,,anchoredEikonal,interval,leiaTestRedistance,detrixheAslam,1,0.0078125,,,,4.7755731165e-07,6.50238739325e-05,,,,,,,,,,,,,,
none,,anchoredEikonal,interval,leiaTestRedistance,detrixheAslam,1,0.0078125,,,,9.14559091437e-16,8.32667268469e-15,,,,,,,,,,,,,,
none,,noRedistancing,interval,leiaTestRedistance,detrixheAslam,1,0.015625,,,,0,0,,,,,,,,,,,,,,
none,,noRedistancing,interval,leiaTestRedistance,detrixheAslam,1,0.015625,,,,0,0,,,,,,,,,,,,,,
none,,PDE,interval,leiaTestRedistance,detrixheAslam,1,0.015625,,,,0.001092273742,0.0253965807394,,,,,,,,,,,,,,
none,,PDE,interval,leiaTestRedistance,detrixheAslam,1,0.015625,,,,2.07328207073e-13,1.87821980191e-12,,,,,,,,,,,,,,
none,,planeFootWave,interval,leiaTestRedistance,detrixheAslam,1,0.015625,,,,1.58853821726e-06,0.000225533056567,,,,,,,,,,,,,,
none,,planeFootWave,interval,leiaTestRedistance,detrixheAslam,1,0.015625,,,,1.07117819389e-15,1.19348975147e-14,,,,,,,,,,,,,,
none,,anchoredEikonal,interval,leiaTestRedistance,detrixheAslam,1,0.015625,,,,1.58853821726e-06,0.000225533056567,,,,,,,,,,,,,,
none,,anchoredEikonal,interval,leiaTestRedistance,detrixheAslam,1,0.015625,,,,1.07117819389e-15,1.19348975147e-14,,,,,,,,,,,,,,
none,,noRedistancing,interval,leiaTestRedistance,detrixheAslam,1,0.03125,,,,0,0,,,,,,,,,,,,,,
none,,noRedistancing,interval,leiaTestRedistance,detrixheAslam,1,0.03125,,,,0,0,,,,,,,,,,,,,,
none,,PDE,interval,leiaTestRedistance,detrixheAslam,1,0.03125,,,,0.00662679881344,0.951373967119,,,,,,,,,,,,,,
none,,PDE,interval,leiaTestRedistance,detrixheAslam,1,0.03125,,,,1.41878875215e-12,1.79269099565e-11,,,,,,,,,,,,,,
none,,planeFootWave,interval,leiaTestRedistance,detrixheAslam,1,0.03125,,,,1.11101347741e-05,0.00159502246754,,,,,,,,,,,,,,
none,,planeFootWave,interval,leiaTestRedistance,detrixheAslam,1,0.03125,,,,1.56190164968e-16,2.08166817117e-15,,,,,,,,,,,,,,
none,,anchoredEikonal,interval,leiaTestRedistance,detrixheAslam,1,0.03125,,,,1.11101347741e-05,0.00159502246754,,,,,,,,,,,,,,
none,,anchoredEikonal,interval,leiaTestRedistance,detrixheAslam,1,0.03125,,,,1.56190164968e-16,2.08166817117e-15,,,,,,,,,,,,,,
