velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
none,,noRedistancing,signedDistanceBounds,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,0.102404570741,2.91168159326e-05,0.0012284744114,0.0121968768926,0.974899925641,1.67557031649,0.0017902114102,0.974999953254,0.290278553302,0,UpwindUext,,,,,,
none,,planeFootWave,signedDistanceBounds,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,0.976900268702,0.0493853547305,6.03568954494,0.981191385627,0.941832349791,0.942945614224,5.99078421326,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,signedDistanceBounds,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.015625,,0.5,0.152371550057,0.000260420462752,0.0216464676439,0.0731151814391,0.95751809828,1.63937616142,0.000476203763939,0.875975771249,0.134893997422,0,UpwindUext,,,,,,
none,,planeFootWave,signedDistanceBounds,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.015625,,0.5,0.994442193297,0.0515202615593,6.318456616,1.00039640176,0.917922980789,0.918687932849,6.283337179,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,signedDistanceBounds,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.230195382878,0.000848068393997,0.0283471722906,0.120721276561,0.906569737975,1.22542911045,0.0511098833184,0.731127876872,0,0,UpwindUext,,,,,,
none,,planeFootWave,signedDistanceBounds,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.03125,,0.5,1.23891055141,0.0524365027856,6.6022213196,1.26966119458,1.03395341361,1.0470074984,6.28451338607,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,signedDistanceBounds,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.0078125,,0.5,0.229120054129,0.00220132955234,0.237805871457,0.331093011051,4.42584642839,4.84179579198,0.174347275409,0.56485702515,0,0,UpwindUext,,,,,,
none,,planeFootWave,signedDistanceBounds,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.0078125,,0.5,0.997163364105,0.0496092888428,6.03681798268,0.99732353343,1.01995591143,1.02459551333,6.00113207878,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,signedDistanceBounds,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.015625,,0.5,0.393325887279,0.0070434828554,1,0,3.54117126382,1.31129885797,0.971245229275,0,0,0,UpwindUext,,,,,,
none,,planeFootWave,signedDistanceBounds,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.015625,,0.5,0.975484340262,0.0499902323955,6.12731931301,0.966944448036,0.940730664929,0.943211377985,5.94147934136,0,0,0,UpwindUext,,,,,,
none,,noRedistancing,signedDistanceBounds,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.03125,,0.5,0.570464330081,0.00696550362158,1,0,1.82284335137,0,1,0,0,0,UpwindUext,,,,,,
none,,planeFootWave,signedDistanceBounds,leiaRedistancedLevelSetFoam,detrixheAslam,8,0.03125,,0.5,0.996899048138,0.0462223813538,5.76791829457,1.00638077293,1.03830388601,1.04601432704,6.25709901831,0,0,0,UpwindUext,,,,,,
