method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
euler,none,linearWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,38.0,19.002871586824988,18.8566020942,0.00618657947495,0.38708720512,36.0801438272,12.1680191304,24.7312182365,0.0253762203843,0,0,0,UpwindUext,,,,,,
euler,none,linearWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.00390625,,1.0,25.0,12.5,30.0333696452,0.00875455542114,0.0657164843042,47.7910345958,21.4837525121,37.1457621884,0.0361593076868,0,0,0,UpwindUext,,,,,,
euler,none,linearWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,13.0,6.501126286875941,11.3131238477,0.00547288728422,0.387551651505,22.9817841972,6.12729236761,16.2522895533,0.076578045279,0,0,0,UpwindUext,,,,,,
euler,none,linearWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,1.0,9.0,4.5,19.2589823479,0.00795220848269,0.116944934283,32.8972786459,12.9822099445,24.1619315534,0.00183968178355,0,0,0,UpwindUext,,,,,,
euler,none,linearWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,5.0,2.5,5.77961158072,0.00439470142532,0.386964652542,11.0500249527,2.62148093918,7.22195415603,0.0629596225518,0,0,0,UpwindUext,,,,,,
euler,none,linearWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0078125,,1.0,3.0,1.5,11.3662144704,0.00732466417267,0.162579866423,18.6442339472,6.27787614606,11.5951972418,0.0430831418049,0,0,0,UpwindUext,,,,,,
euler,none,linearWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.011111111111111112,,0.5,2.0,1.0,3.20939221371,0.00336792376648,0.224558835725,4.52428609224,1.25403033451,2.25617969258,0.0165411638715,0,0.226589329524,0,UpwindUext,,,,,,
euler,none,linearWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.011111111111111112,,1.0,1.0,0.5,7.64198010329,0.00796077721374,0.131671229506,13.7323868856,3.55296780257,7.38418781009,0.130267800101,0,0,0,UpwindUext,,,,,,
euler,none,linearWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,1.27362361782,0.00305057762488,0.206242078347,1.93541703177,1.08350045584,2.07842964979,0.0675870736638,0,0.317071673794,0,UpwindUext,,,,,,
euler,none,linearWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,1.0,1.0,0.5,4.45993223995,0.00772297529217,0.111207411882,8.20400795298,1.57724656621,3.48550934681,0.202768553771,0,0,0,UpwindUext,,,,,,
euler,none,linearWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.022222222222222223,,0.5,1.0,0.5010417092063656,0.570642095201,0.00311659432179,0.16993345995,1.22619704933,1.03699071174,1.92526449914,0.160686263631,0,0.100749821412,0,UpwindUext,,,,,,
euler,none,linearWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.022222222222222223,,1.0,0.0,0.0,2.30365617868,0.00632304692911,0.0148788971367,4.04459757544,1.13471368856,2.10041482682,0.238065347872,0,0.0455558756099,0,UpwindUext,,,,,,
euler,none,linearWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.0,0.0,0.354919409814,0.00317447200218,0.032621097328,0.774184827504,1.00183462148,1.62081619238,0.219738616413,0,0,0,UpwindUext,,,,,,
euler,none,linearWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.03125,,1.0,0.0,0.0,1.07980898064,0.00620207902214,0.0374788231555,1.31619043805,1.0492313956,0.651022166703,0.331898489186,0,0,0,UpwindUext,,,,,,
