frame,time,ix,iy,linf,l2,l1,jump_cells
0,0.00050249263,20,58,8.164260e-02,4.383374e-03,1.093625e-03,
1,0.00099748537,17,63,8.846511e-02,4.519378e-03,1.160739e-03,5.831
2,0.001499978,20,67,1.078378e-01,5.700506e-03,1.523814e-03,5.000
3,0.0020024706,21,58,1.230721e-01,6.371482e-03,1.825498e-03,9.055
4,0.0024974634,18,64,1.122411e-01,6.453799e-03,2.147676e-03,6.708
5,0.002999956,21,59,8.656661e-02,6.114260e-03,2.155578e-03,5.831
6,0.0035024486,23,71,7.611343e-02,5.953882e-03,2.426928e-03,12.166
7,0.0039974414,23,71,7.547883e-02,6.343355e-03,2.864341e-03,0.000
8,0.004499934,25,73,7.715730e-02,6.154838e-03,2.813558e-03,2.828
9,0.0050024266,24,71,6.603917e-02,6.364076e-03,3.162460e-03,2.236
10,0.0054974194,45,73,8.752292e-02,7.257326e-03,3.681807e-03,21.095
11,0.005999912,26,73,8.772651e-02,7.113901e-03,3.648667e-03,19.000
12,0.0065024046,40,51,7.836214e-02,7.314354e-03,3.963575e-03,26.077
13,0.0069973974,46,54,1.164260e-01,8.346471e-03,4.451757e-03,6.708
14,0.00749989,39,50,7.721020e-02,7.737980e-03,4.324268e-03,8.062
15,0.0080023826,43,52,7.842827e-02,7.801240e-03,4.529811e-03,4.472
16,0.0084973754,47,54,1.150575e-01,8.667677e-03,4.905126e-03,4.472
17,0.008999868,45,53,7.739665e-02,8.014044e-03,4.797017e-03,2.236
18,0.0095023606,44,52,7.631384e-02,8.206162e-03,4.984467e-03,1.414
19,0.0099973534,49,55,1.003960e-01,8.829501e-03,5.299616e-03,5.831
20,0.010499846,46,53,7.724637e-02,8.631965e-03,5.375118e-03,3.606
21,0.011002339,50,57,8.597872e-02,9.096010e-03,5.691806e-03,5.657
22,0.011497331,27,69,9.996961e-02,1.034486e-02,6.256557e-03,25.942
23,0.011999824,27,68,1.083955e-01,1.057931e-02,6.492455e-03,1.000
24,0.012502317,28,57,1.145885e-01,1.111238e-02,6.767787e-03,11.045
25,0.012997309,29,71,1.270857e-01,1.174186e-02,7.105032e-03,14.036
26,0.013499802,27,62,1.084899e-01,1.142850e-02,7.076709e-03,9.220
27,0.014002295,53,69,1.112362e-01,1.104330e-02,6.933296e-03,26.926
28,0.014497287,28,67,1.787675e-01,1.200863e-02,7.231690e-03,25.080
29,0.01499978,31,72,2.113391e-01,1.354789e-02,7.816152e-03,5.831
30,0.015502273,30,57,2.206576e-01,1.469778e-02,8.098457e-03,15.033
