metric,bound,pin,nCells,hEff,value,order,state,study
E_GEOM_ALPHA_REL,lipschitzCone,32,1024,0.09921256574801249,0.00401878113161,,COMPLETED,advConv2Dtranslation
E_GEOM_ALPHA_REL,lipschitzCone,64,4096,0.06250000000000001,0.00124098220732,2.54291336625278,COMPLETED,advConv2Dtranslation
E_GEOM_ALPHA_REL,lipschitzCone,128,16384,0.039372532809214794,0.000339395087692,2.805667262814652,COMPLETED,advConv2Dtranslation
E_GEOM_ALPHA_REL,lipschitzCone,256,65536,0.024803141437003122,0.00021619323587,0.9759664474655902,COMPLETED,advConv2Dtranslation
E_GEOM_ALPHA_REL,none,32,1024,0.09921256574801249,0.00474677189069,,COMPLETED,advConv2Dtranslation
E_GEOM_ALPHA_REL,none,64,4096,0.06250000000000001,0.000340898433337,5.699299270988418,COMPLETED,advConv2Dtranslation
E_GEOM_ALPHA_REL,none,128,16384,0.039372532809214794,7.94739664762e-05,3.1511815714941935,COMPLETED,advConv2Dtranslation
E_GEOM_ALPHA_REL,none,256,65536,0.024803141437003122,0.000115876507092,-0.8160507715569271,COMPLETED,advConv2Dtranslation
E_GEOM_ALPHA_REL,stencilBounds,32,1024,0.09921256574801249,0.00478367025033,,COMPLETED,advConv2Dtranslation
E_GEOM_ALPHA_REL,stencilBounds,64,4096,0.06250000000000001,0.000350461666155,5.656184085045296,COMPLETED,advConv2Dtranslation
E_GEOM_ALPHA_REL,stencilBounds,128,16384,0.039372532809214794,7.93142550667e-05,3.2154068415877375,COMPLETED,advConv2Dtranslation
E_GEOM_ALPHA_REL,stencilBounds,256,65536,0.024803141437003122,0.000115877535123,-0.8204232202767936,COMPLETED,advConv2Dtranslation
E_VOL_ALPHA_REL,lipschitzCone,32,1024,0.09921256574801249,0.00285023091297,,COMPLETED,advConv2Dtranslation
E_VOL_ALPHA_REL,lipschitzCone,64,4096,0.06250000000000001,0.000627445720146,3.2752743623964267,COMPLETED,advConv2Dtranslation
E_VOL_ALPHA_REL,lipschitzCone,128,16384,0.039372532809214794,0.000125106158917,3.4895067653402463,COMPLETED,advConv2Dtranslation
E_VOL_ALPHA_REL,lipschitzCone,256,65536,0.024803141437003122,1.98700134857e-05,3.9817320863912236,COMPLETED,advConv2Dtranslation
E_VOL_ALPHA_REL,none,32,1024,0.09921256574801249,0.0012991105987,,COMPLETED,advConv2Dtranslation
E_VOL_ALPHA_REL,none,64,4096,0.06250000000000001,0.00021163360215,3.926825465746016,COMPLETED,advConv2Dtranslation
E_VOL_ALPHA_REL,none,128,16384,0.039372532809214794,1.61935548983e-05,5.562115613754155,COMPLETED,advConv2Dtranslation
E_VOL_ALPHA_REL,none,256,65536,0.024803141437003122,3.61112195839e-05,-1.7355411247079378,COMPLETED,advConv2Dtranslation
E_VOL_ALPHA_REL,stencilBounds,32,1024,0.09921256574801249,0.00138175672891,,COMPLETED,advConv2Dtranslation
E_VOL_ALPHA_REL,stencilBounds,64,4096,0.06250000000000001,0.00021903500965,3.985905375690009,COMPLETED,advConv2Dtranslation
E_VOL_ALPHA_REL,stencilBounds,128,16384,0.039372532809214794,1.59231524203e-05,5.672945389117291,COMPLETED,advConv2Dtranslation
E_VOL_ALPHA_REL,stencilBounds,256,65536,0.024803141437003122,3.61161605621e-05,-1.7722778191412425,COMPLETED,advConv2Dtranslation
E_BOUND_ALPHA,lipschitzCone,32,1024,0.09921256574801249,0.0,,COMPLETED,advConv2Dtranslation
E_BOUND_ALPHA,lipschitzCone,64,4096,0.06250000000000001,0.0,,COMPLETED,advConv2Dtranslation
E_BOUND_ALPHA,lipschitzCone,128,16384,0.039372532809214794,0.0,,COMPLETED,advConv2Dtranslation
E_BOUND_ALPHA,lipschitzCone,256,65536,0.024803141437003122,0.0,,COMPLETED,advConv2Dtranslation
E_BOUND_ALPHA,none,32,1024,0.09921256574801249,0.0,,COMPLETED,advConv2Dtranslation
E_BOUND_ALPHA,none,64,4096,0.06250000000000001,0.0,,COMPLETED,advConv2Dtranslation
E_BOUND_ALPHA,none,128,16384,0.039372532809214794,0.0,,COMPLETED,advConv2Dtranslation
E_BOUND_ALPHA,none,256,65536,0.024803141437003122,0.0,,COMPLETED,advConv2Dtranslation
E_BOUND_ALPHA,stencilBounds,32,1024,0.09921256574801249,0.0,,COMPLETED,advConv2Dtranslation
E_BOUND_ALPHA,stencilBounds,64,4096,0.06250000000000001,0.0,,COMPLETED,advConv2Dtranslation
E_BOUND_ALPHA,stencilBounds,128,16384,0.039372532809214794,0.0,,COMPLETED,advConv2Dtranslation
E_BOUND_ALPHA,stencilBounds,256,65536,0.024803141437003122,0.0,,COMPLETED,advConv2Dtranslation
