metric,bound,pin,nCells,hEff,value,order,state,study
E_GEOM_ALPHA_REL,lipschitzCone,32,1024,0.09921256574801249,0.366186730099,,COMPLETED,advConv2Dvortex
E_GEOM_ALPHA_REL,lipschitzCone,64,4096,0.06250000000000001,0.118437641252,2.4426777715701147,COMPLETED,advConv2Dvortex
E_GEOM_ALPHA_REL,lipschitzCone,128,16384,0.039372532809214794,0.0511498419529,1.8169889648302344,COMPLETED,advConv2Dvortex
E_GEOM_ALPHA_REL,lipschitzCone,256,65536,0.024803141437003122,0.0296698368956,1.1785991794856208,COMPLETED,advConv2Dvortex
E_GEOM_ALPHA_REL,none,32,1024,0.09921256574801249,0.0426564688343,,COMPLETED,advConv2Dvortex
E_GEOM_ALPHA_REL,none,64,4096,0.06250000000000001,0.0062777213477,4.1466774665211705,COMPLETED,advConv2Dvortex
E_GEOM_ALPHA_REL,none,128,16384,0.039372532809214794,0.000666974379172,4.851806616185586,COMPLETED,advConv2Dvortex
E_GEOM_ALPHA_REL,none,256,65536,0.024803141437003122,0.000156392399394,3.1386914152884966,COMPLETED,advConv2Dvortex
E_GEOM_ALPHA_REL,stencilBounds,32,1024,0.09921256574801249,0.0411314959788,,COMPLETED,advConv2Dvortex
E_GEOM_ALPHA_REL,stencilBounds,64,4096,0.06250000000000001,0.00699378734209,3.8341465654443216,COMPLETED,advConv2Dvortex
E_GEOM_ALPHA_REL,stencilBounds,128,16384,0.039372532809214794,0.00080722299992,4.672552114172109,COMPLETED,advConv2Dvortex
E_GEOM_ALPHA_REL,stencilBounds,256,65536,0.024803141437003122,0.000181030953817,3.235096322566342,COMPLETED,advConv2Dvortex
E_VOL_ALPHA_REL,lipschitzCone,32,1024,0.09921256574801249,0.366186730099,,COMPLETED,advConv2Dvortex
E_VOL_ALPHA_REL,lipschitzCone,64,4096,0.06250000000000001,0.117417087335,2.4614057055787115,COMPLETED,advConv2Dvortex
E_VOL_ALPHA_REL,lipschitzCone,128,16384,0.039372532809214794,0.0197992991165,3.852181663162378,COMPLETED,advConv2Dvortex
E_VOL_ALPHA_REL,lipschitzCone,256,65536,0.024803141437003122,0.0130149478545,0.9079197437750052,COMPLETED,advConv2Dvortex
E_VOL_ALPHA_REL,none,32,1024,0.09921256574801249,0.0259216954464,,COMPLETED,advConv2Dvortex
E_VOL_ALPHA_REL,none,64,4096,0.06250000000000001,0.00412104848701,3.9796151096148638,COMPLETED,advConv2Dvortex
E_VOL_ALPHA_REL,none,128,16384,0.039372532809214794,0.00022332804102,6.308662688867476,COMPLETED,advConv2Dvortex
E_VOL_ALPHA_REL,none,256,65536,0.024803141437003122,3.95017485667e-05,3.748763978249164,COMPLETED,advConv2Dvortex
E_VOL_ALPHA_REL,stencilBounds,32,1024,0.09921256574801249,0.0245071485861,,COMPLETED,advConv2Dvortex
E_VOL_ALPHA_REL,stencilBounds,64,4096,0.06250000000000001,0.00491309048263,3.4777498829021827,COMPLETED,advConv2Dvortex
E_VOL_ALPHA_REL,stencilBounds,128,16384,0.039372532809214794,9.02350410273e-05,8.65019882068898,COMPLETED,advConv2Dvortex
E_VOL_ALPHA_REL,stencilBounds,256,65536,0.024803141437003122,5.7759905917e-05,0.9654290889606221,COMPLETED,advConv2Dvortex
E_BOUND_ALPHA,lipschitzCone,32,1024,0.09921256574801249,0.0,,COMPLETED,advConv2Dvortex
E_BOUND_ALPHA,lipschitzCone,64,4096,0.06250000000000001,0.0,,COMPLETED,advConv2Dvortex
E_BOUND_ALPHA,lipschitzCone,128,16384,0.039372532809214794,0.0,,COMPLETED,advConv2Dvortex
E_BOUND_ALPHA,lipschitzCone,256,65536,0.024803141437003122,0.0,,COMPLETED,advConv2Dvortex
E_BOUND_ALPHA,none,32,1024,0.09921256574801249,0.0,,COMPLETED,advConv2Dvortex
E_BOUND_ALPHA,none,64,4096,0.06250000000000001,0.0,,COMPLETED,advConv2Dvortex
E_BOUND_ALPHA,none,128,16384,0.039372532809214794,0.0,,COMPLETED,advConv2Dvortex
E_BOUND_ALPHA,none,256,65536,0.024803141437003122,0.0,,COMPLETED,advConv2Dvortex
E_BOUND_ALPHA,stencilBounds,32,1024,0.09921256574801249,0.0,,COMPLETED,advConv2Dvortex
E_BOUND_ALPHA,stencilBounds,64,4096,0.06250000000000001,0.0,,COMPLETED,advConv2Dvortex
E_BOUND_ALPHA,stencilBounds,128,16384,0.039372532809214794,0.0,,COMPLETED,advConv2Dvortex
E_BOUND_ALPHA,stencilBounds,256,65536,0.024803141437003122,0.0,,COMPLETED,advConv2Dvortex
