method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
euler,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.001953125,,0.5,323.0,161.5257690167906,0.0479153794914,1.67846679688e-05,0.00032355478861,0.000146411407345,0.981827558564,1.67211285013,0.000760217620299,0.999597232654,0.281568445907,0,UpwindUext,,,,,,
euler+SDPLS:R,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.001953125,,0.5,327.0,163.52608813774157,1.07121915771,2.55584716797e-05,0.000808886971525,0.786527735691,0.925247013747,0.272925512605,0.000539147707785,0.0521810136765,0.0875322414434,0,UpwindUext,,,,,,
euler+SDPLS:beta,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.001953125,,0.5,329.0,164.52624769821705,0.765269929162,2.40325927734e-05,0.000593183779118,0.516290494959,3.37041471796,0.526813066165,0.000754198357681,0.249621412459,0.16439198592,0,UpwindUext,,,,,,
euler,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,29.0,14.502191474155913,0.0696963283078,1.52410750018e-05,0.000185547891997,0.0012655310642,0.980120220836,1.67294588233,0.000468483780703,0.996597371966,0.282803964749,0,UpwindUext,,,,,,
euler+SDPLS:R,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,30.0,15.002267042230255,1.02267802493,4.01406761921e-05,0.000969354796508,0.779610427728,0.837007390263,0.275734259371,0.000145975569087,0.0524284224883,0.0961082950041,0,UpwindUext,,,,,,
euler+SDPLS:beta,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,30.0,15.002267042230255,0.740357529209,4.55037539836e-05,0.000425317358067,0.515534914102,1.68517309319,0.534651168613,0.000326603340684,0.254669235015,0.168098550764,0,UpwindUext,,,,,,
euler,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,2.0,1.0,0.102404570741,2.91168159326e-05,0.0012284744114,0.0121968768926,0.974899925641,1.67557031649,0.0017902114102,0.974999953254,0.290278553302,0,UpwindUext,,,,,,
euler+SDPLS:R,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,3.0,1.5,0.991532642168,0.000111648146321,0.00252758401178,0.774769774578,0.802486404758,0.290101491454,0.000352716832811,0.0510370788495,0.0773674369384,0,UpwindUext,,,,,,
euler+SDPLS:beta,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,3.0,1.5,0.715061296779,0.00012504919114,0.00186440899769,0.504019266521,0.814507081706,0.540615525641,0.00118158022624,0.295155141512,0.180400533218,0,UpwindUext,,,,,,
euler,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,0.152371550057,0.000260420462752,0.0216464676439,0.0731151814391,0.95751809828,1.63937616142,0.000476203763939,0.875975771249,0.134893997422,0,UpwindUext,,,,,,
euler+SDPLS:R,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,0.0,0.0,0.984095080882,0.000457982583152,0.0189531949328,0.760206651215,0.769855779419,0.307131055961,0.00523304681056,0.0553398050749,0,0,UpwindUext,,,,,,
euler+SDPLS:beta,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,0.0,0.0,0.693005418942,0.00055435228346,0.0371258926542,0.499435021959,0.632353736912,0.607872502546,0.00869158596411,0.319975236429,0.0883304241477,0,UpwindUext,,,,,,
euler,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.0,0.0,0.230195382878,0.000795774685472,0.0282112769932,0.120721276561,0.906569737975,1.22542911045,0.0511098833184,0.731127876872,0,0,UpwindUext,,,,,,
euler+SDPLS:R,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.0,0.0,0.906818189226,0.00114717867262,0.0422508689197,0.774885279013,0.712744232948,0.413226697154,0.0215075781824,0.0750741867208,0,0,UpwindUext,,,,,,
euler+SDPLS:beta,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,1.0,0.5014981418684025,0.66824976173,0.00116114702569,0.0098566180096,0.587377229844,0.647101568239,0.545167173294,0.011870820182,0.209527467907,0,0,UpwindUext,,,,,,
