method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
SL:quadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.001953125,,0.5,160.0,80.01276483803869,0.0458044429034,1.71661376953e-05,0.000269628990508,8.40912212074e-05,0.982107600727,1.67065451775,0.000792460680654,0.999466607411,0.282425245581,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.001953125,,0.5,190.0,95.01515824517095,0.0458044426812,1.71661376953e-05,0.000269628990508,8.40910183407e-05,0.982107601238,1.67065451854,0.000792460594828,0.999466608167,0.282425245782,0,UpwindUext,,,,,,
SL:quadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,21.0,10.501586929561178,0.0652648651793,1.55702400578e-05,8.09572687101e-05,0.000221941761795,0.980628840923,1.67337714549,0.00113657087306,0.999351413864,0.287896426164,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,25.0,12.501889201858546,0.0652648648655,1.55702454501e-05,8.09580096198e-05,0.00022194118318,0.980628841798,1.67337714784,0.00113657061213,0.999351415457,0.287896426564,0,UpwindUext,,,,,,
SL:quadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,2.0,1.0,0.0933693777677,4.53294962343e-06,0.000452819133812,0.00201434570754,0.97597150003,1.63182328132,0.00938705142838,0.994300840248,0.291751855431,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,3.0,1.5,0.0933693773116,4.53295011678e-06,0.000452820622798,0.00201434483792,0.975971501462,1.63182328315,0.00938705120965,0.99430084062,0.291751856325,0,UpwindUext,,,,,,
SL:quadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,0.0,0.0,0.134408953863,4.38463800551e-05,0.0047782245079,0.0202716153327,0.961091228665,1.71542573456,0.00562816758945,0.979830193067,0.290302619204,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,0.0,0.0,0.134408953207,4.38463776306e-05,0.00477822723751,0.0202716155115,0.961091230847,1.71542574693,0.00562816941833,0.979830203459,0.290302620748,0,UpwindUext,,,,,,
SL:quadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.0,0.0,0.195667476584,0.000303927753662,0.0296801273978,0.0578419424616,0.918752141159,1.37254767729,0.0468357531709,0.894154296558,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.0,0.0,0.19566747566,0.000303927774922,0.0296801360001,0.0578419426149,0.918752144041,1.37254768881,0.0468357585699,0.894154309793,0,0,UpwindUext,,,,,,
