method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,24.0,12.001813633784204,0.0652648648655,1.55702454501e-05,8.09580096198e-05,0.00022194118318,0.980628841798,1.67337714784,0.00113657061213,0.999351415457,0.287896426564,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+flux,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,25.0,12.501889201858546,0.0669713358105,1.45919225067e-05,0.000149186686356,0.000779899599911,0.980086955318,1.67089586488,0.000546277730292,0.997657340834,0.284784561854,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,3.0,1.5,0.0933693773116,4.53295011678e-06,0.000452820622798,0.00201434483792,0.975971501462,1.63182328315,0.00938705120965,0.99430084062,0.291751856325,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+flux,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,3.0,1.5,0.102521910237,1.91939478741e-05,0.000894008913834,0.00869290982524,0.970444472055,1.63986788688,0.00203657094226,0.987303331028,0.292836411131,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,0.134408953207,4.38463776306e-05,0.00477822723751,0.0202716155115,0.961091230847,1.71542574693,0.00562816941833,0.979830203459,0.290302620748,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+flux,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,0.140572770393,0.000175795245603,0.0129748372368,0.0499326944282,0.943158689726,1.57306946987,0.00572740234686,0.939162615874,0.0978849693573,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,1.0,0.5014981418684025,0.19566747566,0.000303927774922,0.0296801360001,0.0578419426149,0.918752144041,1.37254768881,0.0468357585699,0.894154309793,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+flux,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.0,0.0,0.207204232125,0.00057092402124,0.0209921009908,0.104797131188,0.895841169078,1.24285268972,0.0317380914996,0.823927956625,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.00390625,,0.5,79.0,9.875,0.0753689956335,0.000109337207403,0.0111984182592,0.0353396136517,4.91594163995,8.20421972403,0.0522289320893,0.950376387704,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+flux,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.00390625,,0.5,88.0,11.0,0.112731738809,0.000766001790043,0.0198186622283,0.150479694389,4.80332285507,7.30224721008,0.0150900049843,0.60299711862,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.0078125,,0.5,12.0,1.5,0.116061987708,0.000488022205016,0.0316305863399,0.0796186638365,4.72964324492,6.36124174818,0.041695531901,0.739340083653,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+flux,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.0078125,,0.5,13.0,1.625,0.201417029755,0.0018236780528,0.171069457094,0.290452843974,4.37161985409,5.15414729411,0.12169744939,0.554712577098,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.015625,,0.5,2.0,0.25007845750021757,0.186645324939,0.00122462954774,0.062034879341,0.214882227395,4.22116946617,4.83901186555,0.128438642396,0.560904210627,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+flux,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.015625,,0.5,2.0,0.25007845750021757,0.341392294846,0.00597091076089,0.818231895173,0.536192493885,3.49229370878,2.35867760238,0.652841104823,0.325434876605,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.03125,,0.5,0.0,0.0,0.32387278104,0.00407428414152,0.454508449103,0.382068495765,3.25762950062,4.01103893096,0.419013299165,0.401029378183,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+flux,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.03125,,0.5,0.0,0.0,0.52208599815,0.00696550362158,1,0,2.14332571183,1.12742664247,0.942376805024,0,0,0,UpwindUext,,,,,,
