method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,24.0,12.001813633784204,0.0652648648655,1.55702454501e-05,8.09580096198e-05,0.00022194118318,0.980628841798,1.67337714784,0.00113657061213,0.999351415457,0.287896426564,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+lim:venk,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,30.0,15.002267042230255,0.0672664030071,3.74480415172e-05,0.00247925286427,0.0163537267811,0.742374955384,1.25030349322,0.0496539490915,0.946170546934,0.333152645048,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,3.0,1.5,0.0933693773116,4.53295011678e-06,0.000452820622798,0.00201434483792,0.975971501462,1.63182328315,0.00938705120965,0.99430084062,0.291751856325,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+lim:venk,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,4.0,2.0,0.0949230386187,7.72176002387e-05,0.00545366792957,0.0235315292474,0.757753124538,1.27356428693,0.0723987601422,0.929350335103,0.239542779995,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,0.134408953207,4.38463776306e-05,0.00477822723751,0.0202716155115,0.961091230847,1.71542574693,0.00562816941833,0.979830203459,0.290302620748,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+lim:venk,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,0.135438392785,0.000170323370887,0.00507420143775,0.0420488157942,0.775898841513,1.34042721235,0.0676466829593,0.908977999263,0.0581525410812,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.0,0.0,0.19566747566,0.000303927774922,0.0296801360001,0.0578419426149,0.918752144041,1.37254768881,0.0468357585699,0.894154309793,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+lim:venk,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.0,0.0,0.196398951954,0.000301824483854,0.000735656118021,0.0823127181539,0.781797491604,1.1696689035,0.018719148749,0.848655370023,0.114357878785,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.00390625,,0.5,85.0,10.625,0.0753689956335,0.000109337207403,0.0111984182592,0.0353396136517,4.91594163995,8.20421972403,0.0522289320893,0.950376387704,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+lim:venk,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.00390625,,0.5,101.0,12.625,0.112626387606,0.000444631141072,0.0493760367168,0.0978678285177,3.64575493225,6.38524786877,0.0303410142003,0.741275068814,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.0078125,,0.5,11.0,1.375,0.116061987708,0.000488022205016,0.0316305863399,0.0796186638365,4.72964324492,6.36124174818,0.041695531901,0.739340083653,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+lim:venk,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.0078125,,0.5,16.0,2.0,0.142265549673,0.000892853081524,0.105608938726,0.148288567111,3.59969827594,5.18767841037,0.0118039520523,0.678943709462,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.015625,,0.5,2.0,0.25007845750021757,0.186645324939,0.00122462954774,0.062034879341,0.214882227395,4.22116946617,4.83901186555,0.128438642396,0.560904210627,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+lim:venk,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.015625,,0.5,3.0,0.3751176862503264,0.19236452164,0.00188545728288,0.197823338552,0.235709675632,3.35894324092,3.97422247974,0.163472136709,0.556576930875,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.03125,,0.5,1.0,0.1250245693948548,0.32387278104,0.00407428414152,0.454508449103,0.382068495765,3.25762950062,4.01103893096,0.419013299165,0.401029378183,0,0,UpwindUext,,,,,,
SL:uncachedQuadraticWeightedLeastSquares+lim:venk,none,,,,leiaLevelSetFoam,detrixheAslam,8,0.03125,,0.5,1.0,0.1250245693948548,0.314798037782,0.00490105425556,0.43743721556,0.405295411337,2.71529110847,2.88708034846,0.346471826776,0.203513551723,0,0,UpwindUext,,,,,,
