study,N,transport,theta,curvatureExtension,tEnd,reachedEndTime,diverged,maxMagU_end,volumeRelError_end,shapeL2_end,minGradPsiBand_end
capillaryEnvelope,64,uncachedQuadraticWeightedLeastSquares,0.0,stabilizedFootPointFace,0.0999976,1,0,0.000342604,7.05715e-05,4.1892e-06,0.981858
capillaryEnvelope,64,linearTaylor,0.0,stabilizedFootPointFace,0.0999976,1,0,0.000243943,7.40175e-05,3.35467e-06,0.982085
capillaryEnvelope,64,uncachedQuadraticWeightedLeastSquares,0.05,stabilizedFootPointFace,0.0999976,1,0,0.000556748,0.00192034,6.47346e-06,0.982672
capillaryEnvelope,64,linearTaylor,0.05,stabilizedFootPointFace,0.0999976,1,0,0.000481729,0.0019219,5.91464e-06,0.982661
capillaryEnvelope,64,uncachedQuadraticWeightedLeastSquares,0.2,stabilizedFootPointFace,0.0999976,1,0,0.000194346,0.00240799,2.70503e-06,0.980637
capillaryEnvelope,64,linearTaylor,0.2,stabilizedFootPointFace,0.0999976,1,0,0.000173796,0.00239904,2.49068e-06,0.98072
capillaryEnvelope,128,uncachedQuadraticWeightedLeastSquares,0.0,stabilizedFootPointFace,0.0629316,0,1,6.70948,0.0219938,0.000187037,0
capillaryEnvelope,128,linearTaylor,0.0,stabilizedFootPointFace,0.0675215,0,1,1.74438,0.0317666,0.000257967,0
capillaryEnvelope,128,uncachedQuadraticWeightedLeastSquares,0.05,stabilizedFootPointFace,0.100004,1,0,0.00538599,0.000173244,3.00117e-05,0.987792
capillaryEnvelope,128,linearTaylor,0.05,stabilizedFootPointFace,0.100004,1,0,0.00525531,0.000176121,2.96893e-05,0.987805
capillaryEnvelope,128,uncachedQuadraticWeightedLeastSquares,0.2,stabilizedFootPointFace,0.100004,1,0,0.00170868,0.000525013,2.8946e-05,0.978771
capillaryEnvelope,128,linearTaylor,0.2,stabilizedFootPointFace,0.100004,1,0,0.00167082,0.00052202,2.8485e-05,0.979128
capillaryEnvelope,256,uncachedQuadraticWeightedLeastSquares,0.0,stabilizedFootPointFace,0.0333679,0,1,23.0568,0.00345725,4.38338e-05,0
capillaryEnvelope,256,linearTaylor,0.0,stabilizedFootPointFace,0.0314454,0,1,1.49744,0.00316605,7.75431e-05,0.0849503
capillaryEnvelope,256,uncachedQuadraticWeightedLeastSquares,0.05,stabilizedFootPointFace,0.1,1,0,0.0342834,0.000336337,6.27257e-06,0.945093
capillaryEnvelope,256,linearTaylor,0.05,stabilizedFootPointFace,0.1,1,0,0.0344915,0.000291935,6.24023e-06,0.943686
capillaryEnvelope,256,uncachedQuadraticWeightedLeastSquares,0.2,stabilizedFootPointFace,0.1,1,0,0.000133509,9.65359e-05,6.94141e-07,0.993085
capillaryEnvelope,256,linearTaylor,0.2,stabilizedFootPointFace,0.1,1,0,0.000134089,9.73133e-05,6.98842e-07,0.993091
cellCentreInverseFiltered,64,uncachedQuadraticWeightedLeastSquares,0.05,cellCentreInverse,0.0999976,1,0,0.0132731,0.00437283,0.000211205,0.951952
cellCentreInverseFiltered,64,uncachedQuadraticWeightedLeastSquares,0.2,cellCentreInverse,0.0999976,1,0,0.00224145,0.00495615,3.7766e-05,0.978711
cellCentreInverseFiltered,128,uncachedQuadraticWeightedLeastSquares,0.05,cellCentreInverse,0.100004,1,0,0.000491762,0.000114463,3.96196e-06,0.996998
cellCentreInverseFiltered,128,uncachedQuadraticWeightedLeastSquares,0.2,cellCentreInverse,0.100004,1,0,0.000415149,2.5727e-05,5.24489e-06,0.995545
cellCentreInverseFiltered,256,uncachedQuadraticWeightedLeastSquares,0.05,cellCentreInverse,0.1,1,0,0.00929605,3.22634e-05,1.36641e-06,0.983541
cellCentreInverseFiltered,256,uncachedQuadraticWeightedLeastSquares,0.2,cellCentreInverse,0.1,1,0,0.000102414,7.32521e-06,8.13518e-08,0.999625
cellCentreInverseFiltered3D,32,uncachedQuadraticWeightedLeastSquares,0.05,cellCentreInverse,0.0545992,0,1,0.243992,0.0429391,0.000469107,0.61747
cellCentreInverseFiltered3D,32,uncachedQuadraticWeightedLeastSquares,0.2,cellCentreInverse,0.0547792,0,1,22.4912,0.0438352,0.000529076,0.643108
cellCentreInverseFiltered3D,64,uncachedQuadraticWeightedLeastSquares,0.05,cellCentreInverse,0.0999976,1,0,0.0232518,0.00320523,0.000186605,0.837321
cellCentreInverseFiltered3D,64,uncachedQuadraticWeightedLeastSquares,0.2,cellCentreInverse,0.0999976,1,0,0.00588816,0.000176537,4.40946e-05,0.964005
