candidate,N_CELLS,mesh_variant,mode,epsilon,radius,fit_half_width,regularization_operator,tangential_regularization,regularization_iterations,preserve_modes_through,topology_valid,interface_elements,interface_components,open_endpoints,curvature_fits,curvature_fallbacks,exact_mode_amplitude,raw_mode_amplitude,regularized_mode_amplitude,raw_amplitude_transfer,regularized_amplitude_transfer,raw_phase_error_deg,regularized_phase_error_deg,raw_L2,raw_Linf,raw_relative_L2,raw_relative_Linf,regularized_L2,regularized_Linf,regularized_relative_L2,regularized_relative_Linf,utility_status,row_pass,row_reason
h3_helmholtz_l1,32,uniform,2,0.02,0.001,3,helmholtz,1,30,4,1,28,1,0,28,0,59.722432511,88.986529597,70.8490219683,1.49000176074,1.18630502794,0.0154987370587,0.0268037638378,156.399628033,189.570264121,0.156305693804,0.17975144219,22.3896123991,34.8831362872,0.0223761651102,0.0330763587042,0,1,topology-only coarse point
h3_helmholtz_l1,32,uniform,3,0.02,0.001,3,helmholtz,1,30,4,1,28,1,0,28,0,159.668531205,138.133217719,94.5123013205,0.86512487261,0.591928168983,0.253569431605,0.299549191078,158.779125564,209.751989123,0.157896694329,0.181863351438,50.6673909681,96.286445096,0.0503858017591,0.0834841932912,0,1,topology-only coarse point
h3_helmholtz_l1,32,uniform,4,0.02,0.001,3,helmholtz,1,30,4,1,28,1,0,28,0,281.67008644,162.801447552,93.0371908615,0.577986287465,0.330305543046,0.0141562083485,0.00457702463118,179.943880498,279.318377098,0.17638430024,0.226430880103,138.410938488,238.51901443,0.135672946828,0.193356666753,0,1,topology-only coarse point
h3_helmholtz_l1,32,perturbed,2,0.02,0.001,3,helmholtz,1,30,4,1,28,1,0,28,0,59.7096014982,74.1702520575,61.6424894994,1.24218300234,1.03237147716,8.93987006188,8.05854273904,159.892918953,229.495646202,0.159815552712,0.217487070118,33.183114762,63.5249572925,0.0331670586859,0.060200954003,0,1,topology-only coarse point
h3_helmholtz_l1,32,perturbed,3,0.02,0.001,3,helmholtz,1,30,4,1,28,1,0,28,0,160.822993956,182.129380613,125.273326098,1.13248345982,0.778951585324,7.10628164348,7.20443486575,163.0903472,219.472239458,0.162109664511,0.190283063084,36.5350586185,75.3613637832,0.0363153687341,0.0653385192326,0,1,topology-only coarse point
h3_helmholtz_l1,32,perturbed,4,0.02,0.001,3,helmholtz,1,30,4,1,25,1,0,25,0,327.804110817,109.557363443,57.0816220866,0.334215953456,0.174133332082,5.35076176558,4.83820119513,264.120126977,558.100810746,0.258327592004,0.437671894815,187.955205553,334.89377663,0.183833077058,0.262629243601,0,1,topology-only coarse point
h3_helmholtz_l1,64,uniform,2,0.02,0.001,3,helmholtz,1,30,4,1,52,1,0,52,0,59.8045228912,64.4743605006,61.1587485624,1.07808502407,1.02264420157,0.00265654293051,0.0153660521619,47.8676330827,77.1450523567,0.0478434194846,0.0730091520566,9.13110289632,18.0961049813,0.00912648397448,0.017125936659,0,1,ok
h3_helmholtz_l1,64,uniform,3,0.02,0.001,3,helmholtz,1,30,4,1,52,1,0,52,0,159.611265503,149.239982054,133.739187433,0.935021607554,0.837905689245,0.195474232299,0.149597931795,49.2150321076,81.2009547051,0.0489469744308,0.0704937687903,22.0672510598,46.3914169261,0.0219470581878,0.0402742286777,0,1,ok
h3_helmholtz_l1,64,uniform,4,0.02,0.001,3,helmholtz,1,30,4,1,52,1,0,52,0,300.704251406,267.657353627,219.362941605,0.890101660936,0.729497307001,0.0164408908252,0.012601041371,64.2927891559,117.186591189,0.0629861920073,0.0919216889328,59.0802711883,95.847275153,0.0578796059988,0.0751830335045,0,0,amplitude
h3_helmholtz_l1,64,perturbed,2,0.02,0.001,3,helmholtz,1,30,4,1,51,1,0,51,0,59.7675460135,68.5370694289,62.7978198149,1.14672717888,1.05070099081,6.56932175078,4.3627313373,68.2050231345,144.516915281,0.0681699070755,0.13676358921,25.1943015935,54.6468996944,0.0251813300478,0.0517150959586,0,1,ok
h3_helmholtz_l1,64,perturbed,3,0.02,0.001,3,helmholtz,1,30,4,1,52,1,0,52,0,159.368209513,151.185489282,136.97104409,0.948655254045,0.859462778111,1.93255014081,1.13244979198,70.9117095728,147.649516836,0.0705105900637,0.128166749103,32.1506213136,61.8563979904,0.0319687579582,0.0536942728397,0,1,ok
h3_helmholtz_l1,64,perturbed,4,0.02,0.001,3,helmholtz,1,30,4,1,52,1,0,52,0,300.924502277,263.938683944,215.500081057,0.877092699156,0.716126734204,0.710342826459,0.716287899825,83.8161832931,195.78791153,0.0821109495541,0.153416570913,67.0742723029,140.618635471,0.0657096514426,0.110186725482,0,0,amplitude
h3_helmholtz_l1,128,uniform,2,0.02,0.001,3,helmholtz,1,30,4,1,104,1,0,104,0,59.9458810301,58.4607613769,57.7140468405,0.975225659751,0.962769181948,0.00105912075728,0.00038273094478,19.1795966869,38.2601909589,0.0191699612713,0.0361925748612,6.28252423782,13.0312443677,0.00627936803319,0.0123270238724,0,1,ok
h3_helmholtz_l1,128,uniform,3,0.02,0.001,3,helmholtz,1,30,4,1,102,1,0,102,0,159.805155466,155.406974779,150.773471559,0.972477854837,0.943483150589,0.0171678309757,0.0168525640936,19.6695799852,44.645859285,0.0195624944358,0.0387079951804,9.55517457595,22.0663466784,0.0095031540895,0.0191315399581,0,1,ok
h3_helmholtz_l1,128,uniform,4,0.02,0.001,3,helmholtz,1,30,4,1,108,1,0,108,0,298.984125985,283.194963471,268.823112786,0.947190632741,0.899121690492,0.00256777601209,0.002976148526,21.6278656893,28.210495956,0.0211901109078,0.0219443974145,23.5280157887,40.4737889335,0.0230518013735,0.0314837750677,0,1,ok
h3_helmholtz_l1,128,perturbed,2,0.02,0.001,3,helmholtz,1,30,4,1,103,1,0,103,0,59.9132664145,57.8661545313,56.8184236718,0.965832076839,0.948344616679,3.88494508465,0.914698793619,117.072817224,343.121215621,0.117016357243,0.3245401146,68.9222000926,220.881996946,0.0688889614112,0.208920536937,0,1,ok
h3_helmholtz_l1,128,perturbed,3,0.02,0.001,3,helmholtz,1,30,4,1,101,1,0,101,0,159.893324101,162.985713748,154.655117036,1.01934032997,0.96723936353,0.660360751312,0.557504835179,109.35238224,264.721779525,0.108764600399,0.229513872436,66.3346481037,178.399843858,0.0659780916141,0.154672725,0,1,ok
