MODEL,N_CELLS,DELTA_X,EPS,N_SEEDS,E_L2,GAIN_L2,GAIN_LINF,GAIN_DIMLESS,GAIN_DRIVER_ACROSS_DIMLESS,GAIN_DRIVER_ALONG_DIMLESS
arithmetic,32,0.0003125,0.001,8,279.83082,6846089.0,20723338.0,0.66856338,0.85188129,1.0776529
arithmetic,32,0.0003125,0.01,8,279.83082,6847270.8,20755143.0,0.66867879,0.85213404,1.0776583
arithmetic,32,0.0003125,0.1,8,279.83082,6862779.2,21065535.0,0.67019328,0.85524253,1.0782691
arithmetic,64,0.00015625,0.001,8,96.944237,24582507.0,76271776.0,0.60015886,0.79224423,1.0180423
arithmetic,64,0.00015625,0.01,8,96.944237,24580013.0,76348803.0,0.60009797,0.79223265,1.0180655
arithmetic,64,0.00015625,0.1,8,96.944237,24570207.0,77212624.0,0.59985857,0.79264068,1.0187547
arithmetic,128,7.8125e-05,0.001,8,45.83819,105544660.0,367644070.0,0.64419348,0.84501349,1.0345107
arithmetic,128,7.8125e-05,0.01,8,45.83819,105558700.0,367925590.0,0.6442792,0.84517064,1.0344872
arithmetic,128,7.8125e-05,0.1,8,45.83819,105757030.0,374050930.0,0.64548966,0.84730781,1.0348499
arithmetic,256,3.90625e-05,0.001,8,22.579693,420511250.0,1633344900.0,0.64164925,0.81925524,1.0062102
arithmetic,256,3.90625e-05,0.01,8,22.579693,420520950.0,1635672000.0,0.64166404,0.81936574,1.0064226
arithmetic,256,3.90625e-05,0.1,8,22.579693,420846340.0,1659350700.0,0.64216056,0.82116277,1.0090996
arithmetic,512,1.953125e-05,0.001,8,11.350214,1671938000.0,7211524300.0,0.63779374,0.82017171,0.9864828
arithmetic,512,1.953125e-05,0.01,8,11.350214,1672084000.0,7222825900.0,0.63784942,0.82021475,0.98650429
arithmetic,512,1.953125e-05,0.1,8,11.350214,1674491900.0,7335419200.0,0.63876798,0.82129671,0.98736503
cellFootEvalFace,32,0.0003125,0.001,8,274.63639,6768943.0,19981696.0,0.66102959,0.82078021,1.0142419
cellFootEvalFace,32,0.0003125,0.01,8,274.63639,6771319.8,20005528.0,0.6612617,0.82216857,1.0136097
cellFootEvalFace,32,0.0003125,0.1,8,274.63639,6833222.2,21821397.0,0.66730686,0.8447349,1.0183937
cellFootEvalFace,64,0.00015625,0.001,8,96.414262,24572119.0,77733150.0,0.59990524,0.78455056,1.0098664
cellFootEvalFace,64,0.00015625,0.01,8,96.414262,24573322.0,77644748.0,0.59993461,0.78393567,1.0098911
cellFootEvalFace,64,0.00015625,0.1,8,96.414262,24636037.0,76302570.0,0.60146575,0.78273381,1.0058284
cellFootEvalFace,128,7.8125e-05,0.001,8,45.776827,105330750.0,372234680.0,0.6428879,0.84296716,1.0305949
cellFootEvalFace,128,7.8125e-05,0.01,8,45.776827,105387440.0,373671930.0,0.64323387,0.84346003,1.0307581
cellFootEvalFace,128,7.8125e-05,0.1,8,45.776827,106035940.0,396041040.0,0.64719199,0.85165781,1.0299307
cellFootEvalFace,256,3.90625e-05,0.001,8,22.573485,420746980.0,1633410200.0,0.64200894,0.82009122,1.0082024
cellFootEvalFace,256,3.90625e-05,0.01,8,22.573485,420764720.0,1635671000.0,0.64203602,0.82016029,1.008576
cellFootEvalFace,256,3.90625e-05,0.1,8,22.573485,421691440.0,1657368800.0,0.64345007,0.82729819,1.0098259
cellFootEvalFace,512,1.953125e-05,0.001,8,11.34938,1672669300.0,7203862600.0,0.63807271,0.82070482,0.98721719
cellFootEvalFace,512,1.953125e-05,0.01,8,11.34938,1672768000.0,7228577400.0,0.63811034,0.8208877,0.987089
cellFootEvalFace,512,1.953125e-05,0.1,8,11.34938,1676272000.0,7512200500.0,0.63944703,0.82932038,0.98420156
cellMeanInverse,32,0.0003125,0.001,8,25.680206,4881161.9,18338599.0,0.47667597,0.37662122,0.43716528
cellMeanInverse,32,0.0003125,0.01,8,25.680206,4883302.0,18472778.0,0.47688496,0.37708095,0.43766002
cellMeanInverse,32,0.0003125,0.1,8,25.680206,4989901.7,19953285.0,0.48729509,0.39362749,0.4507416
cellMeanInverse,64,0.00015625,0.001,8,5.1809331,15979721.0,46878126.0,0.39012991,0.32658174,0.65748078
cellMeanInverse,64,0.00015625,0.01,8,5.1809331,15979078.0,46628651.0,0.39011422,0.32665327,0.6575819
cellMeanInverse,64,0.00015625,0.1,8,5.1809331,15976314.0,44522687.0,0.39004673,0.32764007,0.65812578
cellMeanInverse,128,7.8125e-05,0.001,8,1.3250896,65057370.0,213147400.0,0.39707868,0.36164366,0.62196744
cellMeanInverse,128,7.8125e-05,0.01,8,1.3250896,65076705.0,213754790.0,0.39719669,0.36183661,0.62195266
cellMeanInverse,128,7.8125e-05,0.1,8,1.3250896,65267064.0,219093450.0,0.39835855,0.36419709,0.62113629
cellMeanInverse,256,3.90625e-05,0.001,8,0.33458887,261922670.0,967173740.0,0.39966228,0.35709414,0.61505087
cellMeanInverse,256,3.90625e-05,0.01,8,0.33458887,261972860.0,968954050.0,0.39973887,0.35724652,0.61535794
cellMeanInverse,256,3.90625e-05,0.1,8,0.33458887,262452960.0,985047840.0,0.40047144,0.35930316,0.61790888
cellMeanInverse,512,1.953125e-05,0.001,8,0.084221665,1052511500.0,4245195000.0,0.40150129,0.35279534,0.61776526
cellMeanInverse,512,1.953125e-05,0.01,8,0.084221665,1052627000.0,4197338900.0,0.40154533,0.35283278,0.61775944
cellMeanInverse,512,1.953125e-05,0.1,8,0.084221665,1054111100.0,4364796200.0,0.40211148,0.35379375,0.61734131
cutCellInverse,32,0.0003125,0.001,8,19.675701,8426062.5,28847462.0,0.82285767,0.81711773,0.95907085
cutCellInverse,32,0.0003125,0.01,8,19.675701,8424951.4,28998494.0,0.82274916,0.81725921,0.95893322
cutCellInverse,32,0.0003125,0.1,8,19.675701,8375347.2,30165458.0,0.817905,0.81577784,0.95657444
cutCellInverse,64,0.00015625,0.001,8,4.6360308,33148287.0,92101525.0,0.80928435,0.79652174,1.3470535
cutCellInverse,64,0.00015625,0.01,8,4.6360308,33147988.0,92188363.0,0.80927705,0.7966561,1.3476241
cutCellInverse,64,0.00015625,0.1,8,4.6360308,33029602.0,91254651.0,0.80638677,0.79595218,1.3488798
cutCellInverse,128,7.8125e-05,0.001,8,1.1778174,134512720.0,417754280.0,0.82100046,0.86473136,1.2894068
cutCellInverse,128,7.8125e-05,0.01,8,1.1778174,134576710.0,419479510.0,0.82139103,0.86521622,1.2895878
cutCellInverse,128,7.8125e-05,0.1,8,1.1778174,134676330.0,461121060.0,0.82199906,0.86741705,1.2849607
cutCellInverse,256,3.90625e-05,0.001,8,0.30033019,538189670.0,1749138300.0,0.82121227,0.84318934,1.2806942
cutCellInverse,256,3.90625e-05,0.01,8,0.30033019,538158570.0,1733398500.0,0.82116481,0.84336215,1.2808824
cutCellInverse,256,3.90625e-05,0.1,8,0.30033019,535801730.0,1636038600.0,0.81756855,0.84325876,1.2772871
cutCellInverse,512,1.953125e-05,0.001,8,0.076080661,2171488500.0,8679515500.0,0.82835714,0.83009789,1.2483586
cutCellInverse,512,1.953125e-05,0.01,8,0.076080661,2171953800.0,8542434700.0,0.82853463,0.83028197,1.2482293
cutCellInverse,512,1.953125e-05,0.1,8,0.076080661,2168870000.0,8456093200.0,0.82735825,0.8299489,1.2415259
footEvalFace,32,0.0003125,0.001,8,155.67147,7001626.6,22525725.0,0.68375259,0.75191923,1.1856089
footEvalFace,32,0.0003125,0.01,8,155.67147,6998141.1,22331015.0,0.68341221,0.75210018,1.1855571
footEvalFace,32,0.0003125,0.1,8,155.67147,7012276.2,30970324.0,0.68479259,0.75220673,1.1631465
footEvalFace,64,0.00015625,0.001,8,82.815937,25749373.0,77725541.0,0.62864679,0.81201634,1.068349
footEvalFace,64,0.00015625,0.01,8,82.815937,25762315.0,77639601.0,0.62896276,0.81191199,1.070104
footEvalFace,64,0.00015625,0.1,8,82.815937,26020813.0,78461286.0,0.63527375,0.81902384,1.0928398
footEvalFace,128,7.8125e-05,0.001,8,42.868234,108072030.0,389870390.0,0.65961933,0.86094379,1.0242869
footEvalFace,128,7.8125e-05,0.01,8,42.868234,108148580.0,391700220.0,0.66008653,0.86165937,1.0248586
footEvalFace,128,7.8125e-05,0.1,8,42.868234,108729040.0,412279020.0,0.66362936,0.87261998,1.0244588
footEvalFace,256,3.90625e-05,0.001,8,20.500124,432018270.0,1633644200.0,0.65920756,0.8316823,1.0071903
footEvalFace,256,3.90625e-05,0.01,8,20.500124,432084520.0,1636031500.0,0.65930866,0.83197918,1.007461
footEvalFace,256,3.90625e-05,0.1,8,20.500124,432017430.0,1659213700.0,0.65920629,0.8450699,1.0077899
footEvalFace,512,1.953125e-05,0.001,8,10.525718,1718473200.0,8486429100.0,0.65554549,0.82440151,0.98439574
footEvalFace,512,1.953125e-05,0.01,8,10.525718,1716448200.0,8520152400.0,0.65477304,0.82560416,0.98428178
footEvalFace,512,1.953125e-05,0.1,8,10.525718,1723054600.0,8809718100.0,0.65729318,0.83508517,0.98557087
perFaceInverse,32,0.0003125,0.001,8,31.282802,7162740.6,29403751.0,0.69948639,0.90272101,0.94977761
perFaceInverse,32,0.0003125,0.01,8,31.282802,7168775.8,29871253.0,0.70007576,0.90371417,0.95044978
perFaceInverse,32,0.0003125,0.1,8,31.282802,7438673.1,37701672.0,0.72643292,0.93279035,0.9574275
perFaceInverse,64,0.00015625,0.001,8,6.5584661,25175092.0,91060915.0,0.61462626,0.81696031,0.97344916
perFaceInverse,64,0.00015625,0.01,8,6.5584661,25176547.0,90304455.0,0.6146618,0.81721549,0.97330807
perFaceInverse,64,0.00015625,0.1,8,6.5584661,25252121.0,97839027.0,0.61650686,0.82269502,0.97197351
perFaceInverse,128,7.8125e-05,0.001,8,1.6722398,105290650.0,383734540.0,0.6426431,0.85102466,1.0187597
perFaceInverse,128,7.8125e-05,0.01,8,1.6722398,105319000.0,385816540.0,0.64281616,0.85156152,1.0189262
perFaceInverse,128,7.8125e-05,0.1,8,1.6722398,105788260.0,411993050.0,0.64568032,0.86031199,1.0214668
perFaceInverse,256,3.90625e-05,0.001,8,0.41828188,421682500.0,1686483100.0,0.64343642,0.81976449,1.0124194
perFaceInverse,256,3.90625e-05,0.01,8,0.41828188,421733290.0,1703648000.0,0.64351393,0.82007681,1.0127227
perFaceInverse,256,3.90625e-05,0.1,8,0.41828188,423179780.0,1867890200.0,0.6457211,0.82751491,1.0162606
perFaceInverse,512,1.953125e-05,0.001,8,0.1049072,1675671800.0,7495600100.0,0.63921807,0.8216372,0.98869736
perFaceInverse,512,1.953125e-05,0.01,8,0.1049072,1675987100.0,7308565300.0,0.63933833,0.82185685,0.98866697
perFaceInverse,512,1.953125e-05,0.1,8,0.1049072,1683938100.0,8301485100.0,0.64237142,0.82830282,0.98908623
symFaceMean050,32,0.0003125,0.001,8,25.534519,5057075.6,21104887.0,0.49385504,0.48937719,0.54816828
symFaceMean050,32,0.0003125,0.01,8,25.534519,5060351.2,21322397.0,0.49417492,0.49006605,0.54870822
symFaceMean050,32,0.0003125,0.1,8,25.534519,5209112.1,23744006.0,0.50870236,0.50896812,0.55813897
symFaceMean050,64,0.00015625,0.001,8,5.3822357,17136305.0,57923823.0,0.41836683,0.44948472,0.62532263
symFaceMean050,64,0.00015625,0.01,8,5.3822357,17135991.0,57547602.0,0.41835915,0.44956702,0.62532024
symFaceMean050,64,0.00015625,0.1,8,5.3822357,17152054.0,55215287.0,0.41875131,0.45151486,0.62498114
symFaceMean050,128,7.8125e-05,0.001,8,1.3939066,71994585.0,265341950.0,0.43942007,0.47990317,0.63688451
symFaceMean050,128,7.8125e-05,0.01,8,1.3939066,72014688.0,267055200.0,0.43954277,0.48024142,0.63694203
symFaceMean050,128,7.8125e-05,0.1,8,1.3939066,72262993.0,283393310.0,0.44105831,0.48501082,0.63719066
symFaceMean050,256,3.90625e-05,0.001,8,0.35161357,289879200.0,1088533000.0,0.44232056,0.46661349,0.63402639
symFaceMean050,256,3.90625e-05,0.01,8,0.35161357,289916200.0,1096098700.0,0.44237702,0.46677429,0.6342472
symFaceMean050,256,3.90625e-05,0.1,8,0.35161357,290507110.0,1167934400.0,0.44327867,0.47017839,0.63611696
symFaceMean050,512,1.953125e-05,0.001,8,0.088447191,1155898000.0,5328663300.0,0.44094008,0.46767794,0.63185392
symFaceMean050,512,1.953125e-05,0.01,8,0.088447191,1156058900.0,5234414400.0,0.44100146,0.46777192,0.63185234
symFaceMean050,512,1.953125e-05,0.1,8,0.088447191,1159172700.0,5373013400.0,0.4421893,0.47053669,0.63161112
