MODEL,N_CELLS,DELTA_X,EPS,N_SEEDS,E_L2,GAIN_L2,GAIN_LINF,GAIN_DIMLESS
arithmetic,32,0.03125,0.001,8,1.66870901865,848.611195699,2547.27521447,0.8287218708
arithmetic,32,0.03125,0.01,8,1.66870901865,848.621732747,2548.09302212,0.828732160885
arithmetic,32,0.03125,0.1,8,1.66870901865,848.7963964,2556.5733092,0.828902730859
arithmetic,50,0.02,0.001,8,1.01064661354,2079.58278628,7327.44367842,0.831833114513
arithmetic,50,0.02,0.01,8,1.01064661354,2079.59094519,7325.61906243,0.831836378077
arithmetic,50,0.02,0.1,8,1.01064661354,2079.85446475,7306.71290029,0.831941785901
arithmetic,80,0.0125,0.001,8,0.672388486765,5304.47029785,18518.4827907,0.828823484039
arithmetic,80,0.0125,0.01,8,0.672388486765,5304.41358717,18481.6654222,0.828814622995
arithmetic,80,0.0125,0.1,8,0.672388486765,5304.28939844,18437.9635298,0.828795218507
arithmetic,128,0.0078125,0.001,8,0.419055332678,13489.634231,53063.7574844,0.823341933047
arithmetic,128,0.0078125,0.01,8,0.419055332678,13489.2221298,53128.2011692,0.823316780386
arithmetic,128,0.0078125,0.1,8,0.419055332678,13486.2025628,53779.8497324,0.823132480638
cellMeanInverse,32,0.03125,0.001,8,0.0498165954328,532.342135083,1800.52609777,0.519865366292
cellMeanInverse,32,0.03125,0.01,8,0.0498165954328,532.369132894,1805.56742063,0.519891731342
cellMeanInverse,32,0.03125,0.1,8,0.0498165954328,531.727697493,1851.57519856,0.519265329583
cellMeanInverse,50,0.02,0.001,8,0.0225412853139,1330.23262158,5184.14235255,0.532093048633
cellMeanInverse,50,0.02,0.01,8,0.0225412853139,1330.29148424,5158.85889044,0.532116593697
cellMeanInverse,50,0.02,0.1,8,0.0225412853139,1328.78475256,4878.80465193,0.531513901025
cellMeanInverse,80,0.0125,0.001,8,0.0101223583989,3461.09669587,12268.558885,0.540796358729
cellMeanInverse,80,0.0125,0.01,8,0.0101223583989,3460.85502799,12355.5725058,0.540758598123
cellMeanInverse,80,0.0125,0.1,8,0.0101223583989,3452.34335115,13188.9680602,0.539428648617
cellMeanInverse,128,0.0078125,0.001,8,0.00409265496962,8755.81846844,31070.7687191,0.534412748318
cellMeanInverse,128,0.0078125,0.01,8,0.00409265496962,8755.12180341,30960.8034628,0.534370227259
cellMeanInverse,128,0.0078125,0.1,8,0.00409265496962,8731.82115382,31943.5198456,0.53294806847
cutCellInverse,32,0.03125,0.001,8,0.0784862799176,1032.25917343,3458.40722535,1.00806559906
cutCellInverse,32,0.03125,0.01,8,0.0784862799176,1032.16127999,3441.20323423,1.00796999999
cutCellInverse,32,0.03125,0.1,8,0.0784862799176,1027.10812415,3462.63118688,1.00303527749
cutCellInverse,50,0.02,0.001,8,0.0323749472342,2548.20341836,7925.44551212,1.01928136734
cutCellInverse,50,0.02,0.01,8,0.0323749472342,2548.2916003,7900.09920312,1.01931664012
cutCellInverse,50,0.02,0.1,8,0.0323749472342,2539.94409043,7576.0454019,1.01597763617
cutCellInverse,80,0.0125,0.001,8,0.0125182410339,6445.76686803,20862.6461961,1.00715107313
cutCellInverse,80,0.0125,0.01,8,0.0125182410339,6445.65109675,21069.9533788,1.00713298387
cutCellInverse,80,0.0125,0.1,8,0.0125182410339,6425.11502368,23433.4240557,1.00392422245
cutCellInverse,128,0.0078125,0.001,8,0.00517572843436,16470.952284,59063.8760605,1.00530714624
cutCellInverse,128,0.0078125,0.01,8,0.00517572843436,16470.572461,59374.3690436,1.00528396368
cutCellInverse,128,0.0078125,0.1,8,0.00517572843436,16421.3924518,61641.8325092,1.00228225414
perFaceInverse,32,0.03125,0.001,8,0.0779396402842,879.850514083,3540.82941603,0.85922901766
perFaceInverse,32,0.03125,0.01,8,0.0779396402842,879.97098596,3581.54486167,0.859346665977
perFaceInverse,32,0.03125,0.1,8,0.0779396402842,879.903752985,4004.5769747,0.859281008774
perFaceInverse,50,0.02,0.001,8,0.0336016860089,2098.79479371,7990.50095753,0.839517917482
perFaceInverse,50,0.02,0.01,8,0.0336016860089,2099.04595892,8060.36129951,0.839618383569
perFaceInverse,50,0.02,0.1,8,0.0336016860089,2100.29768348,9359.59084064,0.840119073392
perFaceInverse,80,0.0125,0.001,8,0.0134327555519,5307.67679153,19620.4901614,0.829324498677
perFaceInverse,80,0.0125,0.01,8,0.0134327555519,5307.58506014,19887.181321,0.829310165647
perFaceInverse,80,0.0125,0.1,8,0.0134327555519,5304.681822,22808.910424,0.828856534688
perFaceInverse,128,0.0078125,0.001,8,0.00525370255697,13526.609838,57286.9866708,0.825598744994
perFaceInverse,128,0.0078125,0.01,8,0.00525370255697,13526.140639,57969.6469715,0.825570107362
perFaceInverse,128,0.0078125,0.1,8,0.00525370255697,13517.2054321,64867.0367093,0.825024745611
