MODEL,N_CELLS,DELTA_X,EPS,N_SEEDS,E_L2,GAIN_L2,GAIN_LINF,GAIN_DIMLESS
arithmetic,64,0.00015625,0.001,8,102.7106,24826488.0,95130934.0,0.60611544
arithmetic,64,0.00015625,0.01,8,102.7106,24822213.0,94937760.0,0.60601105
arithmetic,64,0.00015625,0.1,8,102.7106,24795382.0,93770158.0,0.60535601
arithmetic,128,7.8125e-05,0.001,8,52.378844,106321100.0,375412990.0,0.64893251
arithmetic,128,7.8125e-05,0.01,8,52.378844,106327840.0,375461850.0,0.64897362
arithmetic,128,7.8125e-05,0.1,8,52.378844,106452850.0,376018410.0,0.64973664
arithmetic,256,3.90625e-05,0.001,8,28.567221,439173110.0,1770498200.0,0.67012498
arithmetic,256,3.90625e-05,0.01,8,28.567221,439220880.0,1772680100.0,0.67019787
arithmetic,256,3.90625e-05,0.1,8,28.567221,439880370.0,1794762100.0,0.67120418
arithmetic,512,1.953125e-05,0.001,8,13.658719,1695446000.0,7275389000.0,0.64676134
arithmetic,512,1.953125e-05,0.01,8,13.658719,1695339900.0,7277016200.0,0.64672083
arithmetic,512,1.953125e-05,0.1,8,13.658719,1694998800.0,7366470900.0,0.64659074
cellMeanInverse,64,0.00015625,0.001,8,43.444439,15167504.0,48726981.0,0.37030039
cellMeanInverse,64,0.00015625,0.01,8,43.444439,15156777.0,49017670.0,0.3700385
cellMeanInverse,64,0.00015625,0.1,8,43.444439,15059212.0,51835168.0,0.36765655
cellMeanInverse,128,7.8125e-05,0.001,8,24.271019,64328862.0,205142530.0,0.39263221
cellMeanInverse,128,7.8125e-05,0.01,8,24.271019,64341244.0,206363310.0,0.39270779
cellMeanInverse,128,7.8125e-05,0.1,8,24.271019,64471847.0,218236540.0,0.39350492
cellMeanInverse,256,3.90625e-05,0.001,8,11.807034,272810070.0,962305110.0,0.41627512
cellMeanInverse,256,3.90625e-05,0.01,8,11.807034,272848160.0,971921920.0,0.41633325
cellMeanInverse,256,3.90625e-05,0.1,8,11.807034,273275810.0,1077520500.0,0.41698579
cellMeanInverse,512,1.953125e-05,0.001,8,5.8506549,1035478800.0,4086955800.0,0.3950038
cellMeanInverse,512,1.953125e-05,0.01,8,5.8506549,1035347700.0,4118936800.0,0.39495379
cellMeanInverse,512,1.953125e-05,0.1,8,5.8506549,1034307200.0,4449226500.0,0.39455689
cutCellInverse,64,0.00015625,0.001,8,41.635868,31934892.0,98575189.0,0.77966046
cutCellInverse,64,0.00015625,0.01,8,41.635868,31915903.0,99375255.0,0.77919685
cutCellInverse,64,0.00015625,0.1,8,41.635868,31637735.0,106289420.0,0.77240563
cutCellInverse,128,7.8125e-05,0.001,8,24.132908,133100310.0,479312630.0,0.81237979
cutCellInverse,128,7.8125e-05,0.01,8,24.132908,133089040.0,482813520.0,0.81231106
cutCellInverse,128,7.8125e-05,0.1,8,24.132908,132450420.0,507252520.0,0.80841322
cutCellInverse,256,3.90625e-05,0.001,8,11.788847,556431000.0,1831038400.0,0.84904633
cutCellInverse,256,3.90625e-05,0.01,8,11.788847,556376880.0,1816098500.0,0.84896374
cutCellInverse,256,3.90625e-05,0.1,8,11.788847,553324380.0,1929569900.0,0.84430599
cutCellInverse,512,1.953125e-05,0.001,8,5.8482373,2144498000.0,8372095700.0,0.81806107
cutCellInverse,512,1.953125e-05,0.01,8,5.8482373,2143780900.0,8470304400.0,0.81778752
cutCellInverse,512,1.953125e-05,0.1,8,5.8482373,2128637600.0,9306365100.0,0.81201079
perFaceInverse,64,0.00015625,0.001,8,14.171884,25065080.0,98988463.0,0.61194043
perFaceInverse,64,0.00015625,0.01,8,14.171884,25052746.0,99308500.0,0.61163932
perFaceInverse,64,0.00015625,0.1,8,14.171884,24999482.0,102674750.0,0.61033891
perFaceInverse,128,7.8125e-05,0.001,8,4.3228225,106454310.0,388292580.0,0.64974553
perFaceInverse,128,7.8125e-05,0.01,8,4.3228225,106484810.0,394384360.0,0.64993171
perFaceInverse,128,7.8125e-05,0.1,8,4.3228225,107038520.0,458025670.0,0.65331131
perFaceInverse,256,3.90625e-05,0.001,8,1.1155566,440758500.0,1783251500.0,0.67254409
perFaceInverse,256,3.90625e-05,0.01,8,1.1155566,440810830.0,1798170400.0,0.67262395
perFaceInverse,256,3.90625e-05,0.1,8,1.1155566,442531330.0,1925587900.0,0.67524922
perFaceInverse,512,1.953125e-05,0.001,8,0.27847272,1696541700.0,7239436300.0,0.64717928
perFaceInverse,512,1.953125e-05,0.01,8,0.27847272,1696416900.0,7228015700.0,0.64713169
perFaceInverse,512,1.953125e-05,0.1,8,0.27847272,1699647400.0,8535578300.0,0.64836403
