VARIANT,OMEGA_DT,DT,CFL,N_INTERIOR,E_FOOT_L2,E_FOOT_LINF,E_REL_LINF
exact,0,0.011048543,0.5,3136,8.0283448e-10,1.3659367e-09,1.7483989e-05
ab2,0,0.011048543,0.5,3136,8.0283448e-10,1.3659367e-09,1.7483989e-05
exact,0,0.0055242717,0.25,3136,1.0035448e-10,1.7074238e-10,4.3710048e-06
ab2,0,0.0055242717,0.25,3136,1.0035448e-10,1.7074238e-10,4.3710048e-06
exact,0,0.0027621359,0.125,3136,1.2544316e-11,2.1342807e-11,1.0927517e-06
ab2,0,0.0027621359,0.125,3136,1.2544316e-11,2.1342807e-11,1.0927517e-06
exact,0.105,0.011048543,0.5,3136,3.5432258e-08,6.0284182e-08,0.00077163753
ab2,0.105,0.011048543,0.5,3136,1.819609e-07,3.0958693e-07,0.0039627127
exact,0.105,0.0055242717,0.25,3136,1.8002046e-08,3.0628548e-08,0.00078409082
ab2,0.105,0.0055242717,0.25,3136,9.0670433e-08,1.5426601e-07,0.0039492097
exact,0.105,0.0027621359,0.125,3136,9.0367925e-09,1.5375132e-08,0.00078720676
ab2,0.105,0.0027621359,0.125,3136,4.529646e-08,7.7067063e-08,0.0039458336
exact,0.26,0.011048543,0.5,3136,2.1948019e-07,3.7342197e-07,0.0047798012
ab2,0.26,0.011048543,0.5,3136,1.1071891e-06,1.8837633e-06,0.02411217
exact,0.26,0.0055242717,0.25,3136,1.0995334e-07,1.870738e-07,0.0047890892
ab2,0.26,0.0055242717,0.25,3136,5.5323731e-07,9.4127388e-07,0.024096611
exact,0.26,0.0027621359,0.125,3136,5.5003348e-08,9.358229e-08,0.0047914132
ab2,0.26,0.0027621359,0.125,3136,2.76574e-07,4.7056096e-07,0.024092721
exact,0.52,0.011048543,0.5,3136,8.5351954e-07,1.4521718e-06,0.0185878
ab2,0.52,0.011048543,0.5,3136,4.3639222e-06,7.4247449e-06,0.095036735
exact,0.52,0.0055242717,0.25,3136,4.2675527e-07,7.2607827e-07,0.018587604
ab2,0.52,0.0055242717,0.25,3136,2.1814207e-06,3.7114531e-06,0.095013199
exact,0.52,0.0027621359,0.125,3136,2.1337708e-07,3.6303819e-07,0.018587555
ab2,0.52,0.0027621359,0.125,3136,1.0906428e-06,1.8556116e-06,0.095007315
exact,1.04,0.011048543,0.5,3136,3.0049717e-06,5.1126367e-06,0.065441749
ab2,1.04,0.011048543,0.5,3136,1.6484983e-05,2.8047428e-05,0.35900708
exact,1.04,0.0055242717,0.25,3136,1.5021056e-06,2.5556715e-06,0.065425189
ab2,1.04,0.0055242717,0.25,3136,8.2410316e-06,1.402123e-05,0.3589435
exact,1.04,0.0027621359,0.125,3136,7.5100529e-07,1.2777549e-06,0.065421049
ab2,1.04,0.0027621359,0.125,3136,4.1203333e-06,7.0103046e-06,0.3589276
