model,footPoint,L2_finest,Linf_finest,L2_forceWeighted_finest,order_L2,R2,order_Linf,N_finest
quadraticCellCentre,0,11.35021377,21.25555086,7.137653923,1.134965620116683,0.9914444047907196,1.2272894086780561,512
quadraticCellCentre,1,0.1049072005,0.2236519112,0.1191790735,2.0411035481829747,0.999363430170884,1.9989087597095583,512
trHessian,0,11.35003263,21.27527527,7.13857785,1.150493303097648,0.9893776155916165,1.2468677980107639,512
trHessian,1,0.1204413726,0.255996896,0.1361005517,2.056053772404565,0.998850295624422,2.041871040021793,512
fvmDivGradPsi,0,11.36456586,21.80605411,7.145751879,1.1615948815042738,0.9950334021185903,1.1997330750962607,512
fvmDivGradPsi,1,0.3153652149,0.5076827352,0.3074097401,1.9712750718856524,0.9999101259757375,2.045401311046747,512
fvmTraceGradGradPsi,0,11.36456586,21.80605411,7.145751879,1.1615948815042738,0.9950334021185903,1.1997330750962607,512
fvmTraceGradGradPsi,1,0.3153652149,0.5076827352,0.3074097401,1.9712750718856524,0.9999101259757375,2.045401311046747,512
fvmDivGradAlpha,0,823.7299623,2547.654705,572.0862012,-0.387505272917612,0.5435555227002372,-0.5040321231578861,512
fvmDivGradAlpha,1,804.5990833,2498.703766,568.0891221,-0.6429847326330271,0.8646944664838698,-0.7671414834053067,512
kangQuadratic,0,8.416383928,18.36745419,3.822793857,1.1384287119391954,0.9917691595136546,1.1888844495866933,512
quadraticNewtonFoot,0,11.34921826,21.25421238,7.137009965,1.0800090016727817,0.9974857984753168,1.1496887151787245,512
quadraticClosestPoint,0,11.34938001,21.25513286,7.137021367,1.1288292180405861,0.9919484722626175,1.2235401626470028,512
footPointHeightFunction,0,0.5624537093,2.868185014,0.6059344202,1.7485332222461183,0.9886500595728619,1.198092836601421,512
connectedInterface,0,4.297181575,11.82211878,4.340210124,0.4828542717800201,0.7699829848757233,0.3383703587781142,512
interfaceMean,0,0.1529237349,0.1529237349,0.1529237349,2.025805515675836,0.999065885166458,2.025805515675836,512
isoConormal,0,208.7487897,411.2730197,205.5454754,0.14274784613437838,0.7506661955235412,0.0410500749225922,512
isoParabola,0,39.25823596,140.9315181,44.03827019,0.1478410814668062,0.5462392504798714,-0.0900854152799931,512
stableFootPoint,1,2.015043306,9.215447299,0.389402716,1.3969549457146535,0.9618862355783427,1.257227998933858,512
scalarInverse2D,1,0.1049072005,0.2236519112,0.1191790735,2.0411035481829747,0.999363430170884,1.9989087597095583,512
