model,footPoint,L2_finest,Linf_finest,L2_forceWeighted_finest,order_L2,R2,order_Linf,N_finest
quadraticCellCentre,0,0.4190553327,0.9143725075,0.246450177,0.9830983620438339,0.997743848834922,1.175895560124252,128
quadraticCellCentre,1,0.005253702557,0.02248710406,0.006580747043,1.946307302394688,0.9998375706699648,1.9989447718326105,128
trHessian,0,0.4186516483,0.9092763398,0.246034344,0.9713640307033715,0.9979931363570412,1.1570760135311708,128
trHessian,1,0.007247876025,0.01801012779,0.007025111105,1.959171598387997,0.999814190883009,1.9548660709601309,128
fvmDivGradPsi,0,0.4189152115,0.9213666033,0.2464979051,0.973969898909725,0.9968722359909143,1.1753008987780462,128
fvmDivGradPsi,1,0.01548917318,0.04736509537,0.01494203647,1.9146418515610777,0.999736032018456,1.9384335292314037,128
fvmTraceGradGradPsi,0,0.4189152115,0.9213666033,0.2464979051,0.973969898909725,0.9968722359909143,1.1753008987780462,128
fvmTraceGradGradPsi,1,0.01548917318,0.04736509537,0.01494203647,1.9146418515610777,0.999736032018456,1.9384335292314037,128
fvmDivGradAlpha,0,4.268618026,14.33833159,2.724236442,-0.3977123898919545,0.8448808709766366,-0.40336429551085684,128
fvmDivGradAlpha,1,4.020121042,14.98084643,2.610379529,-0.600220902987642,0.944904452489296,-0.6082831380767365,128
kangQuadratic,0,0.3461010059,0.8185723672,0.1442224214,0.9604767851487447,0.9962050335996261,1.1093396376899765,128
quadraticNewtonFoot,0,0.418368391,0.9126923624,0.2460302715,0.9548482288025575,0.9984226343419772,1.1188954810113259,128
quadraticClosestPoint,0,0.418368389,0.9126923382,0.2460302704,0.9548018888796173,0.9984244702130615,1.1186090347879558,128
interfaceMean,0,0.01410472745,0.01410472745,0.01410472745,2.018611727729139,0.999816714000199,2.018611727729139,128
stableFootPoint,1,0.005177910377,0.01347468218,0.0052048554,1.980010095845666,0.9997026717761125,1.971152246509959,128
scalarInverse2D,1,0.4207253512,0.8962859397,0.2458130117,1.0153087037377997,0.9971828775116068,1.1598854315175198,128
cutCellInverse,1,0.005175728434,0.01344983878,0.005198790771,1.9672569890664091,0.9997682599713299,1.9637719862267866,128
cellMeanInverse,1,0.00409265497,0.01038787172,0.003925327169,1.792902401621685,0.9993604151147113,1.8893080656301842,128
