surface,model,footPoint,N_finest,L2_finest,Linf_finest,order_L2
implicitEllipsoid,cellMeanInverse,1,256,6.240601762,16.85403916,0.9905124838782468
implicitEllipsoid,connectedInterface,0,256,10.90111561,30.62552611,0.5711610380746619
implicitEllipsoid,cutCellInverse,1,256,6.258049359,16.83345926,0.9761297490332471
implicitEllipsoid,footPointHeightFunction,0,256,83.50394075,211.5461785,0.173033685234777
implicitEllipsoid,fvmDivGradAlpha,0,256,436.3379674,1254.319006,-0.5154540040014124
implicitEllipsoid,fvmDivGradAlpha,1,256,420.4188319,1245.702176,-0.6039747168675267
implicitEllipsoid,fvmDivGradPsi,0,256,24.20177659,54.44609643,1.0229634648336299
implicitEllipsoid,fvmDivGradPsi,1,256,6.264415661,21.2340559,1.172306922341096
implicitEllipsoid,fvmTraceGradGradPsi,0,256,24.20177659,54.44609643,1.0229634648336299
implicitEllipsoid,fvmTraceGradGradPsi,1,256,6.264415661,21.2340559,1.172306922341096
implicitEllipsoid,interfaceMean,0,256,196.182257,334.3028978,-0.006402516709033014
implicitEllipsoid,isoConormal,0,256,184.3551519,445.1065161,0.22116452865214828
implicitEllipsoid,isoParabola,0,256,60.11960671,185.7977484,0.025190055963314084
implicitEllipsoid,kangQuadratic,0,256,18.22665597,47.06260026,1.0205604106742658
implicitEllipsoid,quadraticCellCentre,0,256,24.15558198,54.10376662,1.031185282220827
implicitEllipsoid,quadraticCellCentre,1,256,6.241944436,21.47051551,1.077351046630148
implicitEllipsoid,quadraticClosestPoint,0,256,7.791632606,38.4685918,1.2291489971226717
implicitEllipsoid,quadraticNewtonFoot,0,256,0.1351932557,0.4114206893,1.9888747765521058
implicitEllipsoid,scalarInverse2D,1,256,6.241944436,21.47051551,1.077351046630148
implicitEllipsoid,solverFootEvalFace,0,256,0.0003283384094,0.001451521812,-1.2775702018874229
implicitEllipsoid,solverStabFootFace,1,256,6.241944436,21.47051551,1.077351046630148
implicitEllipsoid,stableFootPoint,1,256,6.531519157,20.75366488,1.0492294792744385
implicitEllipsoid,symFaceMean050,1,256,4.518653627,13.65183615,1.0312034272257937
implicitEllipsoid,symFaceMean100,1,256,4.555415965,12.65482828,1.0296335966379915
implicitEllipsoid,trHessian,0,256,4071900.699,4072148.224,-1.3518522413962342e-06
implicitEllipsoid,trHessian,1,256,794164.6673,7611030.498,-1.6980210218236178
