t,pv_dVrel,pv_bandGrad,flux_dVrel,flux_bandGrad
0,0.000000e+00,9.996548e-01,0.000000e+00,9.996548e-01
0.5,6.059734e-04,1.587948e+00,-1.189321e-03,1.604545e+00
1,1.864916e-03,2.926691e+00,-4.517686e-03,2.714394e+00
1.5,3.449545e-02,3.784693e+00,8.331004e-03,3.548109e+00
2,5.835196e-02,4.394079e+00,-9.942652e-03,4.081736e+00
2.5,7.016568e-02,4.816671e+00,-3.417890e-02,4.277553e+00
3,5.202967e-02,5.054006e+00,-8.783622e-02,4.413571e+00
3.5,4.373423e-02,4.937253e+00,-1.125098e-01,4.423654e+00
3.99,4.133469e-02,5.005306e+00,-1.229627e-01,4.377869e+00
4.5,4.243263e-02,4.933362e+00,-1.317416e-01,4.285110e+00
5,4.536699e-02,5.012988e+00,-1.553175e-01,3.868837e+00
5.5,5.886830e-02,4.715651e+00,-1.703215e-01,3.386666e+00
6,4.886680e-02,4.213854e+00,-1.794493e-01,2.793290e+00
6.5,3.717009e-02,3.478283e+00,-1.880020e-01,2.214987e+00
7,3.114276e-02,2.560565e+00,-1.786970e-01,1.590814e+00
7.5,3.026294e-02,1.494864e+00,-1.742481e-01,1.003226e+00
8,3.111917e-02,9.607371e-01,-1.711980e-01,7.207104e-01
