method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,surfaceTensionForce,psiDdt,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,0.5,0.0078125,,0.25,1.0,2.0,0.263466096359,3.58053187558e-07,1.34233479787e-05,0.000396469597898,0.193223741286,0.00279926061537,0.993434946162,0.984248316591,3.09703798988e-05,0.999285672931,0.987522462408,0.999696370245,0.999085863977,1.00009851438,1.00564692131,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,kinematicTranslation2D,2Dtranslation_00004,4,f7307b5-dirty,2026-09-01T15:11:27+00:00,,1,0.5,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,0.5,0.0078125,,0.25,1.0,2.0,0.263466096359,3.58053187559e-07,1.34233479791e-05,0.000396469597898,0.193223741286,0.00279926061537,0.993434946162,0.984248316591,3.09703798987e-05,0.999285672931,0.987522462408,0.999696370245,0.999085863977,1.00009851438,1.00564692131,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,kinematicTranslation2D,2Dtranslation_00005,4,f7307b5-dirty,2026-09-01T15:12:10+00:00,,1,0.5,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,0.5,0.0078125,,0.5,1.0,2.0,0.267532966525,5.6129773947e-07,1.61935548977e-05,0.000411623721082,0.195264166559,0.00137722556797,0.993379860756,0.984257267591,2.56410033914e-05,0.999198229811,0.995744844519,0.999719188507,0.999608414301,1.000299404,1.00377791487,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,kinematicTranslation2D,2Dtranslation_00010,4,f7307b5-dirty,2026-09-01T15:12:05+00:00,,1,0.5,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,0.5,0.0078125,,0.5,1.0,2.0,0.267532966525,5.61297739471e-07,1.61935548977e-05,0.000411623721082,0.195264166559,0.00137722556797,0.993379860756,0.984257267591,2.56410033914e-05,0.999198229811,0.995744844519,0.999719188507,0.999608414301,1.000299404,1.00377791487,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,kinematicTranslation2D,2Dtranslation_00011,4,f7307b5-dirty,2026-09-01T15:11:22+00:00,,1,0.5,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,0.5,0.0078125,,1.0,0.0,0.0,0.24970903348,2.14936433507e-06,1.02165844256e-05,0.000559498379401,0.198161850254,0.00108165912925,0.993337184951,0.984260182482,6.43822684959e-05,0.998669315879,0.998485989397,0.999713574157,0.999688786791,1.00038148395,1.00387744127,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,kinematicTranslation2D,2Dtranslation_00016,4,f7307b5-dirty,2026-09-01T15:11:18+00:00,,1,0.5,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,0.5,0.0078125,,1.0,0.0,0.0,0.24970903348,2.14936433507e-06,1.02165844254e-05,0.000559498379401,0.198161850254,0.00108165912925,0.993337184951,0.984260182482,6.43822684959e-05,0.998669315879,0.998485989397,0.999713574157,0.999688786791,1.00038148395,1.00387744127,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,kinematicTranslation2D,2Dtranslation_00017,4,f7307b5-dirty,2026-09-01T15:12:15+00:00,,1,0.5,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,0.5,0.015625,,0.25,1.0,2.0,0.269011740768,1.35653389135e-06,0.000127191265207,0.0018373418091,0.207058239401,0.0150133086416,0.986787912669,0.968214221818,0.000263470459845,0.996950766753,0.982523833177,0.998670558232,1.00267087961,1.00407367745,1.06388588664,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,kinematicTranslation2D,2Dtranslation_00002,4,f7307b5-dirty,2026-09-01T15:11:41+00:00,,1,0.5,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,0.5,0.015625,,0.25,0.0,0.0,0.269011740768,1.35653389135e-06,0.000127191265206,0.0018373418091,0.207058239401,0.0150133086416,0.986787912669,0.968214221818,0.000263470459845,0.996950766753,0.982523833177,0.998670558232,1.00267087961,1.00407367745,1.06388588664,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,kinematicTranslation2D,2Dtranslation_00003,4,f7307b5-dirty,2026-09-01T15:11:53+00:00,,1,0.5,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,0.5,0.015625,,0.5,0.0,0.0,0.276171598143,2.40111227065e-06,0.00021163360215,0.00243301472547,0.209956881177,0.00900582017612,0.986760435943,0.968317678488,0.00017488544092,0.996402436156,0.990373065522,0.998928880574,1.00059571606,1.01109247339,1.03580032953,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,kinematicTranslation2D,2Dtranslation_00008,4,f7307b5-dirty,2026-09-01T15:11:57+00:00,,1,0.5,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,0.5,0.015625,,0.5,0.0,0.0,0.276171598143,2.40111227064e-06,0.00021163360215,0.00243301472547,0.209956881177,0.00900582017612,0.986760435943,0.968317678488,0.00017488544092,0.996402436156,0.990373065522,0.998928880574,1.00059571606,1.01109247339,1.03580032953,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,kinematicTranslation2D,2Dtranslation_00009,4,f7307b5-dirty,2026-09-01T15:11:37+00:00,,1,0.5,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,
