N,snapshot_t,minGradPsiBand,gradRmsErrBand,mode,r_m,omega_measured,omega_theory,omega_ratio,fit_rel_residual,dt,U_reset
128,0.0018749725,0.9941850872205131,0.0028586007065523576,2,18.816570835514277,657.6319916940294,653.4453723642598,1.0064069920866097,0.0026483361782946215,7.49989e-06,yes
128,0.0018749725,0.9941850872205131,0.0028586007065523576,4,18.133735647872562,1985.6478419570417,2066.3757031679074,0.9609326314246224,0.08301421988457341,7.49989e-06,yes
128,0.0018749725,0.9941850872205131,0.0028586007065523576,6,-45.34224671366029,3625.173583022489,3865.834956804198,0.9377465989958715,0.07640409978359335,7.49989e-06,yes
128,0.0093748625,0.9772646803429575,0.009840149661975947,2,12.146282626938198,657.6319916940294,653.4453723642598,1.0064069920866097,0.0022643251128431773,7.49989e-06,yes
128,0.0093748625,0.9772646803429575,0.009840149661975947,4,7.0425059650071,1974.7176703499388,2066.3757031679074,0.9556430940039364,0.06154042772128924,7.49989e-06,yes
128,0.0093748625,0.9772646803429575,0.009840149661975947,6,-47.81831016230852,3625.173583022489,3865.834956804198,0.9377465989958715,0.07652516632936118,7.49989e-06,yes
128,0.020624697,0.9588639474000292,0.018036552463167214,2,10.50995642255127,659.45368696188,653.4453723642598,1.00919482308962,0.002869528259460596,7.49989e-06,yes
128,0.020624697,0.9588639474000292,0.018036552463167214,4,13.861867996442573,1972.8959750820882,2066.3757031679074,0.954761504433822,0.08730559223042264,7.49989e-06,yes
128,0.020624697,0.9588639474000292,0.018036552463167214,6,-51.21051624628581,3626.9952782903392,3865.834956804198,0.9382178284426032,0.07874062093973967,7.49989e-06,yes
128,0.073123927,0.9568440412082668,0.018810290120333074,2,9.405287479642084,663.0970774975809,653.4453723642598,1.0147704850956398,0.0023959245363382497,7.49989e-06,yes
128,0.073123927,0.9568440412082668,0.018810290120333074,4,2.9015424917764365,1965.6091940106862,2066.3757031679074,0.9512351461533647,0.062298639716798915,7.49989e-06,yes
128,0.073123927,0.9568440412082668,0.018810290120333074,6,-51.60926403438126,3626.9952782903392,3865.834956804198,0.9382178284426032,0.07790986798039419,7.49989e-06,yes
128,0.089998679,0.9503348325973373,0.019045008379788675,2,19.78897618808365,653.9886011583284,654.4558139325848,0.9992861049373999,0.0025742246836338825,7.49989e-06,yes
128,0.089998679,0.9503348325973373,0.019045008379788675,4,10.142880483547824,1972.8959750820882,2069.5709999663263,0.9532874084117863,0.07509163876738675,7.49989e-06,yes
128,0.089998679,0.9503348325973373,0.019045008379788675,6,-58.22077650020192,3621.530192486788,3871.8128097385684,0.9353577692025148,0.07105036106380393,7.49989e-06,yes
128,0.095623597,0.9371169656369821,0.026355617783766022,2,7.547025663379175,639.4150390155245,654.8423493889046,0.9764411840685367,0.0034718912333922625,7.49989e-06,yes
128,0.095623597,0.9371169656369821,0.026355617783766022,4,15.249065183407488,1965.6091940106862,2070.7933324047094,0.9492058735422535,0.08658317748740076,7.49989e-06,yes
128,0.095623597,0.9371169656369821,0.026355617783766022,6,-78.76950421867453,3630.6386688260404,3874.0995843371534,0.937156774055211,0.05552307995830224,7.49989e-06,yes
128,0.10124851,0.8770718651265731,0.05461464285793559,2,29.208650531611987,606.6245241942155,657.5220396475713,0.9225919248567901,0.005012396290092623,7.49989e-06,yes
128,0.10124851,0.8770718651265731,0.05461464285793559,4,-27.162878137975774,1921.8885075822743,2079.267257045862,0.9243104757552018,0.026388791472174572,7.49989e-06,yes
128,0.10124851,0.8770718651265731,0.05461464285793559,6,-84.917229870632,3606.9566303439838,3889.9528457014203,0.9272494483653804,0.025767914845592575,7.49989e-06,yes
128,0.10687343,0.7075906702065885,0.11219162531784814,2,53.37024727334916,557.438751962252,657.0829320302494,0.8483537233875219,0.003300403711632948,7.49989e-06,yes
128,0.10687343,0.7075906702065885,0.11219162531784814,4,72.41707395640296,2005.6864899033972,2077.878676837195,0.9652567843644827,0.16565650958751948,7.49989e-06,yes
128,0.10687343,0.7075906702065885,0.11219162531784814,6,-29.432379543207446,3614.243411415386,3887.3550500039773,0.9297435826994214,0.0914662393772987,7.49989e-06,yes
64,0,0.9897,,2,-10.834971558418157,636.479422304264,659.2873094932935,0.9654052385650211,0.0029018957808817658,2.12129e-05,yes
64,0,0.9897,,4,-130.89014722741535,1924.5028686241355,2084.8495304431585,0.9230895757810688,0.10320137540395395,2.12129e-05,yes
64,0,0.9897,,6,-429.5016436095478,3321.7446773512474,3900.3963229474134,0.8516428594212969,0.3791884962243994,2.12129e-05,yes
64,0,0.9897,,8,-1735.2305894569795,5159.6260861351575,6042.468000953591,0.8538938204258412,0.6809720488749209,2.12129e-05,yes
64,0,0.9897,,12,-1484.7404150687098,7319.513356499036,11149.560096579913,0.6564844974237387,0.6874917082682689,2.12129e-05,yes
