TIME,maxMagU,phaseVolumeRelError,m2CosCoefficient,m2SinCoefficient,m2Amplitude,m2Phase,minGradPsiBand,maxGradPsiBand,pLaplace
2.12129e-05,0.04007908845,0,9.4911885e-05,-1.079258918e-19,9.4911885e-05,-5.685583622e-16,0.9877466121,0.9999724323,68.37607204
4.24258e-05,0.06849794817,1.943029326e-06,9.4903777e-05,2.039488339e-12,9.4903777e-05,1.074503251e-08,0.987742728,0.9999388933,68.37596414
6.36387e-05,0.08814486204,8.20891578e-06,9.488036886e-05,8.899773423e-12,9.488036886e-05,4.689997272e-08,0.9877315594,1.000025163,68.37425212
8.48516e-05,0.1016330375,1.818660784e-05,9.484231071e-05,2.157610219e-11,9.484231071e-05,1.137472402e-07,0.9877139575,1.000779241,68.37723467
0.0001060645,0.1107860969,3.07042129e-05,9.478944232e-05,4.052302424e-11,9.478944232e-05,2.13752836e-07,0.9871919156,1.005054958,68.38247372
0.0001272774,0.1167777295,4.53657643e-05,9.472186505e-05,6.597703027e-11,9.472186505e-05,3.482671622e-07,0.9838779885,1.009781863,68.38746863
0.0001484903,0.1212109272,6.084885852e-05,9.463953097e-05,9.780560779e-11,9.463953097e-05,5.167270315e-07,0.9804594333,1.014826738,68.39675012
0.0001697032,0.1244574522,7.61881511e-05,9.454242633e-05,1.359905642e-10,9.454242633e-05,7.192039039e-07,0.9770199873,1.020094015,68.40709205
0.0001909161,0.1266906479,9.144041484e-05,9.443057747e-05,1.808194395e-10,9.443057747e-05,9.574199603e-07,0.9736103524,1.025504226,68.41811522
0.000212129,0.128092369,0.0001063272058,9.430395817e-05,2.322896941e-10,9.430395817e-05,1.231600978e-06,0.9702624662,1.031008338,68.43028264
0.0002333419,0.1290007147,0.0001206160055,9.416254316e-05,2.901257363e-10,9.416254316e-05,1.540558095e-06,0.9669947122,1.03657252,68.44298746
0.0002545548,0.1295009638,0.0001341966731,9.400632235e-05,3.540809056e-10,9.400632235e-05,1.883282405e-06,0.9638168359,1.042171973,68.45561319
0.0002757677,0.1297524606,0.000146868419,9.383530576e-05,4.239705552e-10,9.383530576e-05,2.259120657e-06,0.9607393467,1.047788424,68.46940298
0.0002969806,0.1299332188,0.0001585646207,9.364952707e-05,4.995796959e-10,9.364952707e-05,2.667283603e-06,0.957768214,1.053408001,68.51234385
0.0003181935,0.1395435692,0.0001694322676,9.344901417e-05,5.806676775e-10,9.344901418e-05,3.106868931e-06,0.9548976862,1.059023628,68.53817602
0.0003394064,0.1455541382,0.0001825406727,9.323179346e-05,6.662905502e-10,9.323179346e-05,3.573301154e-06,0.951811276,1.064917901,68.53967493
0.0003606193,0.1510068396,0.0002009208465,9.299605285e-05,7.528611031e-10,9.299605286e-05,4.047812138e-06,0.9473604415,1.071260609,68.57806455
0.0003818322,0.154355147,0.0002230721613,9.27419289e-05,8.378272659e-10,9.27419289e-05,4.516982102e-06,0.9427601618,1.077900626,68.58612698
0.0004030451,0.1570532583,0.0002460518102,9.246945042e-05,9.213873255e-10,9.246945043e-05,4.982117452e-06,0.938049222,1.084779208,68.59499496
0.000424258,0.1588848299,0.000268607737,9.217859567e-05,1.005246746e-09,9.217859568e-05,5.452712414e-06,0.9332450051,1.091848496,68.60717863
0.0004454709,0.1602936009,0.0002914471895,9.186924359e-05,1.091213619e-09,9.18692436e-05,5.93894962e-06,0.9283599007,1.099047567,68.62081303
0.0004666838,0.1613401474,0.0003143580883,9.154125033e-05,1.180010182e-09,9.154125033e-05,6.44523741e-06,0.9234013431,1.106347687,68.63601205
0.0004878967,0.1622161066,0.0003370905014,9.119449478e-05,1.272058153e-09,9.119449479e-05,6.97442404e-06,0.918375222,1.113729873,68.65218576
0.0005091096,0.1629274432,0.0003594534789,9.082889938e-05,1.366924155e-09,9.082889939e-05,7.524720459e-06,0.9132861358,1.12117802,68.66939575
0.0005303225,0.1635052814,0.0003810618215,9.044441721e-05,1.464482742e-09,9.044441722e-05,8.096037253e-06,0.9081380669,1.128678965,68.68742103
0.0005515354,0.1640070405,0.0004016246043,9.004103356e-05,1.565105087e-09,9.004103357e-05,8.691065756e-06,0.9029345371,1.136222546,68.70603326
0.0005727483,0.1644621746,0.0004209178191,8.961876034e-05,1.668707599e-09,8.961876035e-05,9.310035042e-06,0.8976789796,1.143801124,68.72536052
