geometry,mesh_variant,N_CELLS,nNonOrthogonalCorrectors,delta_t_s,solver_status,max_cell_velocity_m_per_s,written_time_s
exactCircle,perturbed,32,0,5.999911523802416e-05,0,1.357998691760815e-05,5.99991e-05
exactCircle,perturbed,32,1,5.999911523802416e-05,0,1.0057985301576872e-05,5.99991e-05
exactCircle,perturbed,32,2,5.999911523802416e-05,0,8.536061434348557e-06,5.99991e-05
exactCircle,perturbed,32,4,5.999911523802416e-05,0,8.583163958419935e-06,5.99991e-05
exactCircle,perturbed,32,8,5.999911523802416e-05,0,8.583689071778465e-06,5.99991e-05
exactCircle,perturbed,32,16,5.999911523802416e-05,0,8.583689071778465e-06,5.99991e-05
exactCircle,perturbed,32,32,5.999911523802416e-05,0,8.583689071778465e-06,5.99991e-05
exactCircle,perturbed,32,64,5.999911523802416e-05,0,8.583689071778465e-06,5.99991e-05
exactCircle,perturbed,64,0,2.1212890625e-05,0,0.001370187832307981,2.12129e-05
exactCircle,perturbed,64,1,2.1212890625e-05,0,0.0007519431429776646,2.12129e-05
exactCircle,perturbed,64,2,2.1212890625e-05,0,0.0007377838528458739,2.12129e-05
exactCircle,perturbed,64,4,2.1212890625e-05,0,0.0007328349577894674,2.12129e-05
exactCircle,perturbed,64,8,2.1212890625e-05,0,0.0007327941155897849,2.12129e-05
exactCircle,perturbed,64,16,2.1212890625e-05,0,0.0007327941155897849,2.12129e-05
exactCircle,perturbed,64,32,2.1212890625e-05,0,0.0007327941155897849,2.12129e-05
exactCircle,perturbed,64,64,2.1212890625e-05,0,0.0007327941155897849,2.12129e-05
exactCircle,perturbed,128,0,7.49988940475302e-06,0,0.011830839555850438,7.49989e-06
exactCircle,perturbed,128,1,7.49988940475302e-06,0,0.0011460129149671297,7.49989e-06
exactCircle,perturbed,128,2,7.49988940475302e-06,0,0.0013406763119961861,7.49989e-06
exactCircle,perturbed,128,4,7.49988940475302e-06,0,0.0013880116383926772,7.49989e-06
exactCircle,perturbed,128,8,7.49988940475302e-06,0,0.0013918371603097548,7.49989e-06
exactCircle,perturbed,128,16,7.49988940475302e-06,0,0.0013918499878118652,7.49989e-06
exactCircle,perturbed,128,32,7.49988940475302e-06,0,0.0013918499878118652,7.49989e-06
exactCircle,perturbed,128,64,7.49988940475302e-06,0,0.0013918499878118652,7.49989e-06
