geometry,mesh_variant,N_CELLS,delta_t_s,variant,pressure_nonorthogonal_scheme,nNonOrthogonalCorrectors,constant_rAUf,solver_status,max_cell_velocity_m_per_s,written_time_s
exactCircle,perturbed,32,5.999911523802416e-05,correctedPhysicalRAUf,corrected,8,0,0,8.583689071778465e-06,5.99991e-05
exactCircle,perturbed,32,5.999911523802416e-05,correctedConstantRAUf,corrected,8,1,0,3.1627567494235594e-06,5.99991e-05
exactCircle,perturbed,32,5.999911523802416e-05,uncorrectedPhysicalRAUf,uncorrected,8,0,0,1.0437811939645322e-06,5.99991e-05
exactCircle,perturbed,32,5.999911523802416e-05,uncorrectedConstantRAUf,uncorrected,8,1,0,3.514461014771209e-07,5.99991e-05
exactCircle,perturbed,64,2.1212890625e-05,correctedPhysicalRAUf,corrected,8,0,0,0.0007327941155897849,2.12129e-05
exactCircle,perturbed,64,2.1212890625e-05,correctedConstantRAUf,corrected,8,1,0,0.0008581615851175317,2.12129e-05
exactCircle,perturbed,64,2.1212890625e-05,uncorrectedPhysicalRAUf,uncorrected,8,0,0,0.0007537334141169171,2.12129e-05
exactCircle,perturbed,64,2.1212890625e-05,uncorrectedConstantRAUf,uncorrected,8,1,0,0.0008876500672669543,2.12129e-05
exactCircle,perturbed,128,7.49988940475302e-06,correctedPhysicalRAUf,corrected,8,0,0,0.0013918371603097548,7.49989e-06
exactCircle,perturbed,128,7.49988940475302e-06,correctedConstantRAUf,corrected,8,1,0,0.001602545935009611,7.49989e-06
exactCircle,perturbed,128,7.49988940475302e-06,uncorrectedPhysicalRAUf,uncorrected,8,0,0,0.0018152314272792916,7.49989e-06
exactCircle,perturbed,128,7.49988940475302e-06,uncorrectedConstantRAUf,uncorrected,8,1,0,0.00202175682837986,7.49989e-06
