study,arm,N,trace,dt,steps,t_last,reached,complete,maxU,volErr,shapeL2,gradPsi0,gradPsiEnd,gradPsiRatio,A2h0,A2hEnd,A2hGrowth,commit
projFluxOscillating2D,oscillatingDroplet2D_00000,32,cellCentred,5.99991e-05,1666,0.1000184997,1.0001849969999999,True,9.685664938,0.01585766573,0.0005751122216,1163.328014,0.0,0.0,0.05931267698,0.8495558351,14.32334331135428,d6fc619
projFluxOscillating2D,oscillatingDroplet2D_00001,32,projectedFlux,5.99991e-05,1666,0.1000184997,1.0001849969999999,True,0.08023742473,0.07343592879,0.0007668691176,1163.225578,749.0212462,0.6439174484865049,0.05916796446,0.2507676688,4.238233832930477,d6fc619
projFluxOscillating2D,oscillatingDroplet2D_00002,64,cellCentred,2.12129e-05,1095,0.0232493384,0.232493384,False,5.788738835,0.1237814451,0.0004500793883,1432.98237,0.0,0.0,0.01480158537,0.8812093372,59.534794089425304,d6fc619
projFluxOscillating2D,oscillatingDroplet2D_00003,64,projectedFlux,2.12129e-05,4713,0.0999976106,0.9999761059999999,True,0.09073586542,0.02293228844,0.0004056469642,1433.032887,1035.254899,0.7224222893916041,0.01478857511,0.04327692565,2.926375619564338,d6fc619
projFluxOscillating2D,oscillatingDroplet2D_00004,128,cellCentred,7.49989e-06,2834,0.02126218815,0.2126218815,False,138.3143227,0.01341704461,0.0001352226394,1638.872051,0.0,0.0,0.003695966571,9.674264066,2617.519363380627,d6fc619
projFluxOscillating2D,oscillatingDroplet2D_00005,128,projectedFlux,7.49989e-06,13097,0.09823355922,0.9823355922,False,4.200118852,0.01206184477,0.0002510709844,1638.883307,0.0,0.0,0.003697532581,0.899482334,243.26556001752238,d6fc619
projFluxStationary2D,stationaryDroplet2D_00000,32,cellCentred,5.99991e-05,1666,0.1000184997,1.0001849969999999,True,0.0004169223112,0.00279055847,5.56695828e-06,0.9434938663,0.9501226383,1.0070257711647828,1.138556247e-05,1.118499936e-05,0.9823844355051877,d6fc619
projFluxStationary2D,stationaryDroplet2D_00001,32,projectedFlux,5.99991e-05,1666,0.1000184997,1.0001849969999999,True,8.698119532e-05,0.0006884641859,3.216367491e-06,0.9434610313,0.9307696841,0.9865480960220344,1.13796401e-05,1.445519759e-05,1.2702684323030569,d6fc619
projFluxStationary2D,stationaryDroplet2D_00002,64,cellCentred,2.12129e-05,4713,0.0999976106,0.9999761059999999,True,3.160328116e-05,0.001501243025,1.822186018e-06,0.9897469278,0.9672004014,0.9772199076686036,3.108400529e-06,3.825356171e-06,1.2306509844246654,d6fc619
projFluxStationary2D,stationaryDroplet2D_00003,64,projectedFlux,2.12129e-05,4713,0.0999976106,0.9999761059999999,True,0.0009983698119,0.0001528796777,3.718656533e-06,0.9897468426,0.965261111,0.975260611556307,3.106905101e-06,4.641556001e-06,1.4939484310306264,d6fc619
projFluxStationary2D,stationaryDroplet2D_00004,128,cellCentred,7.49989e-06,13333,0.1000035333,1.000035333,True,0.1127853976,0.003047127929,0.0001536613375,0.9980827634,0.3149653603,0.31557038338890925,7.271375399e-07,1.221461921e-05,16.79822391191606,d6fc619
projFluxStationary2D,stationaryDroplet2D_00005,128,projectedFlux,7.49989e-06,13333,0.1000035333,1.000035333,True,1.136096757e-05,1.285766277e-05,2.254877679e-07,0.9980827653,0.9874516781,0.9893484913580243,7.272656684e-07,8.40733689e-07,1.156020042647733,d6fc619
projFluxStationary2D,stationaryDroplet2D_00006,256,cellCentred,2.65161e-06,20158,0.05345380599,0.5345380598999999,False,117.8923822,0.178303966,0.0006161592683,0.9995838826,0.0,0.0,1.867546386e-07,0.6901790801,3695646.251541085,d6fc619
projFluxStationary2D,stationaryDroplet2D_00007,256,projectedFlux,2.65161e-06,37712,0.1000001679,1.000001679,True,5.964989776e-06,7.868976494e-06,5.943293804e-08,0.9995838887,0.9913532228,0.9917659078011909,1.867404287e-07,1.969744728e-07,1.0548035804096878,d6fc619
