target_snapshot_time_s,actual_snapshot_time_s,variant,surface_tension_force,curvature_extension,face_interpolation,face_curvature_source,fit_half_width,regularization_operator,tangential_regularization,regularization_iterations,preserve_modes_through,topology_valid,topology_reason,interface_elements,interface_components,open_endpoints,curvature_fits,curvature_fallbacks,solver_status,metric_samples,max_U_minus_Utrans_m_per_s
0,0,exactConstant,constantCurvatureSurfaceTension,none,arithmetic,model,3,helmholtz,1,30,,,not applicable,,,,,,0,1,7.595078011e-09
0,0,interfaceMean,reconstructedCurvature,interfaceMean,arithmetic,model,3,helmholtz,1,30,,,not applicable,,,,,,0,1,7.663368003e-09
0,0,quadraticCellCentre,reconstructedCurvature,none,arithmetic,model,3,helmholtz,1,30,,,not applicable,,,,,,0,1,0.00711277769
0,0,closestPointNewton,reconstructedCurvature,closestPointNewton,arithmetic,model,3,helmholtz,1,30,,,not applicable,,,,,,0,1,0.007074104623
0,0,footPointHeightFunction,reconstructedCurvature,footPointHeightFunction,arithmetic,model,3,helmholtz,1,30,,,not applicable,,,,,,0,1,0.000148910939
0,0,connectedInterface_h3_l1,reconstructedCurvature,connectedInterface,connectedInterface,model,3,helmholtz,1,30,,True,ok,52,1,0,52,0,0,1,0.003692155099
0,0,connectedInterface_h4_l4,reconstructedCurvature,connectedInterface,connectedInterface,model,4,helmholtz,4,60,,True,ok,52,1,0,52,0,0,1,0.000581028881
0,0,connectedInterface_h5_l16,reconstructedCurvature,connectedInterface,connectedInterface,model,5,helmholtz,16,120,,True,ok,52,1,0,52,0,0,1,0.000343710944
0,0,connectedInterface_h3_bi20,reconstructedCurvature,connectedInterface,connectedInterface,registered,3,biharmonic,0.05,20,,True,ok,52,1,0,52,0,0,1,0.001744941165
0,0,connectedInterface_h3_bi50,reconstructedCurvature,connectedInterface,connectedInterface,registered,3,biharmonic,0.05,50,,True,ok,52,1,0,52,0,0,1,0.00131382137
0,0,connectedInterface_h4_bi10,reconstructedCurvature,connectedInterface,connectedInterface,registered,4,biharmonic,0.05,10,,True,ok,52,1,0,52,0,0,1,0.002569110434
0,0,connectedInterface_h4_bi20,reconstructedCurvature,connectedInterface,connectedInterface,registered,4,biharmonic,0.05,20,,True,ok,52,1,0,52,0,0,1,0.001965044332
0,0,connectedInterface_h4_l16_preserve_m2_m4,reconstructedCurvature,connectedInterface,connectedInterface,registered,4,helmholtzPreserveModes,16,120,4,True,ok,52,1,0,52,0,0,1,0.001305370245
0,0,quadraticKang,reconstructedCurvature,none,interfaceWeighted,model,3,helmholtz,1,30,,,not applicable,,,,,,0,1,0.001186538682
0,0,fvmKang,correctionKang,fvm,interfaceWeighted,model,3,helmholtz,1,30,,,not applicable,,,,,,0,1,0.001911027566
0,0,sharedFace_divGradPsi,divGradPsiSnGradAlpha,connectedInterface,arithmetic,registered,3,biharmonic,0.05,20,,True,ok,52,1,0,52,0,0,1,0.001744941165
0,0,sharedFace_traceGradPsi,traceGradGradPsiSnGradAlpha,connectedInterface,arithmetic,registered,3,biharmonic,0.05,20,,True,ok,52,1,0,52,0,0,1,0.001744941165
0,0,sharedFace_traceGeoNormal,traceGradGeoNormalSnGradAlpha,connectedInterface,arithmetic,registered,3,biharmonic,0.05,20,,True,ok,52,1,0,52,0,0,1,0.001744941165
0,0,sharedFace_Kang,correctionKang,connectedInterface,interfaceWeighted,registered,3,biharmonic,0.05,20,,True,ok,52,1,0,52,0,0,1,0.001744941165
0,0,sharedFace_alphaCSF,divGradAlphaSnGradAlpha,connectedInterface,arithmetic,registered,3,biharmonic,0.05,20,,True,ok,52,1,0,52,0,0,1,0.00289294325
0,0,sharedFace_isoCSF,isoCurvature,connectedInterface,arithmetic,registered,3,biharmonic,0.05,20,,True,ok,52,1,0,52,0,0,1,0.001744941165
0.01,0.0099912759,exactConstant,constantCurvatureSurfaceTension,none,arithmetic,model,3,helmholtz,1,30,,,not applicable,,,,,,0,1,5.06841224e-09
0.01,0.0099912759,interfaceMean,reconstructedCurvature,interfaceMean,arithmetic,model,3,helmholtz,1,30,,,not applicable,,,,,,0,1,5.109679422e-09
0.01,0.0099912759,quadraticCellCentre,reconstructedCurvature,none,arithmetic,model,3,helmholtz,1,30,,,not applicable,,,,,,0,1,0.00846585115
0.01,0.0099912759,closestPointNewton,reconstructedCurvature,closestPointNewton,arithmetic,model,3,helmholtz,1,30,,,not applicable,,,,,,0,1,0.008430849569
