study,densityRatio,massFlux,momentumDivScheme,arm,stepsReached,tEnd,completed,readStep,readTime,travelFraction,maxMagUPrimeRel,meanMagUPrimeRel,gitCommit,maxMagUPrime,meanMagUPrime,phaseVolumeRelError,zeroSetRadialL2,gradPsiL2ErrorBand,rhoMassResidualRelL1,centroidX
translatingRepaired2D,838.824,rhoLENT,upwind,translatingDroplet2D_00000,9987,0.07490140143,0,5000,0.03749945,1.0169224727296,0.17905120345999997,0.007848350938,9471bde,0.008952560173,0.0003924175469,0.002615777878,2.243356187e-05,0.06485476998,1.574927608e-11,0.004406901671
translatingRepaired2D,838.824,rhoLENT,limitedLinearV 1,translatingDroplet2D_00001,8524,0.06392906236,0,5000,0.03749945,1.0193331539529245,0.18709321444,0.009453988278,9471bde,0.009354660722,0.0004726994139,0.002951634638,2.547725015e-05,0.07014339939,9.289199528e-05,0.004411421632
translatingRepaired2D,838.824,rhoLENT,vanLeerV,translatingDroplet2D_00002,8471,0.06353156819,0,5000,0.03749945,1.0192938547098689,0.18676172218,0.009020953383999998,9471bde,0.009338086109,0.0004510476692,0.002836620751,2.542339865e-05,0.06750117114,0.0001010061628,0.004411347947
translatingRepaired2D,838.824,rhoLENT,linearUpwind gradU,translatingDroplet2D_00003,8897,0.06672652133,0,5000,0.03749945,1.020784555506814,0.19868111478,0.00945594535,9471bde,0.009934055739,0.0004727972675,0.002804329764,2.734313448e-05,0.06628004783,7.843985941e-11,0.00441414297
translatingRepaired2D,838.824,geometricFaceDensity,upwind,translatingDroplet2D_00004,8535,0.06401156115,0,5000,0.03749945,1.0164476140316725,0.19781432711999997,0.008157904708,9471bde,0.009890716356,0.0004078952354,0.002684796438,2.182678549e-05,0.06585021068,0.009636425966,0.004406011324
translatingRepaired2D,838.824,geometricFaceDensity,limitedLinearV 1,translatingDroplet2D_00005,8478,0.06358406742,0,5000,0.03749945,1.0190477028329747,0.22617808279999999,0.009594226632,9471bde,0.01130890414,0.0004797113316,0.002985729616,2.511516802e-05,0.06994959332,0.009931510853,0.004410886419
translatingRepaired2D,838.824,geometricFaceDensity,vanLeerV,translatingDroplet2D_00006,8477,0.06357656753,0,5000,0.03749945,1.019393718041198,0.218905489,0.009441255866,9471bde,0.01094527445,0.0004720627933,0.002935723967,2.556166734e-05,0.06861960978,0.01003198226,0.004411535188
translatingRepaired2D,838.824,geometricFaceDensity,linearUpwind gradU,translatingDroplet2D_00007,8427,0.06320157303,0,5000,0.03749945,1.0201764356543894,0.2396556708,0.009833136667999998,9471bde,0.01198278354,0.0004916568334,0.002895357939,2.657042236e-05,0.06741917142,0.01039315809,0.004413002762
translatingRepairedEqualRho2D,1.0,rhoLENT,upwind,translatingDroplet2D_00000,13334,0.1000035333,1,5000,0.03749945,0.9955093069365017,0.06650390458,0.006306920814,9471bde,0.003325195229,0.0003153460407,0.0007835045958,5.861044951e-06,0.04721303414,0.9923885831,0.004366752574
translatingRepairedEqualRho2D,1.0,rhoLENT,limitedLinearV 1,translatingDroplet2D_00001,13334,0.1000035333,1,5000,0.03749945,0.9956615161022363,0.06563386709999999,0.006148802516,9471bde,0.003281693355,0.0003074401258,0.0008312952544,5.669879339e-06,0.04809988562,0.9924793409,0.004367037962
translatingRepairedEqualRho2D,1.0,rhoLENT,vanLeerV,translatingDroplet2D_00002,13334,0.1000035333,1,5000,0.03749945,0.9957325075434438,0.06586552768,0.006148962057999999,9471bde,0.003293276384,0.0003074481029,0.0008178367058,5.575242409e-06,0.04777675468,0.9927585943,0.004367171069
translatingRepairedEqualRho2D,1.0,rhoLENT,linearUpwind gradU,translatingDroplet2D_00003,13334,0.1000035333,1,5000,0.03749945,0.9967899193188167,0.06075631278,0.005684380902,9471bde,0.003037815639,0.0002842190451,0.000775749362,4.17540799e-06,0.04566626499,0.9930780167,0.004369153687
translatingRepairedEqualRho2D,1.0,geometricFaceDensity,upwind,translatingDroplet2D_00004,13334,0.1000035333,1,5000,0.03749945,0.9955093069365017,0.06650390458,0.006306920814,9471bde,0.003325195229,0.0003153460407,0.0007835045958,5.861044951e-06,0.04721303414,0.9923624692,0.004366752574
translatingRepairedEqualRho2D,1.0,geometricFaceDensity,limitedLinearV 1,translatingDroplet2D_00005,13334,0.1000035333,1,5000,0.03749945,0.9956615161022363,0.06563386709999999,0.006148802516,9471bde,0.003281693355,0.0003074401258,0.0008312952544,5.669879339e-06,0.04809988562,0.9924716474,0.004367037962
translatingRepairedEqualRho2D,1.0,geometricFaceDensity,vanLeerV,translatingDroplet2D_00006,13334,0.1000035333,1,5000,0.03749945,0.9957325075434438,0.06586552768,0.006148962057999999,9471bde,0.003293276384,0.0003074481029,0.0008178367058,5.575242409e-06,0.04777675468,0.9927319902,0.004367171069
translatingRepairedEqualRho2D,1.0,geometricFaceDensity,linearUpwind gradU,translatingDroplet2D_00007,13334,0.1000035333,1,5000,0.03749945,0.9967899193188167,0.06075631278,0.005684380902,9471bde,0.003037815639,0.0002842190451,0.000775749362,4.17540799e-06,0.04566626499,0.9930596423,0.004369153687
