metric,valueBound,lipschitzMode,N64,N128,order,relToNonePercent
phaseVolumeRelError,none,unity,0.001212290078,0.0005013747424,1.2737737247376628,0.0
phaseVolumeRelError,lipschitzCone,unity,0.001147634687,8.310431054e-05,3.7875963586565264,-83.42471139607211
phaseVolumeRelError,none,stencil,0.001212290078,0.0005013747424,1.2737737247376628,0.0
phaseVolumeRelError,lipschitzCone,stencil,0.0005553143387,0.0002115625851,1.392220139048707,-57.803501610933964
zeroSetRadialL2,none,unity,2.037732194e-06,5.23060045e-07,1.9619159836999795,0.0
zeroSetRadialL2,lipschitzCone,unity,9.202934939e-07,3.733123105e-07,1.3017109449592095,-28.629167135103966
zeroSetRadialL2,none,stencil,2.037732194e-06,5.23060045e-07,1.9619159836999795,0.0
zeroSetRadialL2,lipschitzCone,stencil,9.523030882e-07,1.867112652e-07,2.3506118361843598,-64.30404750185039
centroidError,none,unity,2.095417125e-06,2.349033114e-07,3.157098507063842,0.0
centroidError,lipschitzCone,unity,1.186436897e-06,5.154920428e-07,1.2026133067188172,119.44860620640871
centroidError,none,stencil,2.095417125e-06,2.349033114e-07,3.157098507063842,0.0
centroidError,lipschitzCone,stencil,1.298887346e-06,2.458113425e-07,2.4016529168079734,4.6436259391105414
l2MagUPrime,none,unity,0.0002041906171,0.0001727159056,0.24151562511436905,0.0
l2MagUPrime,lipschitzCone,unity,0.0001247230677,0.0001225261859,0.025638207948053916,-29.059118513518072
l2MagUPrime,none,stencil,0.0002041906171,0.0001727159056,0.24151562511436905,0.0
l2MagUPrime,lipschitzCone,stencil,0.000196929608,8.462542528e-05,1.2185169500649227,-51.00310826265905
meanMagUPrime,none,unity,9.072328459e-05,7.38958508e-05,0.29597951292522057,0.0
meanMagUPrime,lipschitzCone,unity,3.716691315e-05,3.151542005e-05,0.23796098032953034,-57.35157020480506
meanMagUPrime,none,stencil,9.072328459e-05,7.38958508e-05,0.29597951292522057,0.0
meanMagUPrime,lipschitzCone,stencil,5.028901532e-05,2.49979503e-05,1.008433498762443,-66.17137494274576
gradPsiL2ErrorBand,none,unity,0.03752871809,0.01746937765,1.1031667984569375,0.0
gradPsiL2ErrorBand,lipschitzCone,unity,0.007119054553,0.007065506732,0.010892623499850979,-59.55490302197457
gradPsiL2ErrorBand,none,stencil,0.03752871809,0.01746937765,1.1031667984569375,0.0
gradPsiL2ErrorBand,lipschitzCone,stencil,0.006994017103,0.003635634022,0.9439143447969218,-79.18853152733807
