study,case,dim,domainLength,LoverR,N,cells,h,RoverH,dt,curvatureExtension,psiFilter,psiFilterTheta,np,nSteps,tEnd,reachedEndTime,maxMagU_end,volumeRelError_end,shapeL2_end,minGradPsiBand_end,pLaplace_end,driverAcrossSupportL2_end,driverAlongInterfaceL2_end,A2hL2Band_end,driverAcrossSupportL2_t0,driverAlongInterfaceL2_t0,maxMagU_t0,A2hL2Band_t0
cellCentreInverseFiltered,stationaryDroplet2D_00000,2,0.01,10.0,64,4096,0.00015625,6.4,2.12129e-05,cellCentreInverse,biharmonicBand,0.05,,4714,0.0999976106,1,0.01327305265,0.004372834395,0.0002112052118,0.9519524583,72.65616665,56.62981999,15.0202159,1.82515511e-06,8.025831395,17.7472489,0.0008095401355,1.517281314e-06
cellCentreInverseFiltered,stationaryDroplet2D_00001,2,0.01,10.0,64,4096,0.00015625,6.4,2.12129e-05,cellCentreInverse,biharmonicBand,0.2,,4714,0.0999976106,1,0.002241452933,0.004956149324,3.776602734e-05,0.9787110715,72.63229117,19.2535596,19.45125562,1.538359896e-06,8.025983803,17.75209953,0.0008090342217,1.517243668e-06
cellCentreInverseFiltered,stationaryDroplet2D_00002,2,0.01,10.0,128,16384,7.8125e-05,12.8,7.49989e-06,cellCentreInverse,biharmonicBand,0.05,,13334,0.1000035333,1,0.0004917620148,0.0001144628532,3.961960585e-06,0.9969979844,72.75957214,10.04537696,5.871567839,3.599174451e-07,1.845572577,4.567506787,6.622462963e-05,3.511866856e-07
cellCentreInverseFiltered,stationaryDroplet2D_00003,2,0.01,10.0,128,16384,7.8125e-05,12.8,7.49989e-06,cellCentreInverse,biharmonicBand,0.2,,13334,0.1000035333,1,0.0004151488347,2.572695707e-05,5.244890041e-06,0.995544586,72.76336548,4.549922696,4.980662474,3.55344908e-07,1.841777025,4.565212567,6.673226955e-05,3.511862114e-07
cellCentreInverseFiltered,stationaryDroplet2D_00004,2,0.01,10.0,256,65536,3.90625e-05,25.6,2.65161e-06,cellCentreInverse,biharmonicBand,0.05,,37713,0.1000001679,1,0.009296046207,3.22634434e-05,1.36641175e-06,0.9835408834,72.72989277,321.0355031,237.5331038,8.896928762e-08,0.4188645209,1.05926941,5.830886371e-06,8.622833096e-08
cellCentreInverseFiltered,stationaryDroplet2D_00005,2,0.01,10.0,256,65536,3.90625e-05,25.6,2.65161e-06,cellCentreInverse,biharmonicBand,0.2,,37713,0.1000001679,1,0.0001024142976,7.325212259e-06,8.135182386e-08,0.9996245154,72.74547796,1.285786818,0.7487027876,8.636535825e-08,0.4171425473,1.059037395,5.809245872e-06,8.622832222e-08
cellCentreInverseFiltered512,stationaryDroplet2D_00000,2,0.01,10.0,512,262144,1.953125e-05,51.2,9.37486e-07,cellCentreInverse,biharmonicBand,0.2,,106668,0.09999975665,1,5.099329466e-05,1.965821008e-07,1.468976801e-08,0.9998826285,72.74050479,3.538611504,3.728516923,2.132264053e-08,0.1172062732,0.268231864,4.672322618e-07,2.133931101e-08
stationaryDroplet3Dwide,stationaryDroplet3D_00000,3,0.006,6.0,60,216000,0.0001,10.0,1.0861e-05,cellCentreInverse,biharmonicBand,0.2,,9207,0.099997227,1,0.001003524099,0.0001631403178,4.953065261e-06,0.9936186196,145.6277255,4.899595719,2.625399105,8.0537319e-07,3.184182636,3.069658403,0.0002120621602,8.066077173e-07
stationaryDroplet3Dwide,stationaryDroplet3D_00001,3,0.006,6.0,76,438976,7.894736842105263e-05,12.666666666666666,7.61862e-06,cellCentreInverse,biharmonicBand,0.2,,13126,0.1000020061,1,0.001057367409,0.0001051361296,1.884814708e-06,0.9964798135,145.5710121,8.615527711,6.049909089,5.059441114e-07,1.942100373,1.882141933,7.823312345e-05,5.089664896e-07
stationaryDroplet3Dwide,stationaryDroplet3D_00002,3,0.006,6.0,95,857375,6.31578947368421e-05,15.833333333333334,5.45144e-06,cellCentreInverse,biharmonicBand,0.2,,18344,0.1000012154,1,0.07036203872,0.0006151360885,1.207427571e-05,0.8585936311,145.623548,228.4409283,163.7033885,3.311132609e-07,1.251894122,1.146173432,4.090922899e-05,3.250791127e-07
