method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,surfaceTensionForce,psiDdt,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.00390625,,0.5,0.0,0.0,0.633107041354,,0.190920584174,0.632121022878,0.395925696793,0.393693452766,0.800449798858,0.671118318566,0.0721478552101,0.367878977122,0.606306547234,0.367878977122,0.606306547234,0.367878977122,0.606306547234,1,1,1,1,1,1,,0,UpwindUext,,,,,,,,sdpls1Dstretch,1Dstretch_00009,1,093e3a4-dirty,2026-08-26T14:51:26+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.00390625,,0.5,0.0,0.0,0.0459124241091,,0.190920584151,7.49835458368e-14,0.0459124241091,3.70069993143e-14,0.457565862887,0.457565862887,0.0721478551958,1,1,1,1,1,1,1,1,1,1,1,1,,0,UpwindUext,,,,,,,,sdpls1Dstretch,1Dstretch_00010,1,093e3a4-dirty,2026-08-26T14:51:26+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:Rdiv/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.00390625,,0.5,0.0,0.0,0.633107041354,,0.190920584174,0.632121022878,0.395925696793,0.393693452766,0.800449798858,0.671118318566,0.0721478552101,0.367878977122,0.606306547234,0.367878977122,0.606306547234,0.367878977122,0.606306547234,1,1,1,1,1,1,,0,UpwindUext,,,,,,,,sdpls1Dstretch,1Dstretch_00011,1,093e3a4-dirty,2026-08-26T14:51:23+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0078125,,0.5,0.0,0.0,0.634062243177,,0.190921716193,0.632122401649,0.399175821388,0.394797127063,0.799283398431,0.669796835684,0.0724820542554,0.367877598347,0.60520287293,0.367877598351,0.605202872937,0.367877598355,0.605202872944,1,1,1,1,1,1,,0,UpwindUext,,,,,,,,sdpls1Dstretch,1Dstretch_00006,1,093e3a4-dirty,2026-08-26T14:51:23+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0078125,,0.5,0.0,0.0,0.0647593243881,,0.190921716146,1.55163349567e-14,0.0647593243891,4.76879238207e-15,0.454393639393,0.454393640522,0.0724820542263,1,1,1,1,1,1,1,1,1,1,1,1,,0,UpwindUext,,,,,,,,sdpls1Dstretch,1Dstretch_00007,1,093e3a4-dirty,2026-08-26T14:51:26+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:Rdiv/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0078125,,0.5,0.0,0.0,0.634062243177,,0.190921716193,0.632122401649,0.399175821388,0.394797127063,0.799283398431,0.669796835684,0.0724820542554,0.367877598347,0.60520287293,0.367877598351,0.605202872937,0.367877598355,0.605202872944,1,1,1,1,1,1,,0,UpwindUext,,,,,,,,sdpls1Dstretch,1Dstretch_00008,1,093e3a4-dirty,2026-08-26T14:51:23+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.015625,,0.5,0.0,0.0,0.635875824611,,0.190926172762,0.632127833241,0.406128583694,0.397733473674,0.79685647167,0.667420588908,0.0733771600053,0.367872166456,0.602266526057,0.367872166759,0.602266526326,0.367872167062,0.602266526595,1,1,1,1,1,1,,0,UpwindUext,,,,,,,,sdpls1Dstretch,1Dstretch_00003,1,093e3a4-dirty,2026-08-26T14:51:26+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.015625,,0.5,0.0,0.0,0.0910917756473,,0.190926173306,8.84603314568e-13,0.0910917503869,1.22628141166e-15,0.447789633274,0.447789081128,0.0733771602658,0.999999999999,1,1,1,1,1,1,1,1,1,1,1,,0,UpwindUext,,,,,,,,sdpls1Dstretch,1Dstretch_00004,1,093e3a4-dirty,2026-08-26T14:51:23+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:Rdiv/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.015625,,0.5,0.0,0.0,0.635875824611,,0.190926172762,0.632127833241,0.406128583694,0.397733473674,0.79685647167,0.667420588908,0.0733771600053,0.367872166456,0.602266526057,0.367872166759,0.602266526326,0.367872167062,0.602266526595,1,1,1,1,1,1,,0,UpwindUext,,,,,,,,sdpls1Dstretch,1Dstretch_00005,1,093e3a4-dirty,2026-08-26T14:51:23+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.03125,,0.5,0.0,0.0,0.639093323069,,0.190943320082,0.632148844679,0.401118187207,0.384702328135,0.791594015832,0.651552171524,0.0694699845443,0.367850673735,0.615297472879,0.367851155321,0.615297671865,0.367851636907,0.615297870851,1,1,1,1,1,1,,0,UpwindUext,,,,,,,,sdpls1Dstretch,1Dstretch_00000,1,093e3a4-dirty,2026-08-26T14:51:26+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
