method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+SDPLS:R/simpleImp+moll:band(1)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,2022.0,1011.1527986463192,0.19007561142,2.7378352166e-05,0.00211463093735,0.136514885413,0.974145350892,1.6045779878,1.27464055335,2.94652352353,0.00205067732745,0.972282567596,0.316065543914,1.08381817198,2.36782544216,1.54137522244,3.77623568153,-2.77610407438,-0.00567765302208,2.76927144911,-0.00772477846652,0.00372925357986,0.00827249475838,,0,UpwindUext,,,,,,,,sdplsBand2Dvortex,2Dvortex_00016,4,a2175d1-dirty,2026-08-14T22:42:17+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(2)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,1922.0,961.145241838885,0.21889359635,2.99768007404e-05,0.00229858891067,0.170535891804,0.972870841004,1.58945878625,1.53833726187,2.95006266493,0.00230574267435,0.967762552777,0.326011924911,1.10547613103,2.3569208064,1.66561965971,3.76184811543,-2.77666615304,-0.00605753188815,2.76936919731,-0.0077247497714,0.00373103309414,0.0082701988807,,0,UpwindUext,,,,,,,,sdplsBand2Dvortex,2Dvortex_00017,4,a2175d1-dirty,2026-08-14T22:42:16+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(3)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,1998.0,999.150985012535,0.245939860486,3.19292541025e-05,0.00242038323169,0.200446163419,0.971602204045,1.57406558703,1.79144108347,2.95398196637,0.0025431187469,0.963194466649,0.335850494968,1.1251024482,2.34585624042,1.7328494436,3.74785034851,-2.77699296321,-0.00607993366686,2.76928810843,-0.00772656193054,0.00373218906475,0.00826864881926,,0,UpwindUext,,,,,,,,sdplsBand2Dvortex,2Dvortex_00018,4,a2175d1-dirty,2026-08-14T22:42:16+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(5)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,2079.0,1039.6571060265567,0.294502498348,3.51371962147e-05,0.00266881873543,0.260442638056,0.969066180821,1.54466912956,2.25111059358,2.96335160204,0.00297306666609,0.955146670089,0.354031992703,1.16321824211,2.32484173718,1.92123858635,3.72071446885,-2.76634391434,-0.00759299328462,2.76920147734,-0.00771679586059,0.00373370051917,0.00827071442167,,0,UpwindUext,,,,,,,,sdplsBand2Dvortex,2Dvortex_00019,4,a2175d1-dirty,2026-08-14T22:42:16+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(1)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,1404.0,702.1216389826016,0.231578023705,5.03817084479e-05,0.00331928193086,0.188705337343,0.969844750531,1.56490663846,1.45330347999,2.93379724697,0.00383986263762,0.971001520358,0.34358189886,1.12245606071,2.3390637543,1.62834883615,3.7697245459,-2.78704334095,-0.0139407189452,2.77717248305,-0.0378158754287,0.0203382457233,0.045372784834,,0,UpwindUext,,,,,,,,sdplsBand2Dvortex,2Dvortex_00012,4,a2175d1-dirty,2026-08-14T22:42:16+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(2)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,1475.0,737.6277902416932,0.265108051136,5.41704277051e-05,0.00350540043171,0.230989309342,0.967886519835,1.54677235022,1.67834053977,2.93653070589,0.00439912908796,0.965178886977,0.359358828826,1.15208675855,2.32708723352,1.73156668158,3.74878404476,-2.78016649648,-0.0141408047978,2.77898637283,-0.0389735609086,0.0203505077337,0.0453499512494,,0,UpwindUext,,,,,,,,sdplsBand2Dvortex,2Dvortex_00013,4,a2175d1-dirty,2026-08-14T22:42:16+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(3)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,1888.0,944.1635715093673,0.294919857458,5.64602540364e-05,0.00359563033087,0.270163707074,0.965966710072,1.52834742534,1.87417877666,2.94056573426,0.00494780023356,0.960076515921,0.370296065085,1.17944256369,2.31461338849,1.80590901766,3.72909803334,-2.77910734521,-0.0142015429783,2.78132077549,-0.0396524911057,0.0203598864426,0.0455614745348,,0,UpwindUext,,,,,,,,sdplsBand2Dvortex,2Dvortex_00014,4,a2175d1-dirty,2026-08-14T22:42:17+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(5)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,1511.0,755.6309091899651,0.348022904083,6.03762813067e-05,0.00388602336043,0.335945235697,0.962294857768,1.4921438366,2.32623752767,2.95207247764,0.00580125502801,0.951256672531,0.376323519149,1.22520521312,2.28726898024,1.92109210744,3.69266973522,-2.77791101086,-0.0138985995099,2.78126065833,-0.0396713315523,0.0203608059526,0.0455698088265,,0,UpwindUext,,,,,,,,sdplsBand2Dvortex,2Dvortex_00015,4,a2175d1-dirty,2026-08-14T22:42:16+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(1)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,1186.0,593.0,0.281713391273,9.45098766288e-05,0.0045807849874,0.245363082899,0.96277049921,1.57443172221,1.60623422647,2.88949907654,0.00719283110268,0.939257243476,0.380539266617,1.16943643904,2.33935183326,1.66478255098,3.79905630287,-2.80590493624,-0.0144930703168,2.75923282116,-0.0269296336604,0.0129919035059,0.0294726651184,,0,UpwindUext,,,,,,,,sdplsBand2Dvortex,2Dvortex_00008,4,a2175d1-dirty,2026-08-14T22:42:16+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(2)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,1068.0,534.0,0.31846326509,9.77297043461e-05,0.00458505998054,0.30134653929,0.960083618753,1.55314638399,1.87271380187,2.88512586838,0.00809639877935,0.930133068989,0.38163716038,1.20873482032,2.32476982479,1.89348898237,3.77590425668,-2.80561916555,0.0110937273128,2.76449411517,-0.0267968467982,0.0129945015286,0.0295455422313,,0,UpwindUext,,,,,,,,sdplsBand2Dvortex,2Dvortex_00009,4,a2175d1-dirty,2026-08-14T22:42:17+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
