method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+SDPLS:R/simpleImp+moll:band(1)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0078125,,0.5,21062.0,7022.504388976937,0.691549068286,0.00473086849148,0.269571245037,1.60452922983,2.09351829352,4.56550152821,116.915437321,35.205075621,0.228729643158,0.426708686634,0.166477240994,1.83783867151,4.16839916242,6.93216849651,36.205075621,-5.23827837297,1.39687841857,5.01613975718,-0.0498187755096,0.00307707754046,0.059963240321,,,,,,,,,,,sdplsBand3Ddeformation,3Ddeformation_00012,16,a2175d1-dirty,2026-08-14T22:42:14+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(2)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0078125,,0.5,23486.0,7830.715890205694,0.716156335589,0.00475926671509,0.271204672074,1.61632226729,2.08909184134,4.52918924571,115.694856077,35.2133191849,0.230323415743,0.481119993081,0.201618261035,1.84858466766,4.12742652544,7.26854321058,36.2133191849,-5.21565464573,1.39458745692,5.01317033998,-0.0498145236309,0.00299485926817,0.059962469076,,,,,,,,,,,sdplsBand3Ddeformation,3Ddeformation_00013,16,a2175d1-dirty,2026-08-14T22:42:14+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(3)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0078125,,0.5,457.0,152.3732079461808,0.74659767799,0.00478177309046,0.272509698628,1.62189492679,2.08464958476,4.49067838674,120.495465836,35.2233235165,0.231801864902,0.548066861753,0.216752031918,1.85864318126,4.08763321549,7.37430351649,36.2233235165,-5.26618908039,1.38531074517,5.0312355147,-0.0517519431821,0.00291994278885,0.0599616182097,,,,,,,,,,,sdplsBand3Ddeformation,3Ddeformation_00014,16,a2175d1-dirty,2026-08-14T22:42:14+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(5)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0078125,,0.5,22348.0,7451.283262978663,0.787726927185,0.00483298241383,0.276116193078,1.69901548733,2.07553891653,4.44009750297,83.6236866812,35.2477193078,0.234378968747,0.642192047928,0.184159500549,1.91137355369,4.02430427405,7.71987742296,36.2477193078,-5.24790604181,1.39442743997,4.98070790288,-0.0517975514135,0.00282005899039,0.0599598062825,,,,,,,,,,,sdplsBand3Ddeformation,3Ddeformation_00015,16,a2175d1-dirty,2026-08-14T22:42:14+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(1)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.00980392156862745,,0.5,15981.0,5327.0,0.598521374291,0.00594087436691,0.332773496767,1.23512735076,1.94434248718,3.54727730593,56.373519667,28.0655967197,0.290898111657,0.671740529627,0.159174533926,1.65631667719,3.52289890817,4.98830374919,28.6328027758,-5.10614701118,1.2632723208,4.86457681989,-0.0320201327315,0.00151649551339,0.0390117219316,,,,,,,,,,,sdplsBand3Ddeformation,3Ddeformation_00008,16,a2175d1-dirty,2026-08-14T22:42:14+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(2)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.00980392156862745,,0.5,209.0,69.66666666666667,0.629105244658,0.00596231415492,0.334781728781,1.23960290391,1.93897884794,3.49412122734,77.3058566039,28.0713754049,0.292358017991,0.661462945393,0.181691363477,1.66227612025,3.46945559131,5.01138763503,28.6424639184,-5.03068859387,1.25769734202,4.83265041619,-0.0320183525301,0.00148484148976,0.0390087132317,,,,,,,,,,,sdplsBand3Ddeformation,3Ddeformation_00009,16,a2175d1-dirty,2026-08-14T22:42:14+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(3)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.00980392156862745,,0.5,16562.0,5520.666666666667,0.643493408668,0.00598552410386,0.337147037005,1.24402340488,1.9336310515,3.44749726644,51.6494247787,28.0790875345,0.293730897727,0.66133722941,0.215669767819,1.66845591807,3.42405891281,4.96829167672,28.6554866106,-5.01118467663,1.26502058125,4.7988729083,-0.0320159034477,0.00153621506921,0.0390051179424,,,,,,,,,,,sdplsBand3Ddeformation,3Ddeformation_00010,16,a2175d1-dirty,2026-08-14T22:42:14+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(5)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.00980392156862745,,0.5,17585.0,5861.666666666667,0.687911873127,0.00601099525738,0.340383360935,1.29942827917,1.92311794862,3.38577798934,81.4438688548,28.0956740301,0.295996129359,0.665433458189,0.174093742961,1.70496107463,3.35579798299,5.11735987085,28.6876814479,-5.02961464709,1.29337655812,4.76103623031,-0.0320086957383,0.00160451832899,0.0389975534622,,,,,,,,,,,sdplsBand3Ddeformation,3Ddeformation_00011,16,a2175d1-dirty,2026-08-14T22:42:14+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(1)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.012345679012345678,,0.5,77.0,25.666666666666668,0.960302276148,0.00730829704231,0.407876724425,1.00384063541,1.8038196797,2.92285602146,180.492672718,22.203256091,0.368305102179,0.727090826425,0.182969634811,1.55188300617,3.03848677231,3.99858504176,23.203256091,-4.90943180379,1.16600640727,4.73575893529,-0.095911270455,0.011142403779,0.115328292583,,,,,,,,,,,sdplsBand3Ddeformation,3Ddeformation_00004,16,a2175d1-dirty,2026-08-14T22:42:14+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(2)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.012345679012345678,,0.5,76.0,25.333333333333332,2.16996840242,0.00729991277548,0.410346067527,1.01067510347,1.79741955876,2.86497541534,619.77450315,22.2044165736,0.369476285896,0.697925941603,0.243028245085,1.55905309505,2.98432411692,4.03440898174,23.2044165736,-4.88284440299,1.18197559494,4.68873221328,-0.0959322632893,0.0112477229443,0.115322984866,,,,,,,,,,,sdplsBand3Ddeformation,3Ddeformation_00005,16,a2175d1-dirty,2026-08-14T22:42:14+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(3)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.012345679012345678,,0.5,13224.0,4408.0,3.33833630255,0.00729784689382,0.413264611448,1.02474962131,1.79125110912,2.81891026993,896.501932072,22.2106845449,0.370493194016,0.677928789547,0.276436031524,1.56754991753,2.94147671623,4.08611825612,23.2106845449,-4.85324302719,1.19727992135,4.64902610924,-0.0959575016908,0.0113721735047,0.115317333601,,,,,,,,,,,sdplsBand3Ddeformation,3Ddeformation_00006,16,a2175d1-dirty,2026-08-14T22:42:14+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(5)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.012345679012345678,,0.5,14569.0,4856.333333333333,0.764898329704,0.00729680013078,0.41843339592,1.03863158217,1.77962396299,2.75295995066,117.406538393,22.2279859141,0.371840997238,0.665623886099,0.319348309412,1.57020073368,2.87768113851,4.2209860074,23.2279859141,-4.81613161632,1.23256716716,4.57018969083,-0.0959710488768,0.0116233317241,0.115306372037,,,,,,,,,,,sdplsBand3Ddeformation,3Ddeformation_00007,16,a2175d1-dirty,2026-08-14T22:42:14+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(1)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.015625,,0.5,10743.0,3581.0,0.4793426941,0.008899048665,0.508269972279,0.654692422567,1.65842864407,2.18507335336,8.8433592378,17.596446186,0.461011378082,0.681105292594,0.253200499601,1.34391491005,2.5389412259,3.13491826363,16.406722386,-4.73032119955,0.995035738233,4.43517918621,-0.01279980889,-0.00175757287901,0.0108771202201,,,,,,,,,,,sdplsBand3Ddeformation,3Ddeformation_00000,16,a2175d1-dirty,2026-08-14T22:42:14+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(2)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.015625,,0.5,12742.0,4247.333333333333,0.499575021244,0.0088570186722,0.511591068178,0.66057629418,1.65156076734,2.11628274717,13.0649098919,17.5871137686,0.461639966471,0.640051549444,0.25455842679,1.34202978046,2.4803943018,3.17881247446,16.3900268582,-4.73364873928,1.02230854583,4.39965406866,-0.0127948272307,-0.00174703582989,0.0108813383201,,,,,,,,,,,sdplsBand3Ddeformation,3Ddeformation_00001,16,a2175d1-dirty,2026-08-14T22:42:14+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
