method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+SDPLS:R/simpleImp+moll:band(1)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0078125,,0.5,14036.0,4678.666666666667,0.408640121953,0.000613248329548,0.00977910223483,0.208596403175,1.39504443497,2.35312457507,3.89560255632,5.26898228423,0.0128029254372,0.840323648684,0.316589209244,1.11372437617,3.04972687479,1.78991000043,5.34068573037,-2.72398511722,-0.0433118923109,3.10600885156,-0.000938869857398,-0.000369479285786,0.000733570141493,,,,,,,,,,,sdplsBand3Dshear,3Dshear_00012,16,a2175d1-dirty,2026-08-14T22:42:16+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(2)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0078125,,0.5,14236.0,4745.333333333333,0.430833268852,0.000638328199206,0.0119446789502,0.250565512778,1.3919550793,2.31376760021,4.32563294191,5.26822718771,0.0123883202697,0.793771420357,0.319329480689,1.13874944925,3.01247238782,1.93637365917,5.34720051331,-2.73747848775,-0.0426314285999,3.10682169971,-0.000977061927638,-0.000369555078758,0.000736202891556,,,,,,,,,,,sdplsBand3Dshear,3Dshear_00013,16,a2175d1-dirty,2026-08-14T22:42:17+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(3)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0078125,,0.5,15229.0,5076.333333333333,0.450006186207,0.000660660836418,0.0140971099099,0.285976714173,1.38872796083,2.27503928593,4.64955609641,5.26741661512,0.0119242755611,0.778776488595,0.322084369803,1.16028432441,2.97509887412,2.06865635204,5.35242526416,-2.74416587379,-0.0416408062972,3.10689088037,-0.001013464744,-0.000369436622898,0.000738104528971,,,,,,,,,,,sdplsBand3Dshear,3Dshear_00014,16,a2175d1-dirty,2026-08-14T22:42:16+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(5)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0078125,,0.5,16244.0,5414.666666666667,0.484885309311,0.000697910789121,0.0179798134803,0.341306336215,1.38200337604,2.20272473518,5.05560581143,5.26557923268,0.0107942838639,0.732435916196,0.321856348549,1.19253190019,2.90395674467,2.32132262681,5.35972212939,-2.75035601993,-0.0393825720104,3.10510334414,-0.00106228526932,-0.000369334640165,0.000764562544006,,,,,,,,,,,sdplsBand3Dshear,3Dshear_00015,16,a2175d1-dirty,2026-08-14T22:42:16+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(1)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.00980392156862745,,0.5,11135.0,3711.6666666666665,0.423233285047,0.000930990840135,0.0110241690054,0.244977880827,1.38272002636,2.27194789308,3.74106471162,5.22617523274,0.0173251993505,0.756471426963,0.225387886855,1.10855591748,2.95364110155,2.16122364132,5.39731518073,-2.71170717997,-0.0735271387996,3.10585640633,-0.047331517846,-0.0141330820089,0.030236328595,,,,,,,,,,,sdplsBand3Dshear,3Dshear_00008,16,a2175d1-dirty,2026-08-14T22:42:17+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(2)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.00980392156862745,,0.5,11986.0,3995.3333333333335,0.446438316406,0.000966900451878,0.0143619652608,0.284798562504,1.37885097956,2.22629971983,4.15212758444,5.22621046279,0.0161122308661,0.731515096076,0.23281130989,1.13217016148,2.90965004516,2.37375589984,5.39330694732,-2.73573800888,-0.0722816334565,3.10570763255,-0.0482257715442,-0.0141218435314,0.0304863144385,,,,,,,,,,,sdplsBand3Dshear,3Dshear_00009,16,a2175d1-dirty,2026-08-14T22:42:16+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(3)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.00980392156862745,,0.5,13552.0,4517.333333333333,0.46721486978,0.000995617556312,0.0174481067595,0.312787542316,1.37486219731,2.18220919065,4.50384530658,5.2260794011,0.0148965182644,0.701825547011,0.199997106108,1.15007678825,2.86661201631,2.51314546221,5.38745270628,-2.74159303794,-0.0693339934055,3.10571277691,-0.0495399566122,-0.0141151385395,0.0306741578137,,,,,,,,,,,sdplsBand3Dshear,3Dshear_00010,16,a2175d1-dirty,2026-08-14T22:42:16+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(5)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.00980392156862745,,0.5,11769.0,3923.0,0.50556999873,0.00103627177632,0.022983226301,0.358673048372,1.36669256337,2.10035245604,5.57122314102,5.22516950822,0.0123331110834,0.639021826593,0.233251137758,1.17731917627,2.78592162499,2.59490896263,5.372294465,-2.74362855879,-0.0629062531979,3.09753202218,-0.048631692715,-0.0141043042942,0.0307675523233,,,,,,,,,,,sdplsBand3Dshear,3Dshear_00011,16,a2175d1-dirty,2026-08-14T22:42:16+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(1)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.012345679012345678,,0.5,8505.0,2835.894690668546,0.437496834964,0.00131335647313,0.00224751870305,0.318648499326,1.36631159074,2.11987653838,3.66497366513,5.13927375345,0.030701911478,0.686418179136,0.14195838265,1.10371456206,2.7846464652,3.18083998644,5.4473453009,-2.70525485826,-0.0856270658911,3.07930389107,-0.0349366966491,-0.0108684292968,0.0343741728852,,,,,,,,,,,sdplsBand3Dshear,3Dshear_00004,16,a2175d1-dirty,2026-08-14T22:42:17+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+moll:band(2)+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.012345679012345678,,0.5,8950.0,2984.2748361532613,0.461989585727,0.00134997762102,0.00721505473674,0.353764208802,1.36161307092,2.06970353001,4.23458596263,5.1445061942,0.0283995922633,0.663740814122,0.130879356533,1.12557465836,2.73458256598,3.46948827605,5.40561337569,-2.71013980013,-0.0840964725271,3.08204498117,-0.0367929364464,-0.0108513495273,0.0289762828948,,,,,,,,,,,sdplsBand3Dshear,3Dshear_00005,16,a2175d1-dirty,2026-08-14T22:42:16+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
