method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr
euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,3017.0,1508.8381433700674,0.501053114937,,0.0373702134778,0.460257820852,0.827640722299,0.569612706555,0.000265303743323,0.0641941188067,0.125960772693,1.37274409015,1.50233190165,1.8220566406,1.94078835054,-2.7488198845,-0.5147856969,2.25939535496,-2.4151844123,-0.867243450266,2.65350238831,0.5,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00024,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,2870.0,1435.3216677070245,0.883400995383,,0.0357750302703,0.941162456353,1.01892351604,0.984263641336,9.31692670544e-05,0.11799366657,0.18488899036,1.87903756508,1.92853602395,2.49921699405,2.63639024215,-2.73963326903,-0.517065280056,0.630357894366,-2.43476793705,-0.867421991474,2.59618046919,1.0,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00025,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,3004.0,1502.3366863386418,1.43149187692,,0.0342623621163,1.46947345648,1.54835603739,1.45258270881,0.000371793349714,0.247785858611,0.270505500608,2.41238198616,2.40113570281,3.23704737455,3.42977727348,-2.52289389639,-0.516374772757,1.65624299703,-2.45989160734,-0.868499343819,2.65779706145,1.5,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00026,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(2)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,2924.0,1462.3277199914075,1.83414006599,,0.0331582407524,2.01496328648,2.65246745457,1.95793451265,0.00060183607937,0.360981478747,0.379643151171,2.95765143925,2.90752308018,4.03014893854,4.40732519768,-2.5123117528,-0.517314494179,2.5115393995,-2.49361835948,-0.870020224101,2.49239128962,2.0,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00027,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,2043.0,1021.9957866869037,0.577482695295,,0.0951124784119,0.481090496731,0.660553827881,0.58526489801,0.0035424282003,0.0369368099899,0.204194545579,1.38022675941,1.50194345493,1.77353686146,2.00657738078,-2.73313582411,-0.494793860356,2.70141772929,-2.67876886013,-0.874328379144,0.443242355364,0.5,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00020,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,2086.0,1043.5062217468826,0.83965002087,,0.102033963179,0.98819520083,1.10743323078,0.991832780863,0.00276642572394,0.0931710200447,0.308102784077,1.91652482463,1.92213416012,2.41712186521,2.70243348764,-2.69004944101,-0.501649477852,0.883904894131,-2.68002838588,-0.872586028475,0.443190767419,1.0,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00021,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,2203.0,1102.0346148170577,1.28352142151,,0.105629379596,1.55081928675,1.49013175848,1.45545276949,0.00183563197686,0.147133715945,0.450108587107,2.4880468852,2.3904896306,3.12016491409,3.54715876389,-2.6807668355,-0.50656431456,0.88134473689,-2.68322100526,-0.872274655618,0.443114888085,1.5,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00022,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(2)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,1991.0,995.9831675446036,1.98915109489,,0.107182944882,2.13501829579,2.13663193519,1.95851101669,0.00089814229767,0.280794133606,0.63458604727,3.07657002874,2.89309428055,3.88054165024,4.47556528655,-2.69984785315,-0.509646985145,1.3296615698,-2.68754932067,-0.869717778746,0.443003562808,2.0,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00023,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,1638.0,819.0,0.446209684184,,0.158080812625,0.435992900501,0.54701222166,0.668196309322,0.00162391858425,0.182562499251,0.106059811808,1.30676219729,1.56801403143,1.71360236786,2.16077383449,-1.59404633003,-0.451729700078,0.907148202053,-2.12517442791,-0.838890627275,2.62971227265,0.5,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00016,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,1627.0,813.5,0.742741048052,,0.186712283954,0.931852596231,0.980859234113,1.08892664785,0.00206541471917,0.0582035316314,0.153806412962,1.83921677902,2.00387175212,2.31728914058,2.78922108112,-2.67495077818,-0.46576274478,2.72208481642,-2.153692127,-0.839333925149,2.67673904817,1.0,0,UpwindUext,,,,,,,,sdplsBetaSweep,2Dvortex_00017,4,a2175d1-dirty,2026-08-12T15:32:10+00:00,off,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
