method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.00390625,,0.5,1610.0,1610.5291103561256,1.6633885516,,0.00232834195334,2.77784777615,0.756096707884,1.26492123847,4.71220070245,2.31142755162,0.000275131523217,0.161240775889,0.351028972647,3.51918859573,2.00269658961,5.69592126587,3.29689378945,-2.40530182049,-0.869678813959,2.60052949808,-3.01453101647,-1.44120817429,2.61831915324,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00036,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.00390625,,0.5,1880.0,1880.6178431487676,1.6633885516,,0.00232834195334,2.77784777615,0.756096707884,1.26492123847,4.71220070245,2.31142755162,0.000275131523217,0.161240775889,0.351028972647,3.51918859573,2.00269658961,5.69592126587,3.29689378945,-2.40530182049,-0.869678813959,2.60052949808,-3.01453101647,-1.44120817429,2.61831915324,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00037,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.00390625,,0.5,1374.0,1374.451551322557,4.47043300627,,0.000478215385361,0.0894829962651,3.15258039816,0.0151082966954,119.599529771,73.4991183018,6.76962153195e-05,0.280039176914,0.912949453051,1.02128262131,1.00169141339,1.30147471261,1.07018832077,-2.67485864062,-0.874179325375,1.46302148072,-3.00657835432,-1.44165701627,2.67462469698,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00038,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.00390625,,0.5,1503.0,1503.4939458790413,4.06134599715,,0.000474559168784,0.0894555472825,3.31652815654,0.0151081733765,96.2386943346,75.7472963829,6.770599429e-05,0.280075234827,0.912948390325,1.02126877577,1.00169130688,1.30147571128,1.07018390729,-2.67484385663,-0.874177965111,1.46227547812,-3.00657828657,-1.44165709978,2.67462489062,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00039,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.00390625,,0.5,1470.0,1470.4831007599407,1.01905241812,,9.31692670544e-05,0.983494223957,0.578677402629,0.785159399794,12.7423028207,4.1264212012,0.000170309232494,0.185480626157,0.410031641068,1.92714857793,1.65412806201,2.63230822312,2.28751613003,-2.4297760041,-0.86592201408,2.54828482556,-3.00833588478,-1.44160277512,2.63088057468,1.0,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00040,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.00390625,,0.5,1363.0,1363.4479362828565,1.039901999,,9.31639370758e-05,0.98349415354,0.578673885454,0.785159398752,12.8879528272,4.1258624208,0.000170309064275,0.185480517777,0.410031648387,1.92714851078,1.65412806113,2.63230813121,2.2875161321,-2.42977593675,-0.865922000011,2.54828258191,-3.00833588394,-1.44160277061,2.63088021438,1.0,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00041,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0055248618784530384,,0.5,1012.0,1012.5252983708384,1.65400906231,,0.00351612407867,2.83903898564,0.754073501845,1.26248269198,4.79168202424,2.30594078362,0.000491742256453,0.152717495284,0.353099979384,3.55370642314,1.99930521755,5.79168202424,3.2974127659,-2.68510691848,-0.872947660676,0.441045782586,-3.02325542252,-1.44452944019,2.66326574032,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00030,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0055248618784530384,,0.5,1032.0,1032.5356797615664,1.65400906231,,0.00351612407867,2.83903898564,0.754073501845,1.26248269198,4.79168202424,2.30594078362,0.000491742256453,0.152717495284,0.353099979384,3.55370642314,1.99930521755,5.79168202424,3.2974127659,-2.68510691848,-0.872947660676,0.441045782586,-3.02325542252,-1.44452944019,2.66326574032,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00031,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0055248618784530384,,0.5,1199.0,1199.6223643741455,3.44917439927,,0.00606081898648,0.151606525746,2.78893070819,0.0241932335912,75.166307243,51.4744522192,0.000151225531391,0.327692449749,0.872093318819,1.07350655115,1.00167796888,1.40838958569,1.10474852743,-2.68798632705,-0.871215530513,1.49605136387,-3.00751984918,-1.44064221542,2.66618879659,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00032,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0055248618784530384,,0.5,1690.0,1690.8772275165188,3.65444493304,,0.00608557615827,0.151526055706,2.69123645936,0.0241922328281,56.5531451704,57.6009792392,0.000151665041104,0.3277365262,0.872089609226,1.07336107989,1.00167273137,1.40839457155,1.10474261922,-2.68803248956,-0.871197279355,1.49557805322,-3.00752788585,-1.44064245696,2.66617419711,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00033,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0055248618784530384,,0.5,1180.0,1180.612502052954,1.10744556337,,0.00276642572394,0.991145904027,0.57696168438,0.784166223842,11.5537639717,2.6956574534,0.000298728882718,0.31590259973,0.409116121499,1.92182603325,1.65247973036,2.70693091158,2.28995961905,-2.68021264433,-0.871618766817,0.440739677205,-3.01375984697,-1.44424063924,2.66876093934,1.0,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00034,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0055248618784530384,,0.5,1081.0,1081.56111416885,1.1114462535,,0.00276642521586,0.991146329522,0.576960607733,0.784166230719,11.574983284,2.69546812676,0.000298728512242,0.315902255895,0.409116196179,1.9218264188,1.65247973762,2.70692572427,2.28995958958,-2.68021253993,-0.871618798619,0.440739952418,-3.01375986349,-1.4442406272,2.66876092662,1.0,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00035,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0078125,,0.5,788.0,789.0290695026838,1.63727735026,,0.00381886085417,2.85967365626,0.752206753393,1.2633196813,4.75926528879,2.30703278868,0.00099840659511,0.12834259073,0.356562019285,3.56877064217,1.99448790866,5.75926528879,3.30194424998,-1.97466664583,-0.824910187976,2.62819287672,-3.04073572386,-1.42601175041,2.60253575032,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00024,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0078125,,0.5,891.0,892.1635798564611,1.63727735026,,0.00381886085417,2.85967365626,0.752206753393,1.2633196813,4.75926528879,2.30703278868,0.00099840659511,0.12834259073,0.356562019285,3.56877064217,1.99448790866,5.75926528879,3.30194424998,-1.97466664583,-0.824910187976,2.62819287672,-3.04073572386,-1.42601175041,2.60253575032,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00025,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0078125,,0.5,780.0,781.0186220965652,2.63291460643,,0.0255060005543,0.18831817123,2.02942482356,0.0408951859715,40.4632741098,35.7767099866,0.00177563008435,0.0699742648266,0.783954843803,1.10933258116,1.00797149436,1.36922599979,1.14514687027,-2.70346217139,-0.849173343497,2.46403653811,-3.01188490469,-1.42491477873,2.62633440476,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00026,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0078125,,0.5,791.0,792.0329872799783,2.79988788732,,0.0254748021429,0.188177489502,1.98264608869,0.0408972491791,43.9272878141,29.4504857554,0.00177577118934,0.0699707118866,0.783946532756,1.10923088496,1.00797356891,1.3692227638,1.14513822142,-2.70311181846,-0.849352413033,2.4449155255,-3.01191903609,-1.42491599798,2.62634147475,,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00027,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0078125,,0.5,767.0,768.0016450616225,0.980636814234,,0.00206541471917,1.08651580582,0.579783029077,0.785103661893,8.52123592617,2.88361480736,0.000599792719629,0.155374803761,0.414425480699,2.00068187002,1.65014806798,2.78193760947,2.28381261668,-2.14426873093,-0.841141637335,2.6815979455,-3.02566108866,-1.42549704028,2.56242788076,1.0,0,UpwindUext,,,,,,,,sdplsConv2Dvortex,2Dvortex_00028,4,a2175d1-dirty,2026-08-12T16:28:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
