method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0049261083743842365,,0.5,54802.0,18268.68837955771,0.588958907856,0.00256344052768,0.113884733476,2.17426185665,2.43768701699,7.72846232689,0.103383209358,0.211676014129,0.0411582735958,1.97061747071,6.14093781754,8.41803860271,56.9952350595,-5.99724721736,1.05290684467,5.47658453423,-0.0640050903507,-0.0103268513174,0.0530510862227,,,,,,,,,,,sdplsConv3Ddeformation,3Ddeformation_00030,16,a2175d1-dirty,2026-08-13T04:27:21+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0049261083743842365,,0.5,48774.0,16259.205996579461,0.588958907856,0.00256344052768,0.113884733476,2.17426185665,2.43768701699,7.72846232689,0.103383209358,0.211676014129,0.0411582735958,1.97061747071,6.14093781754,8.41803860271,56.9952350595,-5.99724721736,1.05290684467,5.47658453423,-0.0640050903507,-0.0103268513174,0.0530510862227,,,,,,,,,,,sdplsConv3Ddeformation,3Ddeformation_00031,16,a2175d1-dirty,2026-08-13T04:27:21+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0049261083743842365,,0.5,53200.0,17734.648768155726,3.92298398087,0.00185171811974,0.00858665984704,0.388152831975,3.78815610643,0.414645340719,0.00119297282977,0.0548435667218,0.0135519264265,0.75941625648,1.12051988293,1.37502331066,4.32276983209,-5.30069721217,0.638527772159,5.41485912751,-0.0640224713164,-0.0121979449029,0.0532324554801,,,,,,,,,,,sdplsConv3Ddeformation,3Ddeformation_00032,16,a2175d1-dirty,2026-08-13T04:27:22+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0049261083743842365,,0.5,53612.0,17871.992288691068,3.92759942311,0.00184592334192,0.00832307297138,0.391204740023,3.76845390305,0.407930407358,0.00110088097901,0.0556508836212,0.0127803830702,0.755791535204,1.11600444045,1.37438227304,4.45175038897,-5.3086148262,0.642576303482,5.40640167053,-0.0640224674952,-0.0122159102848,0.053303801531,,,,,,,,,,,sdplsConv3Ddeformation,3Ddeformation_00033,16,a2175d1-dirty,2026-08-13T04:27:21+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0049261083743842365,,0.5,51426.0,17143.271570510835,1.00186647736,0.0015561642462,0.0846310087304,0.511565524194,1.78453700103,0.887526157396,0.0560612797339,0.0102435277878,0.493132418592,0.732288851728,1.72938073045,33.8599616735,3.96287227298,-6.27265652027,0.0141791096017,6.11307685897,-0.0640235723646,-0.0138530147394,0.051260863111,1.0,,,,,,,,,,sdplsConv3Ddeformation,3Ddeformation_00034,16,a2175d1-dirty,2026-08-13T04:27:21+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0049261083743842365,,0.5,54962.0,18322.025669085997,1.00571008058,0.00155616457869,0.0846310487111,0.512068733455,1.7859017654,0.887526280919,0.0560612593261,0.0102437273842,0.493132243682,0.732216390088,1.7293809137,34.0348880424,3.96287212465,-6.2726565299,0.0141804403848,6.11308048617,-0.0640235723646,-0.0138530151739,0.0512608620452,1.0,,,,,,,,,,sdplsConv3Ddeformation,3Ddeformation_00035,16,a2175d1-dirty,2026-08-13T04:27:21+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.006211180124223602,,0.5,30487.0,10162.333333333334,0.558940139347,0.00347199553703,0.177787826965,1.83019997827,2.26628102505,6.02818580041,0.156549628544,0.130252908121,0.162594122319,1.83564710131,5.10320420204,7.10875912694,45.2604811248,-5.78224243202,1.19079485892,5.2692463322,-0.0642688705523,0.00804602815248,0.0670357393954,,,,,,,,,,,sdplsConv3Ddeformation,3Ddeformation_00024,16,a2175d1-dirty,2026-08-13T04:27:21+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.006211180124223602,,0.5,29832.0,9944.0,0.558940139347,0.00347199553703,0.177787826965,1.83019997827,2.26628102505,6.02818580041,0.156549628544,0.130252908121,0.162594122319,1.83564710131,5.10320420204,7.10875912694,45.2604811248,-5.78224243202,1.19079485892,5.2692463322,-0.0642688705523,0.00804602815248,0.0670357393954,,,,,,,,,,,sdplsConv3Ddeformation,3Ddeformation_00025,16,a2175d1-dirty,2026-08-13T04:27:22+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.006211180124223602,,0.5,32755.0,10918.333333333334,3.33734302436,0.00244768794508,0.00886037272189,0.436912044923,3.30054104653,0.386413875917,0.00822035531705,0.0210266616466,0.035911301205,0.683873252381,1.0785901747,1.3391395588,4.06970900491,-5.32145992466,0.751913131382,5.28437396849,-0.0559575609996,0.0108064414946,0.0670656432811,,,,,,,,,,,sdplsConv3Ddeformation,3Ddeformation_00026,16,a2175d1-dirty,2026-08-13T04:27:21+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.006211180124223602,,0.5,33002.0,11000.666666666666,3.34694572061,0.00246628744084,0.0109776923695,0.436200750172,3.32170385993,0.383030342668,0.00882707986891,0.0239108959779,0.0342005154353,0.684278890314,1.07726519655,1.34012935761,4.02392398358,-5.31525977279,0.760140705942,5.28938935376,-0.0560245476863,0.0107453071137,0.0670656435858,,,,,,,,,,,sdplsConv3Ddeformation,3Ddeformation_00027,16,a2175d1-dirty,2026-08-13T04:27:22+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
