method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0049261083743842365,,0.5,31370.0,10456.666666666666,0.317077496318,0.00014728230221,0.0013682842842,0.0160820644954,1.42192800464,2.5350258254,0.00622217537361,0.960127902938,0.144719340637,1.00297736619,3.24259698381,1.09020712192,5.44023617563,-2.73418066914,-0.0178389158829,3.09645328056,-0.0022733226178,0.00112518114619,0.00352913402316,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00030,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0049261083743842365,,0.5,32304.0,10768.0,0.317077496318,0.00014728230221,0.0013682842842,0.0160820644954,1.42192800464,2.5350258254,0.00622217537361,0.960127902938,0.144719340637,1.00297736619,3.24259698381,1.09020712192,5.44023617563,-2.73418066914,-0.0178389158829,3.09645328056,-0.0022733226178,0.00112518114619,0.00352913402316,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00031,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0049261083743842365,,0.5,36149.0,12049.666666666666,3.78562571015,0.000538159297561,0.0253321517437,0.227157679853,3.45704920206,0.118491225864,0.00743935749279,0.275660339152,0.285872377611,1.00826235679,1.05353206609,1.51345088352,1.41606523363,-2.74517398147,-0.0121388700817,3.09618189137,-0.00321007500269,0.00111331400551,0.00370914892489,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00032,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0049261083743842365,,0.5,37268.0,12422.666666666666,3.71759506479,0.000538340512486,0.0253476435769,0.227331690635,3.49265434771,0.118494489871,0.00743988984993,0.27560515733,0.285951145051,1.00836925141,1.05353369557,1.51713935144,1.41605602101,-2.74499911695,-0.0121863114699,3.09617869529,-0.00320999826424,0.00111331307243,0.00370950821937,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00033,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0049261083743842365,,0.5,37110.0,12370.0,0.831080620238,0.00036741982428,0.00197741529266,0.445416930332,1.78450352193,0.450582585809,0.00151755711634,0.335237809812,0.326194083774,0.722505002757,1.41161706185,1.85967488238,2.47069832769,-2.7579247593,0.00745789287706,3.09303464763,-0.00233993500106,0.00111962060151,0.00373695785746,1.0,,,,,,,,,,sdplsConv3Dshear,3Dshear_00034,16,a2175d1-dirty,2026-08-12T17:47:05+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.0049261083743842365,,0.5,34951.0,11650.333333333334,0.827147037929,0.000367419045574,0.00197739129993,0.445412248405,1.78252037819,0.450582583816,0.00151755917971,0.335237750148,0.3261940975,0.722513050705,1.41161705675,1.85967770602,2.47072398383,-2.75792507466,0.0074482691521,3.09303469121,-0.00233990951666,0.00111962064157,0.00373695787847,1.0,,,,,,,,,,sdplsConv3Dshear,3Dshear_00035,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.006211180124223602,,0.5,19377.0,6459.45742339843,0.317509505848,0.000290329383518,0.00341711398989,0.0275478699396,1.41761226374,2.55078077198,0.00913791177798,0.937449298522,0.289842013393,1.00361263341,3.24395780251,1.14188563041,5.5363239314,-2.72291465935,-0.0268946338118,3.08804083654,-0.0408138034861,-0.0134130435753,0.0276505687228,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00024,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.006211180124223602,,0.5,20397.0,6799.481502041482,0.317509505848,0.000290329383518,0.00341711398989,0.0275478699396,1.41761226374,2.55078077198,0.00913791177798,0.937449298522,0.289842013393,1.00361263341,3.24395780251,1.14188563041,5.5363239314,-2.72291465935,-0.0268946338118,3.08804083654,-0.0408138034861,-0.0134130435753,0.0276505687228,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00025,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.006211180124223602,,0.5,21743.0,7248.17994307437,3.32946285326,0.00093540565737,0.0463518572536,0.2501127327,3.12068542366,0.143056519544,0.0180152878391,0.254958103407,0.314717969586,0.985398274571,1.06779632415,1.57662272545,1.38091909316,-2.71997625744,-0.027353002616,3.08838696649,-0.0440267966647,-0.0131609516504,0.040918858146,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00026,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.006211180124223602,,0.5,23065.0,7688.8778175509515,3.26525091821,0.00093543411529,0.0463541749027,0.250216745463,3.10072276366,0.143056032679,0.0180148687504,0.255131216625,0.315016633779,0.985493428436,1.06779985884,1.58612987434,1.38092028209,-2.71911015911,-0.0273572326769,3.08825551759,-0.0440265227053,-0.0131609242676,0.0409178068627,,,,,,,,,,,sdplsConv3Dshear,3Dshear_00027,16,a2175d1-dirty,2026-08-12T17:47:05+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,3.0,0.006211180124223602,,0.5,21828.0,7276.515282961291,0.804790147724,0.000646737944385,0.00335689388499,0.435439035602,1.23438116144,0.476145202905,0.00289225619142,0.331121747462,0.443338214274,0.739290830539,1.42657740214,1.78701321189,2.62578819441,-2.69074209837,0.0219480489713,3.0962378095,-0.0438665470856,-0.0132364778279,0.0270364856951,1.0,,,,,,,,,,sdplsConv3Dshear,3Dshear_00028,16,a2175d1-dirty,2026-08-12T17:47:04+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
