method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,surfaceTensionForce,psiDdt,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.00390625,,0.5,21.0,10.501586929561178,4.40567998435,2.63618541175e-05,0.00137268860561,0.0836588470335,4.23222309318,0.0309310231145,98.9037794728,96.4565057005,9.08619619351e-05,0.598092473061,0.771846275226,0.990359635959,1.00440309537,1.14748329316,1.21326555881,-2.7744614101,-0.000129660360688,2.7732964918,-0.00766922721238,0.00372750551422,0.00826512738023,,0,UpwindUext,,,,,,,,sdplsExpSource2DvortexRev,2Dvortex_00012,4,b487722,2026-08-19T20:27:30+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/expFactor+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.00390625,,0.5,35.0,17.502644882601963,4.72631128974,0.000130783963793,0.00367836516417,0.0824715295736,3.94923602738,0.0318059900622,111.393705795,84.9882775262,0.00107696165307,0.594417878096,0.744513130491,0.988318692531,1.00328237198,1.15593959552,1.20977262913,-2.76932445252,-0.00914420747273,2.79203716126,-0.00746903502868,0.00371015188456,0.00824291142557,,0,UpwindUext,,,,,,,,sdplsExpSource2DvortexRev,2Dvortex_00013,4,b487722,2026-08-19T20:27:30+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0055248618784530384,,0.5,9.0,4.500779737067959,3.39889664816,4.77286726354e-05,0.00269692524773,0.108735382064,2.71186445548,0.0536115539921,78.8122407601,54.5961004966,0.000967730172912,0.515933084332,0.681213491335,0.975465169703,1.00965612598,1.20019679073,1.23018611368,-2.78780957256,-0.0130726200588,2.78361091287,-0.0388210355386,0.0202620064757,0.0453053329391,,0,UpwindUext,,,,,,,,sdplsExpSource2DvortexRev,2Dvortex_00010,4,b487722,2026-08-19T20:27:30+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/expFactor+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0055248618784530384,,0.5,8.0,4.0006930996159635,3.37804718265,0.0001735383885,0.00611299741744,0.103595667777,2.8290883144,0.0530861290663,56.037560677,48.1348090035,0.00068119203723,0.540337717785,0.766837214224,0.975923446182,1.00788695894,1.21165486315,1.23510578532,-2.76793069806,-0.0109004746918,2.81016004483,-0.0419027570996,0.0201791105321,0.0452101957072,,0,UpwindUext,,,,,,,,sdplsExpSource2DvortexRev,2Dvortex_00011,4,b487722,2026-08-19T20:27:30+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0078125,,0.5,5.0,2.5,2.83456591529,0.000119150533748,0.00592480286796,0.147685992268,2.33311087257,0.0958200614704,53.4241194165,42.6389525621,9.99111209309e-05,0.468423599653,0.646646918025,0.980818267567,1.04968337784,1.21636392985,1.27615299939,-2.80558560079,0.00529087770725,2.79871948755,-0.0248820081157,0.012828132323,0.0291701773526,,0,UpwindUext,,,,,,,,sdplsExpSource2DvortexRev,2Dvortex_00008,4,b487722,2026-08-19T20:27:30+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/expFactor+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0078125,,0.5,6.0,3.0,2.44598942717,0.00024877160151,0.0109046079463,0.13947808827,2.12079379991,0.0947868083595,39.1638753244,35.9581896537,0.00220368135821,0.507915738163,0.617317729936,0.980535991032,1.04508901729,1.20687651225,1.28702152511,-2.80093247638,-0.00778603107667,2.81981993276,-0.0268568220843,0.0127357859788,0.029057375925,,0,UpwindUext,,,,,,,,sdplsExpSource2DvortexRev,2Dvortex_00009,4,b487722,2026-08-19T20:27:30+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.011111111111111112,,0.5,2.0,1.0,2.3135592801,0.000253508567811,0.0278850888408,0.206978623767,2.03026465607,0.135424463888,51.2195018961,38.5829585491,0.0116976587342,0.442777104241,0.602119599555,1.01030032281,1.08877321018,1.40777305745,1.33110723319,-2.84804334623,0.0236576604865,2.82979452027,-0.0416427567297,0.0202039458161,0.0468016712835,,0,UpwindUext,,,,,,,,sdplsExpSource2DvortexRev,2Dvortex_00006,4,b487722,2026-08-19T20:27:30+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/expFactor+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.011111111111111112,,0.5,3.0,1.5,2.01755570237,0.000399850632348,0.0349038046824,0.214646779869,1.72229001546,0.135161311401,26.4412621779,22.2507108687,0.0149582920217,0.419605749005,0.568040301146,1.0007049798,1.0852529102,1.47002568918,1.32145668206,-2.79116686543,0.00225956108795,2.84715223158,-0.0427710776653,0.0201544951631,0.0466789226434,,0,UpwindUext,,,,,,,,sdplsExpSource2DvortexRev,2Dvortex_00007,4,b487722,2026-08-19T20:27:30+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.015625,,0.5,1.0,0.5,1.54366468507,0.000530597477535,0.0577958014459,0.257550853803,1.56939736537,0.171946445875,17.1666499506,17.4471961332,0.0334698994281,0.330426159848,0.463713112446,0.968188105156,1.10996862596,1.42098066696,1.32869451077,-2.86040609717,-0.0238742371728,2.86261162802,-0.0993852543348,0.0438169834991,0.105968638261,,0,UpwindUext,,,,,,,,sdplsExpSource2DvortexRev,2Dvortex_00004,4,b487722,2026-08-19T20:27:30+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/expFactor+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.015625,,0.5,1.0,0.5,1.4628719253,0.000625271009106,0.0676728868607,0.256207720573,1.54201945921,0.175427785331,17.0204725548,12.7419155178,0.0378836244012,0.322037736194,0.441425709886,0.959255874077,1.10336652205,1.43037156686,1.32974566945,-2.77106736518,-0.0175813802162,2.94358352026,-0.0957507911642,0.0435973483222,0.105476141113,,0,UpwindUext,,,,,,,,sdplsExpSource2DvortexRev,2Dvortex_00005,4,b487722,2026-08-19T20:27:30+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.022222222222222223,,0.5,0.0,0.0,0.897514691988,0.000797029193305,0.0765971563406,0.298377370157,1.25593393219,0.239719679043,5.23151055644,7.32684020276,0.0523719685539,0.289911555147,0.227588474609,0.882910467477,1.06867251926,1.37707191711,1.49134319207,-2.8976020762,-0.111124154664,2.92009015142,-0.0278996516833,0.0128929591131,0.032437003847,,0,UpwindUext,,,,,,,,sdplsExpSource2DvortexRev,2Dvortex_00002,4,b487722,2026-08-19T20:27:30+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
