method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,surfaceTensionForce,psiDdt,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.00390625,,0.5,19.0,19.00624415948223,4.47043300627,,0.000478215385361,0.0894829962651,3.15258039816,0.0151082966954,119.599529771,73.4991183018,6.76962153195e-05,0.280039176914,0.912949453051,1.02128262131,1.00169141339,1.30147471261,1.07018832077,-2.67485864062,-0.874179325375,1.46302148072,-3.00657835432,-1.44165701627,2.67462469698,,0,UpwindUext,,,,,,,,sdplsExpSource2Dvortex,2Dvortex_00012,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/expFactor+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.00390625,,0.5,29.0,29.009530559209715,4.39000142306,,0.000116775673936,0.0886858335729,3.13652108576,0.0151607090497,97.2592207346,89.5467898971,0.00148109393379,0.316531728121,0.901950704729,1.0215787433,1.00075409769,1.29440126935,1.06653597222,-2.68527020864,-0.872721478694,1.50026255438,-3.00159098658,-1.44129984387,2.66495427811,,0,UpwindUext,,,,,,,,sdplsExpSource2Dvortex,2Dvortex_00013,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0055248618784530384,,0.5,8.0,8.004152556291213,3.44917439927,,0.00606081898648,0.151606525746,2.78893070819,0.0241932335912,75.166307243,51.4744522192,0.000151225531391,0.327692449749,0.872093318819,1.07350655115,1.00167796888,1.40838958569,1.10474852743,-2.68798632705,-0.871215530513,1.49605136387,-3.00751984918,-1.44064221542,2.66618879659,,0,UpwindUext,,,,,,,,sdplsExpSource2Dvortex,2Dvortex_00010,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/expFactor+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0055248618784530384,,0.5,6.0,6.00311441721841,3.42122604919,,0.00691070130805,0.150570038445,2.54534631855,0.0238874298922,95.7444166395,54.0128012833,0.00202816728559,0.319284671028,0.859607232153,1.06843683931,1.00047750257,1.36824810701,1.09806127491,-2.63748345884,-0.867578879007,1.79164124503,-3.00146355248,-1.43788241328,2.62969931384,,0,UpwindUext,,,,,,,,sdplsExpSource2Dvortex,2Dvortex_00011,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0078125,,0.5,4.0,4.0052237030593085,2.63291460643,,0.0255060005543,0.18831817123,2.02942482356,0.0408951859715,40.4632741098,35.7767099866,0.00177563008435,0.0699742648266,0.783954843803,1.10933258116,1.00797149436,1.36922599979,1.14514687027,-2.70346217139,-0.849173343497,2.46403653811,-3.01188490469,-1.42491477873,2.62633440476,,0,UpwindUext,,,,,,,,sdplsExpSource2Dvortex,2Dvortex_00008,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/expFactor+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0078125,,0.5,3.0,3.0039177772944816,2.85896320538,,0.0265647324726,0.191085633464,2.07463343572,0.0410261752329,36.2476787579,39.8898979684,0.00121630721854,0.0657903432658,0.754725906328,1.10343003565,1.00585631857,1.34751798332,1.14122676818,-2.63210987623,-0.844242592789,2.57792999409,-3.00254762705,-1.4188087777,2.62809104174,,0,UpwindUext,,,,,,,,sdplsExpSource2Dvortex,2Dvortex_00009,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.011111111111111112,,0.5,2.0,2.0,2.39203580036,,0.0489070883262,0.23026749446,1.69401727465,0.087410492838,26.7244618327,31.4693431623,0.000261143384949,0.251373348295,0.760282457715,1.07538616208,1.04818253757,1.37049208615,1.31112199878,-2.65709419822,-0.842158568519,2.08204924622,-3.0155414229,-1.42191760103,2.58745258376,,0,UpwindUext,,,,,,,,sdplsExpSource2Dvortex,2Dvortex_00006,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/expFactor+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.011111111111111112,,0.5,2.0,2.0,2.47623993581,,0.0498064941157,0.232945257611,1.62627030454,0.087252868891,28.8212220663,20.2312206024,0.00446116280431,0.230568017702,0.735271197103,1.07081719123,1.04456470395,1.36902236619,1.31649940645,-2.50754022568,-0.836567486259,1.43218235881,-3.00403136625,-1.42014518426,2.63921264754,,0,UpwindUext,,,,,,,,sdplsExpSource2Dvortex,2Dvortex_00007,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.015625,,0.5,1.0,1.0,1.91051083006,,0.0581179882226,0.291998201061,1.23597974359,0.136068234957,16.1211640985,7.86181047643,0.0134705409575,0.162587632447,0.689109939802,1.04085084282,1.09617322969,1.77780316609,1.30579624099,-2.17284770574,-0.786892663721,1.67731113695,-2.99308038737,-1.36092601712,2.55352041428,,0,UpwindUext,,,,,,,,sdplsExpSource2Dvortex,2Dvortex_00004,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/expFactor+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.015625,,0.5,1.0,1.0,1.92324130015,,0.0595593704182,0.292329592014,1.39475448203,0.138007854464,13.474682533,13.837742571,0.0193686356693,0.143377038655,0.651940543308,1.02893347129,1.09341058202,1.71841461681,1.29426413588,-2.6266316169,-0.782453723656,1.32460540906,-2.97883838864,-1.35795001019,2.58137040994,,0,UpwindUext,,,,,,,,sdplsExpSource2Dvortex,2Dvortex_00005,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.022222222222222223,,0.5,1.0,1.0027726449158911,1.64380935833,,0.00955240518904,0.391687061198,1.15403302849,0.15947918384,9.07101237253,7.14597695996,0.0359565647416,0.0395121326546,0.620696704477,0.994616300969,1.09426364512,2.02657141771,1.30278352831,-2.55029560159,-0.773900779978,2.33354960658,-2.99308099909,-1.37163259906,2.65128219115,,0,UpwindUext,,,,,,,,sdplsExpSource2Dvortex,2Dvortex_00002,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/expFactor+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.022222222222222223,,0.5,1.0,1.0027726449158911,1.69837376081,,0.0137234942328,0.380767085614,1.19698739551,0.157283463972,11.4239988216,6.92497147769,0.0450168699664,0.0469809916133,0.572469708569,0.99161330343,1.09294584154,1.87475776036,1.29049944073,-2.71131211885,-0.784818707692,2.53910239997,-2.96383925066,-1.37521360807,2.66433117551,,0,UpwindUext,,,,,,,,sdplsExpSource2Dvortex,2Dvortex_00003,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.03125,,0.5,1.0,1.0059328749515573,1.31788686575,,0.137549766366,0.450846413647,0.962768980212,0.222838396837,6.24639208413,4.82858995715,0.0531600062186,0.0225786812706,0.464598088097,0.95306494263,1.05490168194,2.09375871186,1.43518340045,-2.25138587897,-0.722099323346,2.35174182293,-3.09037851675,-1.33048384459,2.29134738106,,0,UpwindUext,,,,,,,,sdplsExpSource2Dvortex,2Dvortex_00000,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/expFactor+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.03125,,0.5,1.0,1.0059328749515573,1.30702615619,,0.13817064537,0.447658804474,0.988184193381,0.214491245263,6.25230778548,4.90668397775,0.0675613712948,0.077698790122,0.502131983989,0.961602413833,1.0399912988,1.92292028292,1.42153021141,-2.87202293208,-0.742389939782,2.58864572162,-3.06988792672,-1.34408941605,2.45341729155,,0,UpwindUext,,,,,,,,sdplsExpSource2Dvortex,2Dvortex_00001,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
