method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,23.0,11.501738065709862,4.40567998435,2.63618541175e-05,0.00137268860561,0.0836588470335,4.23222309318,0.0309310231145,98.9037794728,96.4565057005,9.08619619351e-05,0.598092473061,0.771846275226,0.990359635959,1.00440309537,1.14748329316,1.21326555881,-2.7744614101,-0.000129660360688,2.7732964918,-0.00766922721238,0.00372750551422,0.00826512738023,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00004,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:pcLsq+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,24.0,12.001813633784204,2.53589234397,2.84357447459e-05,0.00116601954943,0.0804087993688,2.44717970373,0.0310860118323,49.3556028664,60.6047980465,8.15995302352e-05,0.615159107085,0.777492984886,0.994167721236,1.00538911099,1.16901227765,1.21097992242,-2.77468081779,-0.00181490652831,2.77337509191,-0.00771222993136,0.00372362093442,0.00826540738271,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00009,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,pointCellsLeastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:gauss+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,25.0,12.501889201858546,4.70603421186,2.63623845392e-05,0.00137260817902,0.0836636056143,3.99604957871,0.0309333934375,126.371998642,103.482608762,9.08967269685e-05,0.598098782453,0.771844543292,0.990350322688,1.00440755943,1.1474933795,1.21326543664,-2.77446054402,-0.000128139640954,2.77328445909,-0.00766923385858,0.00372750619993,0.00826509757793,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00014,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,Gauss linear,Gauss linear,3,on
euler+SDPLS:R/simpleImp+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,31.0,15.502342610304597,4.73987711607,6.04186489323e-05,0.00258259233373,0.0770300733033,3.80109041392,0.0440696522148,117.991138865,105.075877815,0.000101685556729,0.614770961364,0.683896287728,0.987791478673,1.02630524209,1.15765246447,1.21398563886,-2.77319210112,-0.00606304565791,2.78389512383,-0.00151009304875,2.78349752535e-05,0.00484512726777,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00019,4,aad3284-dirty,2026-08-17T07:34:28+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:pcLsq+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,33.0,16.50249374645328,2.7859956595,6.34415221215e-05,0.00234066612171,0.0754398181318,2.44272603546,0.0445886780437,72.9012932429,45.7658398771,0.000115930615211,0.623604283048,0.687133649234,0.991003077679,1.02709105971,1.17780705801,1.20760362305,-2.77115699401,-0.00680948891177,2.7839455484,-0.00149879023876,3.33773790237e-05,0.00485720464729,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00024,4,aad3284-dirty,2026-08-17T07:34:28+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,pointCellsLeastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:gauss+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,31.0,15.502342610304597,4.93540711212,6.03994687699e-05,0.0025833956095,0.0770298707493,3.99539108575,0.0440741312013,122.470348403,112.507037642,0.000101543400233,0.614775825833,0.683894055982,0.987804357989,1.02631002109,1.15765866083,1.21398562094,-2.77319283751,-0.00606480357425,2.78389337948,-0.00151009304186,2.78349873058e-05,0.00484512667769,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00029,4,aad3284-dirty,2026-08-17T07:34:28+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,Gauss linear,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,9.0,4.500779737067959,3.39889664816,4.77286726354e-05,0.00269692524773,0.108735382064,2.71186445548,0.0536115539921,78.8122407601,54.5961004966,0.000967730172912,0.515933084332,0.681213491335,0.975465169703,1.00965612598,1.20019679073,1.23018611368,-2.78780957256,-0.0130726200588,2.78361091287,-0.0388210355386,0.0202620064757,0.0453053329391,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00003,4,aad3284-dirty,2026-08-17T07:34:28+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:pcLsq+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,22.0,11.0019060239439,2.10842788975,4.9462367415e-05,0.00300356341799,0.101538444752,1.96476303802,0.0538070116204,30.9640471006,26.3963170432,0.000724409919924,0.569940436824,0.688108710066,0.98733260204,1.01109709681,1.21939749116,1.25032089609,-2.79042632365,-0.0160502430843,2.78324704384,-0.0396769478128,0.0202469861052,0.0453395113707,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00008,4,aad3284-dirty,2026-08-17T07:34:28+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,pointCellsLeastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+n:gauss+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,9.0,4.500779737067959,3.81970260489,4.76525868362e-05,0.00271080950654,0.108689887581,3.62814310406,0.0535784214824,77.0489383015,75.5070190461,0.000965943601525,0.51591005824,0.681221490362,0.975590064382,1.00962482708,1.20019234071,1.23004359447,-2.78781365004,-0.0130775015371,2.78359478303,-0.0388228872747,0.0202619668885,0.0453068307905,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00013,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,Gauss linear,Gauss linear,3,on
euler+SDPLS:R/simpleImp+nmod:narrowLS+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,9.0,4.500779737067959,3.06441886964,8.76703453858e-05,0.00439691307178,0.0962523734806,3.00766447278,0.0691852989517,51.8355466922,60.0347394601,0.000707464643971,0.565837318044,0.588554575237,0.970802983868,1.03612386317,1.18545937236,1.25868761384,-2.78667735899,-0.0209987299834,2.78448563649,0,0.000243203032544,0.0421991256753,,0,UpwindUext,,,,,,,,sdplsNormal2Dvortex,2Dvortex_00018,4,aad3284-dirty,2026-08-17T07:34:27+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
