method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.00390625,,0.5,1467.0,1467.4821148400224,1.6633885516,,0.00232834195334,2.77784777615,0.756096707884,1.26492123847,0.000275131523217,0.161240775889,0.351028972647,3.51918859573,2.00269658961,5.69592126587,3.29689378945,-2.40530182049,-0.869678813959,2.60052949808,-3.01453101647,-1.44120817429,2.61831915324,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00012,4,a2175d1-dirty,2026-08-12T17:03:20+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.00390625,,0.5,2307.0,2307.7581724171314,4.47043300627,,0.000478215385361,0.0894829962651,3.15258039816,0.0151082966954,6.76962153195e-05,0.280039176914,0.912949453051,1.02128262131,1.00169141339,1.30147471261,1.07018832077,-2.67485864062,-0.874179325375,1.46302148072,-3.00657835432,-1.44165701627,2.67462469698,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00013,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi):lsq+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.00390625,,0.5,1338.0,1338.439720283538,1.66320017503,,0.00247431583249,2.76698392682,0.755978753392,1.26492315961,0.000275106129718,0.138473779512,0.351028972683,3.50301122666,2.00269793009,5.69260992203,3.29689376709,-2.54972176879,-0.869274312504,2.67211098463,-3.01453102081,-1.44120837753,2.61831917261,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00026,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),leastSquares,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):lsq+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.00390625,,0.5,1493.0,1493.490659479314,4.90503362289,,0.000766460529553,0.0839722761983,3.41854192013,0.0150741064191,6.23798800703e-05,0.283022854487,0.912960343322,1.01563507418,1.00190802636,1.29292412204,1.06995731547,-2.68231143897,-0.873864825838,1.4716934585,-3.00658717085,-1.44161419941,2.67462439345,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00027,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),leastSquares,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi):clGauss+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.00390625,,0.5,1399.0,1399.4597673218755,1.66338681803,,0.00232834195334,2.77784777615,0.756095312341,1.26492123847,0.000275131523217,0.161240775889,0.351028972647,3.51918859573,2.00269658961,5.69592126587,3.29689378945,-2.40530182049,-0.869678813959,2.60052949808,-3.01453101647,-1.44120817429,2.61831915324,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00040,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited Gauss linear 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):clGauss+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.00390625,,0.5,1581.0,1581.5195797969159,4.45173521303,,0.000469145159843,0.0894855517523,3.58129190585,0.0151082126438,6.77264762134e-05,0.280073370558,0.912949453084,1.02127203374,1.00169119,1.30147473861,1.07018832088,-2.67472268816,-0.874167608087,1.46257625617,-3.00657824065,-1.44165701557,2.67462469696,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00041,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited Gauss linear 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi):flLsq+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.00390625,,0.5,1719.0,1719.5649321131552,1.64783790266,,0.0181451166252,2.72354095285,0.761167725935,1.33805023058,0.00239057451151,0.132587765329,0.304143965991,3.40074288174,2.02789663958,5.8687165544,4.483399512,-2.70696250392,-0.859142179946,0.461220516854,-3.14072831553,-1.42411452038,2.63994004612,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00054,4,a2175d1-dirty,2026-08-12T17:03:20+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),faceLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):flLsq+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.00390625,,0.5,1439.0,1439.4729129207856,4.37569763153,,0.0249047404766,0.13557142965,3.27819298623,0.127353279695,0.0105877198,0.205080881474,0.566248208185,0.999709322228,1.01803938232,1.72868207537,1.8645766724,-2.69989953637,-0.864624079624,0.417216366451,-3.13533278568,-1.42857242179,2.39698869122,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00055,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),faceLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0055248618784530384,,0.5,1033.0,1033.5361988311029,1.65400906231,,0.00351612407867,2.83903898564,0.754073501845,1.26248269198,0.000491742256453,0.152717495284,0.353099979384,3.55370642314,1.99930521755,5.79168202424,3.2974127659,-2.68510691848,-0.872947660676,0.441045782586,-3.02325542252,-1.44452944019,2.66326574032,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00010,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,1,0.0055248618784530384,,0.5,994.0,994.5159551191832,3.44917439927,,0.00606081898648,0.151606525746,2.78893070819,0.0241932335912,0.000151225531391,0.327692449749,0.872093318819,1.07350655115,1.00167796888,1.40838958569,1.10474852743,-2.68798632705,-0.871215530513,1.49605136387,-3.00751984918,-1.44064221542,2.66618879659,,0,UpwindUext,,,,,,,,sdplsOrderAblation,2Dvortex_00011,4,a2175d1-dirty,2026-08-12T17:03:19+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
