method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,surfaceTensionForce,psiDdt,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.00390625,,0.5,22.0,11.00166249763552,0.0643660270547,1.52430969711e-05,0.000185729105701,0.00127291354483,0.979484618208,1.67300046974,0.993754191911,2.9330728117,0.000467500053681,0.996594395881,0.282802457889,0.999932786117,2.42045210868,1.00250868019,3.85086560875,-2.77271926979,-0.00181434667362,2.77335624936,-0.0075138033957,0.00372218584678,0.00827246088452,,0,UpwindUext,,,,,,,,sdplsRdivConv2Dvortex,2Dvortex_00018,4,79eb6d1,2026-08-19T20:03:40+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.00390625,,0.5,20.0,10.001511361486836,4.40567998435,2.63618541175e-05,0.00137268860561,0.0836588470335,4.23222309318,0.0309310231145,98.9037794728,96.4565057005,9.08619619351e-05,0.598092473061,0.771846275226,0.990359635959,1.00440309537,1.14748329316,1.21326555881,-2.7744614101,-0.000129660360688,2.7732964918,-0.00766922721238,0.00372750551422,0.00826512738023,,0,UpwindUext,,,,,,,,sdplsRdivConv2Dvortex,2Dvortex_00019,4,79eb6d1,2026-08-19T20:03:39+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:Rdiv/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.00390625,,0.5,37.0,18.502796018750647,219280.768472,0.0104547900038,1.36187302506,500213.015794,175.641942474,668.901812599,12669514.6764,7569.00858249,0.290896737674,0.174347071739,0.268955827316,77887.6007032,302.783810722,12669515.6764,7570.00858249,-3.12930910064,0.157691236227,3.13071448916,-0.00888816070846,0.000144292247168,0.00902435046751,,0,UpwindUext,,,,,,,,sdplsRdivConv2Dvortex,2Dvortex_00020,4,79eb6d1,2026-08-19T20:03:40+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0055248618784530384,,0.5,7.0,3.500606462163968,0.0779403158633,1.69990414181e-05,0.000389815751141,0.00421058080454,0.977175313009,1.66263676407,0.99591946826,2.93335604384,0.00101158367355,0.987857665378,0.275992201595,0.999302956252,2.40867563743,1.0082474941,3.88381954506,-2.78383336718,-0.00463801757914,2.78403919834,-0.0422791707402,0.0201834114892,0.0453870195107,,0,UpwindUext,,,,,,,,sdplsRdivConv2Dvortex,2Dvortex_00015,4,79eb6d1,2026-08-19T20:03:40+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0055248618784530384,,0.5,8.0,4.0006930996159635,3.39889664816,4.77286726354e-05,0.00269692524773,0.108735382064,2.71186445548,0.0536115539921,78.8122407601,54.5961004966,0.000967730172912,0.515933084332,0.681213491335,0.975465169703,1.00965612598,1.20019679073,1.23018611368,-2.78780957256,-0.0130726200588,2.78361091287,-0.0388210355386,0.0202620064757,0.0453053329391,,0,UpwindUext,,,,,,,,sdplsRdivConv2Dvortex,2Dvortex_00016,4,79eb6d1,2026-08-19T20:03:40+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:Rdiv/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0055248618784530384,,0.5,14.0,7.001212924327936,4459.36737284,0.00822200467441,0.759486224848,10675.1021411,28.3206044691,103.34179586,140534.079423,1018.46799544,0.140593288233,0.252682487509,0.132365664327,2765.78997835,52.8742518313,140535.079423,1019.46799544,-3.1167377763,0.161621063089,3.12637468125,-0.0464624886405,0.00654271270286,0.0488419447395,,0,UpwindUext,,,,,,,,sdplsRdivConv2Dvortex,2Dvortex_00017,4,79eb6d1,2026-08-19T20:03:39+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0078125,,0.5,3.0,1.5,0.0946915944887,2.92246398607e-05,0.00122561546519,0.0121955012964,0.973422279031,1.67539615718,0.991141703793,2.94604276712,0.00181359768925,0.974918979217,0.290268035469,1.0021377818,2.40690383992,1.03333844394,3.93508960906,-2.80159647431,-0.00622080349433,2.79837223714,-0.0274497682908,0.0128561450161,0.0293141008422,,0,UpwindUext,,,,,,,,sdplsRdivConv2Dvortex,2Dvortex_00012,4,79eb6d1,2026-08-19T20:03:39+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0078125,,0.5,3.0,1.5,2.83456591529,0.000119150533748,0.00592480286796,0.147685992268,2.33311087257,0.0958200614704,53.4241194165,42.6389525621,9.99111209309e-05,0.468423599653,0.646646918025,0.980818267567,1.04968337784,1.21636392985,1.27615299939,-2.80558560079,0.00529087770725,2.79871948755,-0.0248820081157,0.012828132323,0.0291701773526,,0,UpwindUext,,,,,,,,sdplsRdivConv2Dvortex,2Dvortex_00013,4,79eb6d1,2026-08-19T20:03:40+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:Rdiv/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0078125,,0.5,5.0,2.5,115.71227248,0.00670751606321,0.578226193512,294.122014439,6.17555048087,20.4844031932,3229.67189185,88.3394441357,0.065084585492,0.0876486400512,0.77774241585,121.499118325,11.8653767236,3230.67189185,89.3394441357,-3.12964384924,0.162591439819,3.05912662383,-0.0310308010704,0.00554265837788,0.0311607407258,,0,UpwindUext,,,,,,,,sdplsRdivConv2Dvortex,2Dvortex_00014,4,79eb6d1,2026-08-19T20:03:39+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.011111111111111112,,0.5,2.0,1.0,0.115657882697,9.38441108918e-05,0.00773170216502,0.0388009383842,0.966263718703,1.66579910147,0.999172980853,2.97177086025,0.00161703999624,0.943316741905,0.277827251494,1.01251011117,2.39212246336,1.12195805726,3.95475820148,-2.81528628196,-0.000846804414707,2.83102483465,-0.0291595453921,0.0204109960947,0.0474228202761,,0,UpwindUext,,,,,,,,sdplsRdivConv2Dvortex,2Dvortex_00009,4,79eb6d1,2026-08-19T20:03:40+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
