method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,surfaceTensionForce,psiDdt,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.0078125,,0.5,342.0,114.0,0.317044927368,0.00052315924697,0.00469791348447,0.0371379690023,1.4119569786,2.54872789826,1.35825041471,5.27210105964,0.0138122642612,0.910501044104,0.29172603094,0.999329272456,3.22605343977,1.15215112963,5.56931172506,-2.71123139782,-0.0584676709997,3.0917451343,-0.000891612424986,-0.000370312629933,0.000727164161423,,,,,,,,,,,sdplsRdivConv3Dshear,3Dshear_00009,16,79eb6d1,2026-08-19T20:03:38+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.0078125,,0.5,262.0,87.33333333333333,2.8048989454,0.00138810411799,0.0667688116049,0.259958586959,2.74546916227,0.163916805531,73.7544535497,66.7832404212,0.0330959006589,0.229811531506,0.172470912102,0.944433957599,1.06849749735,1.57349163575,1.29843563643,-2.70113466208,-0.0638452867991,3.07478735238,-0.00122106034673,-0.000364252620404,0.00117093085301,,,,,,,,,,,sdplsRdivConv3Dshear,3Dshear_00010,16,79eb6d1,2026-08-19T20:03:38+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:Rdiv/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.0078125,,0.5,549.0,183.0,658.403282738,0.0348423599542,2.41975541214,1922.07613325,6.72988343649,27.1479625927,54263.6757476,236.684897087,0.146434829413,0.0465154468578,0.050746314361,652.004537887,15.2857663784,54264.6757476,234.564566729,-3.13088796625,-0.120222757328,3.12591496437,-0.00141585442181,-0.000205026404791,0.00140953094109,,,,,,,,,,,sdplsRdivConv3Dshear,3Dshear_00011,16,79eb6d1,2026-08-19T20:03:38+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.00980392156862745,,0.5,143.0,47.666666666666664,0.31738195901,0.0008517294973,0.00165007448981,0.0442187588507,1.40327688694,2.5114154219,1.35982990404,5.22343468146,0.022710634831,0.920092526377,0.220389417673,0.987130934612,3.1742681004,1.13857276711,5.55372038598,-2.69303580269,-0.089562219256,3.07857089943,-0.047336094113,-0.0141498546826,0.0296336451539,,,,,,,,,,,sdplsRdivConv3Dshear,3Dshear_00006,16,79eb6d1,2026-08-19T20:03:38+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.00980392156862745,,0.5,151.0,50.333333333333336,2.35985431255,0.00182338893395,0.0811616210008,0.267229868882,2.46685883929,0.188091278751,66.5540266892,49.9327634986,0.0479923940706,0.251612727153,0.160369079872,0.888269647155,1.06099004259,1.53301041403,1.33918006035,-2.67845824455,-0.0934363079746,3.07811885493,-0.0480048034722,-0.0139209855479,0.0309469764244,,,,,,,,,,,sdplsRdivConv3Dshear,3Dshear_00007,16,79eb6d1,2026-08-19T20:03:38+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:Rdiv/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.00980392156862745,,0.5,228.0,76.0,54.7015373692,0.0155248796897,1.02898255753,201.993495086,4.0251980515,12.2353194216,3874.56056715,117.313861058,0.13576826112,0.0539682753926,0.0570731987384,103.583777459,6.64121279986,3875.56056715,118.313861058,-3.13497807142,-0.1139470683,3.10526355162,-0.0549050904083,-0.0103050629549,0.0544982688475,,,,,,,,,,,sdplsRdivConv3Dshear,3Dshear_00008,16,79eb6d1,2026-08-19T20:03:38+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.012345679012345678,,0.5,58.0,19.339434692389847,0.31889372711,0.00129322161267,0.0124847440118,0.0556645682378,1.3909655857,2.40123096704,2.06726216524,5.11230454435,0.0412596644778,0.893038658813,0.157050512866,0.964302284616,3.05175083692,1.14172164794,5.69202739787,-2.64895040521,-0.109756374797,3.08490786756,-0.0364335694189,-0.0109263187225,0.0261876531596,,,,,,,,,,,sdplsRdivConv3Dshear,3Dshear_00003,16,79eb6d1,2026-08-19T20:03:38+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.012345679012345678,,0.5,59.0,19.672873221568985,2.04297136645,0.00224282997502,0.0872418648225,0.28738682679,2.24319012647,0.216319608035,38.1291661654,42.9615232847,0.0583002908855,0.226426783798,0.125589553727,0.825249398044,1.01463447329,1.4368161191,1.47365922014,-2.65345910011,-0.10793909028,3.09156135711,-0.0368476281784,-0.0107263624716,0.0231625590769,,,,,,,,,,,sdplsRdivConv3Dshear,3Dshear_00004,16,79eb6d1,2026-08-19T20:03:38+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:Rdiv/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.012345679012345678,,0.5,84.0,28.008836451047365,9523176.13809,0.0208132133132,1.38559148684,35829466.5335,2.84819373557,6.46155607738,790474514.692,74.6241735888,0.118915530065,0.054669024397,0.0792073657118,3910668.28758,3.23590985109,790474515.692,75.6241735888,-3.0684767518,-0.0335059261594,3.09788749774,-0.0416185612036,-0.00911563504327,0.0399006354383,,,,,,,,,,,sdplsRdivConv3Dshear,3Dshear_00005,16,79eb6d1,2026-08-19T20:03:38+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.015625,,0.5,18.0,6.0,0.317976065924,0.00191618707427,0.0485873766835,0.0850339401228,1.3724686225,2.26782719488,1.361798186,5.07736302384,0.0820810421454,0.838989785109,0.139331936534,0.927018316327,2.89491034731,1.1368347504,5.86870156384,-2.61009928048,-0.190646025129,3.04430721812,-0.0419192905979,0.0154737538717,0.0543350681859,,,,,,,,,,,sdplsRdivConv3Dshear,3Dshear_00000,16,79eb6d1,2026-08-19T20:03:38+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
