method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr
euler+SDPLS:R/expl+div:linearUpwind/grad(psi)+dc:3,none,,noRedistancing,interval,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.1,4600.0,2300.0,2.49366088443,0.000120670576668,0.00631194169884,0.150284261285,2.25618434417,0.0961522828037,0.000202793984558,0.466151630912,0.647080874726,0.980974282758,1.05047773582,1.21576722995,1.27037013284,-2.8051906976,0.00584892786814,2.79863917808,-0.00748376853954,-0.00329050582567,0.00640332466263,,0,UpwindUext,,,,,,,,sdplsStability,2Dvortex_00000,4,27b4f58-dirty,2026-08-12T07:10:11+00:00,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,noRedistancing,interval,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.1,5246.0,2623.0,2.45470307541,0.000120599505149,0.00632553143698,0.150294023067,2.08977882483,0.0961333963954,0.000201068238253,0.466163000828,0.647105234049,0.981043766703,1.05046842636,1.21577323316,1.27033733698,-2.80519864725,0.00582305612029,2.79869005919,-0.00748386372631,-0.00329050313112,0.00640327347238,,0,UpwindUext,,,,,,,,sdplsStability,2Dvortex_00001,4,27b4f58-dirty,2026-08-12T07:10:11+00:00,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,noRedistancing,interval,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.1,4264.0,2132.0,2.45553526681,0.00012058149639,0.0063312790567,0.150305866087,2.13230160199,0.0961690848196,0.00020449189525,0.466152439962,0.647085079807,0.980936400947,1.0504838408,1.21580064446,1.27038399038,-2.80519026322,0.00579592819842,2.79868766289,-0.00748370061192,-0.00329050479549,0.00640340333647,,0,UpwindUext,,,,,,,,sdplsStability,2Dvortex_00002,4,27b4f58-dirty,2026-08-12T07:10:11+00:00,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta/expl+div:linearUpwind/grad(psi)+dc:3,none,,noRedistancing,interval,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.1,5415.0,2707.5,0.643671688494,4.72457711367e-05,0.000470995836868,0.361321991013,0.773102747386,0.542510717357,0.000419693821243,0.420476244821,0.39799875753,0.835618636134,1.48485293004,1.62280326445,1.77941261603,-2.78735466623,-0.0154060501459,2.79796328298,-0.00747330653824,-0.00328974135204,0.00640364639464,1.0,0,UpwindUext,,,,,,,,sdplsStability,2Dvortex_00003,4,27b4f58-dirty,2026-08-12T07:10:11+00:00,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,noRedistancing,interval,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.1,4748.0,2374.0,0.646101745938,4.72454394423e-05,0.000471066022943,0.361322031006,0.773679096074,0.542510800919,0.000419696081553,0.420476181492,0.397998753688,0.835618581968,1.48485299743,1.62280321957,1.77941231588,-2.78735462526,-0.0154059284961,2.79796324961,-0.00747330651603,-0.00328974140394,0.00640364483601,1.0,0,UpwindUext,,,,,,,,sdplsStability,2Dvortex_00004,4,27b4f58-dirty,2026-08-12T07:10:11+00:00,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,noRedistancing,interval,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.1,4757.0,2378.5,0.646304457,4.724542911e-05,0.000471065474049,0.361322035033,0.773683685503,0.542510802184,0.000419695788744,0.42047618519,0.397998760239,0.835618585258,1.48485299961,1.62280327043,1.77941226758,-2.78735462398,-0.0154059252803,2.79796324819,-0.00747330653756,-0.00328974140492,0.006403646555,1.0,0,UpwindUext,,,,,,,,sdplsStability,2Dvortex_00005,4,27b4f58-dirty,2026-08-12T07:10:11+00:00,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:R/expl+div:linearUpwind/grad(psi)+dc:3,none,,noRedistancing,interval,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,1131.0,565.5,3.0306617683,0.000119328508752,0.00589172404173,0.147825441448,2.34203788877,0.0958428297633,9.93197008272e-05,0.468430085343,0.64663337758,0.981270432,1.04971288305,1.21611398453,1.27601649157,-2.80559150007,0.00532747327399,2.79872492303,-0.0248817302788,0.0128281562242,0.0291708429367,,0,UpwindUext,,,,,,,,sdplsStability,2Dvortex_00006,4,27b4f58-dirty,2026-08-12T07:10:11+00:00,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,noRedistancing,interval,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,1091.0,545.5,2.83456591529,0.000119150533748,0.00592480286796,0.147685992268,2.33311087257,0.0958200614704,9.99111209309e-05,0.468423599653,0.646646918025,0.980818267567,1.04968337784,1.21636392985,1.27615299939,-2.80558560079,0.00529087770725,2.79871948755,-0.0248820081157,0.012828132323,0.0291701773526,,0,UpwindUext,,,,,,,,sdplsStability,2Dvortex_00007,4,27b4f58-dirty,2026-08-12T07:10:11+00:00,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,none,,noRedistancing,interval,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,1131.0,565.5,2.57707386092,0.000119233331839,0.00591040924597,0.147609681985,2.41889746433,0.0958865798455,0.000103065395446,0.468455483878,0.646633439505,0.980891421832,1.04973316574,1.21628524656,1.27620081657,-2.80559370882,0.00525912633681,2.79870001739,-0.0248818710342,0.012828123027,0.02917053051,,0,UpwindUext,,,,,,,,sdplsStability,2Dvortex_00008,4,27b4f58-dirty,2026-08-12T07:10:11+00:00,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
euler+SDPLS:beta/expl+div:linearUpwind/grad(psi)+dc:3,none,,noRedistancing,interval,leiaRedistancedLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,1327.0,663.5,0.81738728489,4.67590908282e-05,0.000497916498512,0.361206028674,0.754151809376,0.535539068537,0.000311439853118,0.420497478304,0.399884820855,0.835439597296,1.4781887014,1.6216253495,1.76748990903,-2.78731850435,-0.015488307171,2.79800005392,-0.0250480573666,0.0128091708923,0.0291352408162,1.0,0,UpwindUext,,,,,,,,sdplsStability,2Dvortex_00009,4,27b4f58-dirty,2026-08-12T07:10:11+00:00,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3
