method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,4.0,2.0,2.83456591529,0.000119150533748,0.00592480286796,0.147685992268,2.33311087257,0.0958200614704,53.4241194165,42.6389525621,9.99111209309e-05,0.468423599653,0.646646918025,0.980818267567,1.04968337784,1.21636392985,1.27615299939,-2.80558560079,0.00529087770725,2.79871948755,-0.0248820081157,0.012828132323,0.0291701773526,,0,UpwindUext,,,,,,,,sdplsTemporal2Dvortex,2Dvortex_00002,4,aad3284-dirty,2026-08-15T09:33:29+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:10,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,5.0,2.5,2.87392124778,0.000118621046767,0.00601226511457,0.147423048345,2.20139351349,0.0957614034527,40.8563588614,36.1863614435,0.000114335622091,0.468684184742,0.646722205907,0.980685818409,1.04967569069,1.21569937125,1.27456468478,-2.80555504304,0.00499726099596,2.79870450923,-0.0248854881263,0.0128282559048,0.0291724539242,,0,UpwindUext,,,,,,,,sdplsTemporal2Dvortex,2Dvortex_00003,4,aad3284-dirty,2026-08-15T09:33:29+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,10,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.25,6.0,3.00033793961344,2.26440678433,0.000118911492367,0.00620724638602,0.149578121366,2.00806431634,0.0961207237847,37.8699404113,35.6313406482,0.000186670818838,0.466680764029,0.647030722006,0.981070021925,1.05028343515,1.21611919566,1.27155581172,-2.80528953379,0.00560126964292,2.79870758309,-0.0121906674124,0.00626949438731,0.0142586606434,,0,UpwindUext,,,,,,,,sdplsTemporal2Dvortex,2Dvortex_00006,4,aad3284-dirty,2026-08-15T09:33:29+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:10,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.25,11.0,5.500619555957973,2.90267641222,0.000118971879954,0.00620899507678,0.149605294492,2.09699061538,0.0960057118352,55.5060704159,32.5538325907,0.000179979263856,0.466671004718,0.646986556229,0.980840262781,1.05022214068,1.2160328295,1.27091518756,-2.80528895035,0.00567902520794,2.79872610864,-0.0121907784483,0.0062694731912,0.0142578123219,,0,UpwindUext,,,,,,,,sdplsTemporal2Dvortex,2Dvortex_00007,4,aad3284-dirty,2026-08-15T09:33:29+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,10,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.125,12.0,6.000477192809145,2.45846231873,0.000119145119823,0.00638517132501,0.150177027415,2.04119430723,0.0961338865307,38.7803884209,37.0324981431,0.000185815953225,0.466204443534,0.646583460546,0.980780429713,1.0504186045,1.21579325857,1.2700388787,-2.80521096629,0.00567148840503,2.79865858677,-0.0279397379094,0.0143728891746,0.0326871004361,,0,UpwindUext,,,,,,,,sdplsTemporal2Dvortex,2Dvortex_00010,4,aad3284-dirty,2026-08-15T09:33:29+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:10,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.0078125,,0.125,20.0,10.000795321348575,2.36510838856,0.000119352269352,0.00635515371992,0.15020077873,2.08793366499,0.0961475962785,34.0390551855,40.6418844917,0.000184867239207,0.466182993315,0.646555035373,0.98087492706,1.05044220301,1.21573104752,1.26993377224,-2.80520095355,0.00569645076404,2.79873592316,-0.0279398918995,0.014372902476,0.0326870267965,,0,UpwindUext,,,,,,,,sdplsTemporal2Dvortex,2Dvortex_00011,4,aad3284-dirty,2026-08-15T09:33:29+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,10,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,1.54366468507,0.000530597477535,0.0577958014459,0.257550853803,1.56939736537,0.171946445875,17.1666499506,17.4471961332,0.0334698994281,0.330426159848,0.463713112446,0.968188105156,1.10996862596,1.42098066696,1.32869451077,-2.86040609717,-0.0238742371728,2.86261162802,-0.0993852543348,0.0438169834991,0.105968638261,,0,UpwindUext,,,,,,,,sdplsTemporal2Dvortex,2Dvortex_00000,4,aad3284-dirty,2026-08-15T09:33:29+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:10,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,1.31079403623,0.000530364392075,0.0577887315718,0.257037698659,1.47626514934,0.172599748025,11.5346948903,14.1891899585,0.0334691263384,0.330978038069,0.463251630982,0.968367773421,1.11066865978,1.40923979935,1.32882810515,-2.86005815236,-0.0238085266892,2.86143647668,-0.0993733165646,0.0438167332407,0.106075587867,,0,UpwindUext,,,,,,,,sdplsTemporal2Dvortex,2Dvortex_00001,4,aad3284-dirty,2026-08-15T09:33:29+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,10,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.25,1.0,0.5003705672042111,1.46553862046,0.000537724445512,0.0590330150568,0.260885928897,1.5860512574,0.174817932653,16.7944221638,17.3192863393,0.0336097674073,0.328350373726,0.450077951057,0.967743296047,1.10563902243,1.41374891912,1.32597819339,-2.8604867141,-0.0267986451232,2.86163328418,-0.0453926067908,0.0199615837927,0.0483331125656,,0,UpwindUext,,,,,,,,sdplsTemporal2Dvortex,2Dvortex_00004,4,aad3284-dirty,2026-08-15T09:33:29+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:10,none,,,,leiaLevelSetFoam,detrixheAslam,2,0.015625,,0.25,2.0,1.0007411344084223,1.44248840878,0.000536838407901,0.0589007726557,0.260208258685,1.5108812907,0.174744699504,12.4505844906,11.6136243553,0.0336340992158,0.328201716274,0.449861827584,0.967022719945,1.10553594919,1.41481328472,1.3260208289,-2.86013626334,-0.0265645170025,2.86222445098,-0.0453833033407,0.0199614921431,0.0483555782275,,0,UpwindUext,,,,,,,,sdplsTemporal2Dvortex,2Dvortex_00005,4,aad3284-dirty,2026-08-15T09:33:29+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,10,on
