method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,surfaceTensionForce,psiDdt,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.00390625,,0.5,25.0,12.501889201858546,0.0643660270547,1.52430969711e-05,0.000185729105701,0.00127291354483,0.979484618208,1.67300046974,0.993754191911,2.9330728117,0.000467500053681,0.996594395881,0.282802457889,0.999932786117,2.42045210868,1.00250868019,3.85086560875,-2.77271926979,-0.00181434667362,2.77335624936,-0.0075138033957,0.00372218584678,0.00827246088452,,0,UpwindUext,,,,,,,,sdplsVolCorr2DvortexRev,2Dvortex_00024,4,b487722,2026-08-19T20:27:22+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.00390625,,0.5,27.0,13.502040338007228,0.0643660270547,1.53829395807e-05,1.47279570399e-15,0.00127291354472,0.979484618208,1.67300046974,0.993754191911,2.9330728117,1.36663168032e-12,0.996594395881,0.282802457888,0.999932786117,2.42045210868,1.00250868019,3.85086560875,-2.77271926979,-0.00181434667366,2.77335624936,-0.0075138033957,0.00372218584678,0.00827246088452,,0,UpwindUext,,,,,,,,sdplsVolCorr2DvortexRev,2Dvortex_00025,4,b487722,2026-08-19T20:27:22+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.00390625,,0.5,23.0,11.501738065709862,4.40567998435,2.63618541175e-05,0.00137268860561,0.0836588470335,4.23222309318,0.0309310231145,98.9037794728,96.4565057005,9.08619619351e-05,0.598092473061,0.771846275226,0.990359635959,1.00440309537,1.14748329316,1.21326555881,-2.7744614101,-0.000129660360688,2.7732964918,-0.00766922721238,0.00372750551422,0.00826512738023,,0,UpwindUext,,,,,,,,sdplsVolCorr2DvortexRev,2Dvortex_00026,4,b487722,2026-08-19T20:27:22+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.00390625,,0.5,33.0,16.50249374645328,4.27262580088,2.48822393531e-05,2.45465950664e-16,0.0847149837652,3.77194104933,0.0309461207698,90.9349926116,91.743991621,2.5727777221e-11,0.597789387824,0.771779739901,0.989550830381,1.00429487198,1.14727746825,1.21329001848,-2.77440314842,-8.57720296378e-05,2.77331706232,-0.00766903148593,0.0037278059132,0.00826504319203,,0,UpwindUext,,,,,,,,sdplsVolCorr2DvortexRev,2Dvortex_00027,4,b487722,2026-08-19T20:27:22+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0055248618784530384,,0.5,10.0,5.000866374519954,0.0779403158633,1.69990414181e-05,0.000389815751141,0.00421058080454,0.977175313009,1.66263676407,0.99591946826,2.93335604384,0.00101158367355,0.987857665378,0.275992201595,0.999302956252,2.40867563743,1.0082474941,3.88381954506,-2.78383336718,-0.00463801757914,2.78403919834,-0.0422791707402,0.0201834114892,0.0453870195107,,0,UpwindUext,,,,,,,,sdplsVolCorr2DvortexRev,2Dvortex_00020,4,b487722,2026-08-19T20:27:22+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0055248618784530384,,0.5,11.0,5.50095301197195,0.0779403158572,1.69025552323e-05,2.45518875633e-16,0.00421186154199,0.977175313009,1.66259706542,0.995919468289,2.93335604384,1.36962704772e-12,0.987857665374,0.313730228475,0.99930382956,2.41039297129,1.00824749412,3.88381954506,-2.78383336718,-0.00453367839563,2.78403919835,-0.0422791707401,0.0202910320162,0.0453870195108,,0,UpwindUext,,,,,,,,sdplsVolCorr2DvortexRev,2Dvortex_00021,4,b487722,2026-08-19T20:27:22+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0055248618784530384,,0.5,8.0,4.0006930996159635,3.39889664816,4.77286726354e-05,0.00269692524773,0.108735382064,2.71186445548,0.0536115539921,78.8122407601,54.5961004966,0.000967730172912,0.515933084332,0.681213491335,0.975465169703,1.00965612598,1.20019679073,1.23018611368,-2.78780957256,-0.0130726200588,2.78361091287,-0.0388210355386,0.0202620064757,0.0453053329391,,0,UpwindUext,,,,,,,,sdplsVolCorr2DvortexRev,2Dvortex_00022,4,b487722,2026-08-19T20:27:22+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0055248618784530384,,0.5,12.0,6.001039649423945,3.30630356427,5.45386764377e-05,9.42792482431e-14,0.111753842783,2.82172747182,0.0536445784969,61.5928296652,60.9442288386,2.24576115542e-12,0.516000539815,0.680928704423,0.974103575452,1.00966692832,1.20053656413,1.23031109438,-2.7880091227,-0.0112366705838,2.78169838546,-0.0388154116457,0.0202628326557,0.045304505079,,0,UpwindUext,,,,,,,,sdplsVolCorr2DvortexRev,2Dvortex_00023,4,b487722,2026-08-19T20:27:22+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0078125,,0.5,3.0,1.5,0.0946915944887,2.92246398607e-05,0.00122561546519,0.0121955012964,0.973422279031,1.67539615718,0.991141703793,2.94604276712,0.00181359768925,0.974918979217,0.290268035469,1.0021377818,2.40690383992,1.03333844394,3.93508960906,-2.80159647431,-0.00622080349433,2.79837223714,-0.0274497682908,0.0128561450161,0.0293141008422,,0,UpwindUext,,,,,,,,sdplsVolCorr2DvortexRev,2Dvortex_00016,4,b487722,2026-08-19T20:27:22+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,2,0.0078125,,0.5,6.0,3.0,0.094691594488,2.89164991377e-05,2.45618939255e-16,0.0121955012965,0.973422279032,1.67539599983,0.99114170378,2.94604276712,4.53162030547e-11,0.974918979217,0.290268035468,1.0021377818,2.40690762391,1.03333844394,3.93508960906,-2.80159647431,-0.00622080349419,2.79837223714,-0.0274497682908,0.0128559258045,0.0293141008422,,0,UpwindUext,,,,,,,,sdplsVolCorr2DvortexRev,2Dvortex_00017,4,b487722,2026-08-19T20:27:22+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
