method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,surfaceTensionForce,psiDdt,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.00390625,,0.5,21.0,21.006901439427725,1.6633885516,,0.00232834195334,2.77784777615,0.756096707884,1.26492123847,4.71220070245,2.31142755162,0.000275131523217,0.161240775889,0.351028972647,3.51918859573,2.00269658961,5.69592126587,3.29689378945,-2.40530182049,-0.869678813959,2.60052949808,-3.01453101647,-1.44120817429,2.61831915324,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00024,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.00390625,,0.5,28.0,28.009201919236965,1.6633885516,,1.21505645579e-14,2.77915662875,0.756096707884,1.26492123847,4.71220070245,2.31142755162,1.22732975332e-16,0.161240775889,0.351028972647,3.51984036813,2.00269658961,5.69592126586,3.29689378945,-2.40530182049,-0.870482184212,2.60052949808,-3.01453101647,-1.44120817429,2.61831915324,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00025,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.00390625,,0.5,16.0,16.005258239563982,4.47043300627,,0.000478215385361,0.0894829962651,3.15258039816,0.0151082966954,119.599529771,73.4991183018,6.76962153195e-05,0.280039176914,0.912949453051,1.02128262131,1.00169141339,1.30147471261,1.07018832077,-2.67485864062,-0.874179325375,1.46302148072,-3.00657835432,-1.44165701627,2.67462469698,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00026,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.00390625,,0.5,23.0,23.007558719373222,4.39809232243,,1.47279570399e-14,0.0895598904883,3.36208807519,0.0151082786281,111.20297267,68.6255106163,3.68198925996e-16,0.279733010061,0.912912190647,1.02132703974,1.00168911613,1.30150187371,1.07020969701,-2.67500983286,-0.874210708597,1.46150786404,-3.00657777741,-1.44167022537,2.67462532556,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00027,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0055248618784530384,,0.5,10.0,10.005190695364016,1.65400906231,,0.00351612407867,2.83903898564,0.754073501845,1.26248269198,4.79168202424,2.30594078362,0.000491742256453,0.152717495284,0.353099979384,3.55370642314,1.99930521755,5.79168202424,3.2974127659,-2.68510691848,-0.872947660676,0.441045782586,-3.02325542252,-1.44452944019,2.66326574032,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00020,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0055248618784530384,,0.5,8.0,8.004152556291213,1.6540090623,,3.60421709429e-13,2.83858197678,0.754073501844,1.26248269198,4.7916820242,2.30594078362,2.00097883641e-14,0.152717495286,0.353099979384,3.55349896911,1.99930521755,5.7916820242,3.2974127659,-2.68510691849,-0.872960572239,0.441045782579,-3.02325542251,-1.44452944019,2.66326574032,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00021,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0055248618784530384,,0.5,9.0,9.004671625827614,3.44917439927,,0.00606081898648,0.151606525746,2.78893070819,0.0241932335912,75.166307243,51.4744522192,0.000151225531391,0.327692449749,0.872093318819,1.07350655115,1.00167796888,1.40838958569,1.10474852743,-2.68798632705,-0.871215530513,1.49605136387,-3.00751984918,-1.44064221542,2.66618879659,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00022,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0055248618784530384,,0.5,8.0,8.004152556291213,3.47158292434,,0,0.153733457768,2.54919891444,0.0241646961682,63.4312694541,55.2258699995,8.22488233371e-14,0.300133640124,0.872035659682,1.07429325866,1.00173802037,1.40840871814,1.10476800191,-2.68842476313,-0.870463651024,1.49523221466,-3.00752077074,-1.44053859955,2.66616740808,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00023,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0078125,,0.5,4.0,4.0052237030593085,1.63727735026,,0.00381886085417,2.85967365626,0.752206753393,1.2633196813,4.75926528879,2.30703278868,0.00099840659511,0.12834259073,0.356562019285,3.56877064217,1.99448790866,5.75926528879,3.30194424998,-1.97466664583,-0.824910187976,2.62819287672,-3.04073572386,-1.42601175041,2.60253575032,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00016,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0078125,,0.5,3.0,3.0039177772944816,1.63727735026,,1.28470986178e-12,2.86419808308,0.752206753393,1.2633196813,4.75926528879,2.30703278868,4.50956372473e-13,0.12834259073,0.356562019285,3.57511055961,1.99448790866,5.75926528879,3.30194424998,-1.97466664583,-0.826063297691,2.62819287673,-3.04073572386,-1.42601175041,2.60253575031,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00017,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0078125,,0.5,4.0,4.0052237030593085,2.63291460643,,0.0255060005543,0.18831817123,2.02942482356,0.0408951859715,40.4632741098,35.7767099866,0.00177563008435,0.0699742648266,0.783954843803,1.10933258116,1.00797149436,1.36922599979,1.14514687027,-2.70346217139,-0.849173343497,2.46403653811,-3.01188490469,-1.42491477873,2.62633440476,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00018,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.0078125,,0.5,4.0,4.0052237030593085,2.81984037321,,6.14047348139e-16,0.195563146496,2.40998802493,0.0405815250416,37.4342730024,50.4246329991,0,0.0562493068718,0.783955595859,1.10416356555,1.00843721855,1.36883514279,1.14527378763,-2.50611709257,-0.845053124936,2.54759966789,-3.01187338508,-1.42572038414,2.62632598706,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00019,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.011111111111111112,,0.5,1.0,1.0,1.60739910445,,0.00636197143389,2.71990327657,0.751982033649,1.28343493454,4.59060847547,2.35715971695,0.00153894957971,0.332080860346,0.34297314358,3.42453417548,2.00777053387,5.59060847547,3.35715971695,-2.55832862348,-0.827859555905,0.510574432095,-3.03845668134,-1.42711800535,2.41851488163,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00012,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.011111111111111112,,0.5,1.0,1.0,1.60739910445,,4.84317696625e-14,2.72009921087,0.751982033649,1.28343493454,4.59060847547,2.35715971695,3.2476328794e-13,0.556072635984,0.34297314358,3.4255059457,2.00777053387,5.59060847547,3.35715971695,-1.91427495446,-0.829590070249,0.510574432095,-3.03845668134,-1.42711800535,2.41851488164,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00013,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.011111111111111112,,0.5,1.0,1.0,2.39203580036,,0.0489070883262,0.23026749446,1.69401727465,0.087410492838,26.7244618327,31.4693431623,0.000261143384949,0.251373348295,0.760282457715,1.07538616208,1.04818253757,1.37049208615,1.31112199878,-2.65709419822,-0.842158568519,2.08204924622,-3.0155414229,-1.42191760103,2.58745258376,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00014,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+SDPLS:R/simpleImp+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.011111111111111112,,0.5,2.0,2.0,2.19355379299,,1.33199658899e-12,0.227971616779,1.55696087816,0.0874444868737,19.2815262903,22.3658820952,4.42523783718e-15,0.233933824029,0.759552323157,1.06242984343,1.04819119873,1.37106469767,1.31121635286,-2.09854998999,-0.842875884227,0.483411690352,-3.01554931685,-1.42221131314,2.58750968441,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00015,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,1,0.015625,,0.5,1.0,1.0,1.56031484652,,0.0194562405292,2.41516779626,0.746324738947,1.27993719916,4.30043542455,2.38538222279,0.000927828678274,0.194954825543,0.371479351599,3.13327369476,1.98587764739,5.30043542455,3.38538222279,-2.16256137055,-0.785309842868,2.25712109977,-3.08423858707,-1.38722598949,2.70376643545,,0,UpwindUext,,,,,,,,sdplsVolCorr2Dvortex,2Dvortex_00008,4,40ecf59,2026-08-19T17:14:10+00:00,off,1,1,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,off
