method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,surfaceTensionForce,psiDdt,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.0078125,,0.5,248.0,82.66666666666667,0.317044927368,0.00052315924697,0.00469791348447,0.0371379690023,1.4119569786,2.54872789826,1.35825041471,5.27210105964,0.0138122642612,0.910501044104,0.29172603094,0.999329272456,3.22605343977,1.15215112963,5.56931172506,-2.71123139782,-0.0584676709997,3.0917451343,-0.000891612424986,-0.000370312629933,0.000727164161423,,,,,,,,,,,sdplsVolCorr3Dshear,3Dshear_00012,16,40ecf59,2026-08-19T17:14:23+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.0078125,,0.5,326.0,108.66666666666667,0.317044927368,0.000527747204103,2.61132152926e-07,0.0371480670691,1.4119569786,2.54910326961,1.35825041468,5.27210105963,1.91040588843e-05,0.911578143906,0.295993819863,0.999301084097,3.22622231612,1.15215112963,5.56931172506,-2.71123139782,-0.0580323504426,3.09174513429,-0.000891612424989,-0.000369919744817,0.000727164161421,,,,,,,,,,,sdplsVolCorr3Dshear,3Dshear_00013,16,40ecf59,2026-08-19T17:14:22+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.0078125,,0.5,497.0,165.66666666666666,2.8048989454,0.00138810411799,0.0667688116049,0.259958586959,2.74546916227,0.163916805531,73.7544535497,66.7832404212,0.0330959006589,0.229811531506,0.172470912102,0.944433957599,1.06849749735,1.57349163575,1.29843563643,-2.70113466208,-0.0638452867991,3.07478735238,-0.00122106034673,-0.000364252620404,0.00117093085301,,,,,,,,,,,sdplsVolCorr3Dshear,3Dshear_00014,16,40ecf59,2026-08-19T17:14:22+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.0078125,,0.5,544.0,181.33333333333334,2.77481457853,0.00092616661711,5.01923250051e-07,0.270835490278,2.74209035782,0.167178205155,73.8593673308,67.6396981071,6.10223343116e-07,0.204418951194,0.180712734739,0.924165087136,1.06396499683,1.59024031121,1.28580174481,-2.70063409836,-0.0538144096004,3.10340109722,-0.00116370593362,-0.000365184110368,0.00118134496531,,,,,,,,,,,sdplsVolCorr3Dshear,3Dshear_00015,16,40ecf59,2026-08-19T17:14:23+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.00980392156862745,,0.5,225.0,75.0,0.31738195901,0.0008517294973,0.00165007448981,0.0442187588507,1.40327688694,2.5114154219,1.35982990404,5.22343468146,0.022710634831,0.920092526377,0.220389417673,0.987130934612,3.1742681004,1.13857276711,5.55372038598,-2.69303580269,-0.089562219256,3.07857089943,-0.047336094113,-0.0141498546826,0.0296336451539,,,,,,,,,,,sdplsVolCorr3Dshear,3Dshear_00008,16,40ecf59,2026-08-19T17:14:22+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.00980392156862745,,0.5,168.0,56.0,0.31738195901,0.000854608957729,6.27775377065e-07,0.0442377601165,1.40327688694,2.50876475223,1.35982990403,5.22343468146,3.90319460767e-06,0.920092526377,0.240180124557,0.987073350397,3.17037049865,1.13857276711,5.55372038596,-2.69303580269,-0.0904284598517,3.07857089943,-0.0473360941127,-0.0141756126577,0.0296336451538,,,,,,,,,,,sdplsVolCorr3Dshear,3Dshear_00009,16,40ecf59,2026-08-19T17:14:23+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.00980392156862745,,0.5,138.0,46.0,2.35985431255,0.00182338893395,0.0811616210008,0.267229868882,2.46685883929,0.188091278751,66.5540266892,49.9327634986,0.0479923940706,0.251612727153,0.160369079872,0.888269647155,1.06099004259,1.53301041403,1.33918006035,-2.67845824455,-0.0934363079746,3.07811885493,-0.0480048034722,-0.0139209855479,0.0309469764244,,,,,,,,,,,sdplsVolCorr3Dshear,3Dshear_00010,16,40ecf59,2026-08-19T17:14:23+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+SDPLS:R/simpleImp+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.00980392156862745,,0.5,168.0,56.0,2.39804647798,0.00133004600546,6.10449079695e-13,0.278518948765,2.49676789023,0.191555474471,62.5449968969,57.7677032608,7.34699463942e-06,0.226542907803,0.115332494633,0.863540616646,1.05115883922,1.52340789942,1.32952601064,-2.67994043588,-0.0816058094114,3.08349652426,-0.047934180126,-0.0139740311618,0.030305375553,,,,,,,,,,,sdplsVolCorr3Dshear,3Dshear_00011,16,40ecf59,2026-08-19T17:14:23+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.012345679012345678,,0.5,64.0,21.34006586746466,0.31889372711,0.00129322161267,0.0124847440118,0.0556645682378,1.3909655857,2.40123096704,2.06726216524,5.11230454435,0.0412596644778,0.893038658813,0.157050512866,0.964302284616,3.05175083692,1.14172164794,5.69202739787,-2.64895040521,-0.109756374797,3.08490786756,-0.0364335694189,-0.0109263187225,0.0261876531596,,,,,,,,,,,sdplsVolCorr3Dshear,3Dshear_00004,16,40ecf59,2026-08-19T17:14:22+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+volCorr:newtonShift+div:linearUpwind/grad(psi)+dc:3,none,,,,leiaLevelSetFoam,detrixheAslam,,,3.0,0.012345679012345678,,0.5,95.0,31.676660272017855,0.31889372711,0.00126477105579,1.14044807377e-06,0.0553740961255,1.3909655857,2.40773326246,2.06726216524,5.11230454435,1.55200499196e-05,0.893038658813,0.226287999805,0.96497704447,3.06093000945,1.14172164794,5.69202739787,-2.6508943825,-0.115095805613,3.08490786756,-0.0364335694189,-0.0109293707666,0.0261876531595,,,,,,,,,,,sdplsVolCorr3Dshear,3Dshear_00005,16,40ecf59,2026-08-19T17:14:22+00:00,on,1,3,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
