case,mesh,study,arm,reconstruction,cfl,h,maxCellSize,stable,shapeError,volumeError,gradientError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,meanStrainBand,meanStrainBandHalf
2Dvortex,hex,benchVortexEulerT2,euler+div:linearUpwind/grad(psi)+dc:3,,0.5,0.001953125,,1,1.63552729188e-05,2.19580164562e-05,,,0.981565713791,1.67211280888,0.000129627195733,0.99959713593,0.28156834993,0.999985631705,2.42141285138,1.00027460452,3.81499838965,-0.000580346333055,0.00952197740053
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.001953125,,1,1.74646114751e-05,0.000399824237573,,,5.88368542138,0.0115113890602,3.08898554236e-05,0.710544863945,0.883271364029,0.99907920326,1.00169060259,1.10547917779,1.10086700384,-0.000314805360673,0.00952223909987
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.001953125,,1,1.74644786825e-05,0.000399864505818,,,5.57555476055,0.011511365294,3.08881500494e-05,0.710544556139,0.88327038314,0.999079474833,1.00169059012,1.10547283886,1.10086629864,-0.000314765398013,0.00952223926821
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.001953125,,1,1.75862609012e-05,3.68151882146e-05,,,5.68007456278,0.532633212893,3.18552599341e-05,0.0585343389668,0.423000640555,1.25616189491,1.48074825824,123.455851467,1.72279510503,-0.00134300374718,0.00952270408616
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.001953125,,1,1.75286252432e-05,4.49691998842e-05,,,5.68801885269,0.532633212618,3.18552163393e-05,0.198182741503,0.423000682943,1.12069850858,1.48074825848,115.584490101,1.72279510505,-0.001369599512,0.00952270407963
2Dvortex,hex,benchVortexEulerT2,euler+div:linearUpwind/grad(psi)+dc:3,,0.5,0.00390625,,1,1.52430969711e-05,0.000185729105701,,,0.979484618208,1.67300046974,0.000467500053681,0.996594395881,0.282802457889,0.999932786117,2.42045210868,1.00250868019,3.85086560875,-0.00181434667362,0.00372218584678
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.00390625,,1,2.63618541175e-05,0.00137268860561,,,4.23222309318,0.0309310231145,9.08619619351e-05,0.598092473061,0.771846275226,0.990359635959,1.00440309537,1.14748329316,1.21326555881,-0.000129660360688,0.00372750551422
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.00390625,,1,2.63536321634e-05,0.00137283773772,,,3.62997282664,0.0309271565331,9.10396349927e-05,0.598091715705,0.77184363537,0.990335990035,1.00439409998,1.14747045286,1.21326440989,-0.000126649528292,0.003727506078
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.00390625,,1,2.14512402687e-05,0.000214084996958,,,1.72722113072,0.535615616085,0.000106414104,0.376213978571,0.414312380439,1.04005749621,1.48509921485,50.8988539461,1.7291615684,6.79845195059e-05,0.00373479628484
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.00390625,,1,2.14457261347e-05,0.000214860591023,,,1.78677846677,0.535615616349,0.000106413260077,0.376351670895,0.414312721994,1.0402093442,1.4850992213,50.5466756474,1.7291615437,7.70998905904e-05,0.00373479626895
2Dvortex,hex,benchVortexEulerT2,euler+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0078125,,1,2.92246398607e-05,0.00122561546519,,,0.973422279031,1.67539615718,0.00181359768925,0.974918979217,0.290268035469,1.0021377818,2.40690383992,1.03333844394,3.93508960906,-0.00622080349433,0.0128561450161
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0078125,,1,0.000119150533748,0.00592480286796,,,2.33311087257,0.0958200614704,9.99111209309e-05,0.468423599653,0.646646918025,0.980818267567,1.04968337784,1.21636392985,1.27615299939,0.00529087770725,0.012828132323
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0078125,,1,0.000119233331839,0.00591040924597,,,2.41889746433,0.0958865798455,0.000103065395446,0.468455483878,0.646633439505,0.980891421832,1.04973316574,1.21628524656,1.27620081657,0.00525912633681,0.012828123027
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0078125,,1,4.67500530671e-05,0.000500260802897,,,0.768527294374,0.535540967683,0.000311669138906,0.420498144336,0.399884328743,0.835437615686,1.47818988242,1.62162321625,1.76747850368,-0.0154855736045,0.0128091820116
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.0078125,,1,4.67494353302e-05,0.000500263019793,,,0.768526141487,0.535541056553,0.000311655192176,0.420498161448,0.399885074042,0.83543760261,1.4781900635,1.62162582042,1.76747579974,-0.0154854506514,0.0128091808014
2Dvortex,hex,benchVortexEulerT2,euler+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,1,0.000259944803834,0.0215325408652,,,0.95305052787,1.63743507624,0.000457585484825,0.875758641742,0.260405730685,1.01045121673,2.35099472505,1.17932685976,3.95019048478,-0.011755676623,0.0443448404903
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,1,0.000530597477535,0.0577958014459,,,1.56939736537,0.171946445875,0.0334698994281,0.330426159848,0.463713112446,0.968188105156,1.10996862596,1.42098066696,1.32869451077,-0.0238742371728,0.0438169834991
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,1,0.000530583392575,0.0577980398293,,,1.50681872249,0.171957339033,0.0334537543919,0.330288808769,0.46420557179,0.968370824836,1.10996216828,1.41537698447,1.32837827846,-0.024113208158,0.0438144832903
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,1,0.000312867013041,0.00551291477047,,,0.489652373581,0.595843204781,0.0044766496604,0.38468400378,0.346162122572,0.868004997179,1.49818384951,1.51244793359,2.22650816004,0.0402196805845,0.043600899681
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.015625,,1,0.000312853418102,0.00551556567317,,,0.4896971631,0.595843590006,0.00447686470627,0.384688036534,0.346154856868,0.868008206492,1.49818384059,1.51244800666,2.22658916839,0.0402176137567,0.0436007928472
2Dvortex,hex,benchVortexEulerT2,euler+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.000784836311905,0.0257484321583,,,0.897568095508,1.22226933142,0.0516195168712,0.731876371834,0.187880126876,0.91494499884,1.88089265732,1.10437384656,3.46490103031,-0.103707186588,-0.0214747673854
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.0010883872232,0.0597275505177,,,1.18711885353,0.343815104763,0.0389685344764,0.241265951074,0.127574683838,0.823975636367,1.07056330436,1.39498791071,1.84521851332,-0.173981446577,-0.0255615237633
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.00108615526015,0.0602182701241,,,1.14660221568,0.343918334328,0.0389916872355,0.240830347116,0.127574706512,0.824837570494,1.07049615071,1.39561650696,1.84544957081,-0.176209270803,-0.0255461100249
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.00149833425378,0.147731825516,,,0.535258538163,0.683303856036,0.0486000527376,0.461733338476,0.251792977018,0.952693304522,1.51626196736,1.67741479903,2.43500258156,-0.0885854751877,-0.0248593817478
2Dvortex,hex,benchVortexEulerT2,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.03125,,1,0.00149839390918,0.147744338849,,,0.535267498872,0.683296745698,0.0486022444732,0.461739995126,0.251801700857,0.952702834737,1.51625407394,1.67742652018,2.43499685571,-0.0885875699001,-0.0248593965641
2Dvortex,hex,benchVortexEulerT8,euler+div:linearUpwind/grad(psi)+dc:3,,0.5,0.001953125,,1,0.000305098019869,0.0213847133702,,,4.92990630908,8.49925513407,0.00859034162717,0.846813484091,0.0728642687976,1.01366417518,8.94988462368,1.17501444864,13.6645146113,-0.00826791759374,0.00214952255433
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.001953125,,1,0.000726950831839,0.0877488303023,,,9.87486666843,0.196554259406,0.0312761627716,0.0578628110246,0.0172306461981,0.955348626047,1.09503534754,1.78083958274,1.44115356883,-0.00554463783596,0.00215300929756
2Dvortex,hex,benchVortexEulerT8,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,,0.5,0.001953125,,1,0.00072743580359,0.0878036845198,,,9.43117387304,0.196629853783,0.0312491640215,0.0576880798724,0.0172571458792,0.94896878507,1.09518400925,1.77787027591,1.44108444901,-0.0115229154118,0.00215294447123
