case,mesh,arm,T,study,reconstruction,cfl,nLevels,stableLevels,hMin,hMax,hLimit,shapeOrder,volumeOrder,gradientOrder,gradientBandOrder,gradientHalfOrder,gradientBandHalfOrder,volumeHalfOrder
2Dvortex,hex,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,2,benchVortexEulerT2,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,5,5,0.00195312,0.03125,,1.625,1.984,,,-0.605,1.228,2.913
2Dvortex,hex,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,2,benchVortexEulerT2,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,0.5,5,5,0.00195312,0.03125,,1.625,1.986,,,-0.583,1.228,2.913
2Dvortex,hex,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,2,benchVortexEulerT2,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,5,5,0.00195312,0.03125,,1.669,2.863,,,-0.863,0.087,2.655
2Dvortex,hex,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,2,benchVortexEulerT2,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,0.5,5,5,0.00195312,0.03125,,1.670,2.805,,,-0.869,0.087,2.655
2Dvortex,hex,euler+div:linearUpwind/grad(psi)+dc:3,2,benchVortexEulerT2,euler+div:linearUpwind/grad(psi)+dc:3,0.5,5,5,0.00195312,0.03125,,1.526,2.725,,,-0.030,-0.094,1.724
2Dvortex,hex,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,8,benchVortexEulerT8,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,5,5,0.00195312,0.03125,,0.883,1.005,,,-0.679,0.513,1.349
2Dvortex,hex,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,8,benchVortexEulerT8,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,0.5,5,5,0.00195312,0.03125,,0.884,1.007,,,-0.664,0.516,1.350
2Dvortex,hex,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,8,benchVortexEulerT8,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,5,1,0.03125,0.03125,0.015625,,,,,,,
2Dvortex,hex,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,8,benchVortexEulerT8,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,0.5,5,1,0.03125,0.03125,0.015625,,,,,,,
2Dvortex,hex,euler+div:linearUpwind/grad(psi)+dc:3,8,benchVortexEulerT8,euler+div:linearUpwind/grad(psi)+dc:3,0.5,5,5,0.00195312,0.03125,,1.179,1.702,,,-0.318,-0.857,1.981
2Dvortex,hex,euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,2,sdplsBetaSweep,euler+SDPLS:beta(0.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,7,1,0.00390625,0.00390625,,,,,,,,
2Dvortex,hex,euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,2,sdplsBetaSweep,euler+SDPLS:beta(1.5)/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,7,1,0.00390625,0.00390625,,,,,,,,
2Dvortex,hex,euler+SDPLS:beta(2)/simpleImp+div:linearUpwind/grad(psi)+dc:3,2,sdplsBetaSweep,euler+SDPLS:beta(2)/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,7,1,0.00390625,0.00390625,,,,,,,,
2Dvortex,hex,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,2,sdplsBetaSweep,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,7,1,0.00390625,0.00390625,,,,,,,,
2Dvortex,hex,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,1,sdplsConv2Dvortex,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,7,6,0.00390625,0.0222222,,,1.840,-0.565,0.785,-0.628,1.457,3.524
2Dvortex,hex,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,1,sdplsConv2Dvortex,euler+SDPLS:R/strictNegSp+div:linearUpwind/grad(psi)+dc:3,0.5,7,6,0.00390625,0.0222222,,,1.841,-0.554,0.785,-0.616,1.457,3.525
2Dvortex,hex,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,1,sdplsConv2Dvortex,euler+SDPLS:beta/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,7,7,0.00390625,0.03125,,,2.881,-0.135,-0.037,0.006,0.026,2.134
2Dvortex,hex,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,1,sdplsConv2Dvortex,euler+SDPLS:beta/strictNegSp+div:linearUpwind/grad(psi)+dc:3,0.5,7,7,0.00390625,0.03125,,,2.881,-0.142,-0.037,0.006,0.026,2.134
2Dvortex,hex,euler+div:linearUpwind/grad(psi)+dc:3,1,sdplsConv2Dvortex,euler+div:linearUpwind/grad(psi)+dc:3,0.5,7,5,0.00390625,0.015625,,,1.393,-0.045,-0.093,-0.008,0.012,1.031
2Dvortex,hex,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,1,sdplsOrderAblation,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi)+dc:3,0.5,7,6,0.00390625,0.0222222,,,1.840,-0.565,0.785,-0.628,1.457,3.524
2Dvortex,hex,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):clGauss+dc:3,1,sdplsOrderAblation,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):clGauss+dc:3,0.5,7,6,0.00390625,0.0222222,,,1.848,-0.590,0.785,-0.584,1.457,3.524
2Dvortex,hex,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):flLsq+dc:3,1,sdplsOrderAblation,euler+SDPLS:R/simpleImp+div:linearUpwind/grad(psi):flLsq+dc:3,0.5,7,4,0.00390625,0.0111111,,,0.365,-0.573,0.542,-0.598,-0.054,0.296
