method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,50.0,25.003778403717092,2.27836804497e+17,0.0253423290617,2.58684073809,3.4505965136e+17,18446537.6712,44064347.2242,1.13870170509,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,47.0,23.503551699494064,11.8089236218,0.0294849534988,2.85330277721,11.9138194663,8.69305585845,12.4335714635,1.75677525316,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.00390625,,1.0,37.0,18.5,1.00816705358e+34,0.0400660139895,4.6810484388,1.20544169475e+34,2.23380839888e+15,3.32165797091e+15,2.67473099787,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.00390625,,1.0,39.0,19.5,357.534228414,0.0251402954924,2.45996105828,436.037046841,11.1051036493,13.4667362059,2.21132544786,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,17.0,8.501472836683922,75801228296,0.0196212121953,1.78009629496,130162791701,9190.48104378,27462.4836616,0.632233882944,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,19.0,9.501646111587913,9.41162821035,0.0297283689824,2.94346001398,10.3460626996,5.80207360646,9.07614058522,1.55509504232,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,1.0,15.0,7.5,6.52963333276e+22,0.0373569411212,4.29489419615,8.10352357513e+22,6709270675.14,11145071836.7,1.97180744963,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,1.0,13.0,6.5,23.5597046234,0.0274794652683,2.62338266286,28.582708961,13.8147453365,20.997623929,1.74654312469,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,4.0,2.0,1085843.61299,0.0128904939891,0.829567337993,2230721.77855,42.7183297969,176.253671006,0.180955924186,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,10.0,5.0,7.86660981124,0.0262529291209,2.38947934761,8.92941812122,3.80604789309,6.07227178427,1.59860607906,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0078125,,1.0,4.0,2.0,5.6765377294e+14,0.0325857527825,3.63412960438,7.53432085768e+14,700907.902871,1420149.51017,1.35002190165,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0078125,,1.0,3.0,1.5,507.925248977,0.0268797023816,2.29844727552,669.275157677,4.8765809199,6.94748390239,1.39201219203,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.011111111111111112,,0.5,3.0,1.5,770.966628705,0.00740417480216,0.067457985842,2006.95877375,2.33520572506,6.6432740545,0.00779296108327,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.011111111111111112,,0.5,6.0,3.0,6.0062266279,0.0242387141934,2.25526827416,6.96323135963,2.42386577516,4.45041518385,1.49410178445,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.011111111111111112,,1.0,1.0,0.5,1341201816.44,0.0263964046324,2.73305490809,1943944046.17,1119.45830997,2671.50577641,0.931748086593,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.011111111111111112,,1.0,1.0,0.5,6.13908926165,0.0275045951423,2.38554847227,7.29064430583,3.11247401475,5.476906309,1.12225576638,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,7.50122107528,0.00514206115962,0.181978735764,22.480741229,1.09712751746,2.07753276186,0.0502561146758,0,0.271459433295,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,4.05058742474,0.0235243678898,2.18199754991,4.59873152021,1.70767202836,2.74527311815,1.53573573423,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,1.0,0.0,0.0,117456.405217,0.0165261556477,1.35046931954,204094.304269,10.9125333023,30.4702504917,0.447785876594,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,1.0,1.0,0.5,4.50834482547,0.0229170702065,1.87234367929,5.19832166746,1.8611361534,3.03789761414,1.09866638825,0,0,0,UpwindUext,,,,,,
