method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,31.0,15.502342610304597,0.0652648648655,9.18403481782e-05,0.000317561512051,0.000221222965861,0.980628841798,1.67337714784,0.0014097515566,0.999351415457,0.287896426564,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,46.0,23.003476131419724,2.27836804497e+17,0.0253423290617,2.58684073809,3.4505965136e+17,18446537.6712,44064347.2242,1.13870170509,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.00390625,,1.0,11.0,5.5,0.0657177913254,9.0621639344e-05,0.000749389779217,0.000417736783606,0.979818181431,1.66605101815,0.000977923289435,0.998893046055,0.287744786438,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.00390625,,1.0,29.0,14.5,1.00816705358e+34,0.0400660139895,4.6810484388,1.20544169475e+34,2.23380839888e+15,3.32165797091e+15,2.67473099787,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,7.0,3.5,0.0933693773116,0.000163660059461,0.00246598549599,0.00201434483792,0.975971501462,1.63182328315,0.0104969367302,0.99430084062,0.291751856325,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,5.0,2.5,1085843.61299,0.0128904939891,0.829567337993,2230721.77855,42.7183297969,176.253671006,0.180955924186,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0078125,,1.0,2.0,1.0,0.094246140604,0.000163660059461,0.00246598549599,0.00398685120228,0.973330435723,1.62456193771,0.00185498857942,0.989764420726,0.29027581667,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0078125,,1.0,3.0,1.5,5.6765377294e+14,0.0325857527825,3.63412960438,7.53432085768e+14,700907.902871,1420149.51017,1.35002190165,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,0.134408953207,0.000429171941265,0.0155941966997,0.0202716155115,0.961091230847,1.71542574693,0.0190603884973,0.979830203459,0.290302620748,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,0.5,1.0,0.5,7.50122107528,0.00514206115962,0.181978735764,22.480741229,1.09712751746,2.07753276186,0.0502561146758,0,0.271459433295,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,1.0,0.0,0.0,0.136096676185,0.000431303039803,0.0190603884973,0.0361210300929,0.955362650272,1.66580508709,0.012128004902,0.96856038668,0.287780190007,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,1.0,1.0,0.5,117456.405217,0.0165261556477,1.35046931954,204094.304269,10.9125333023,30.4702504917,0.447785876594,0,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.03125,,0.5,1.0,0.5014981418684025,0.19566747566,0.000821060587517,0.0514988072522,0.054796418055,0.918752144041,1.37254768881,0.121598727736,0.924543032958,0,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.0,0.0,0.470535328269,0.00225823973485,0.130760986005,1.01678708851,0.992504777509,1.54626056492,0.359938457379,0,0.0788506265064,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.03125,,1.0,0.0,0.0,0.199196352004,0.000948307277346,0.0655187913489,0.0772478193106,0.904199335086,0.324289407974,0.107578743639,0.861779118906,0.386841061726,0,UpwindUext,,,,,,
euler,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.03125,,1.0,0.0,0.0,4.12168636024,0.00741122752785,0.157288817766,9.63626553631,1.09515427363,0.663278563313,0.359938457379,0,0,0,UpwindUext,,,,,,
