case,mesh,reconstruction,cfl,h,maxCellSize,gradientError,shapeError,volumeError
2Dvortex,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.00390625,,0.0652648648655,7.85074304526e-07,8.01475158601e-05
2Dvortex,hex,uncachedQuadraticWeightedLeastSquares,1.0,0.00390625,,0.0657177913254,3.15628278726e-06,0.000127666655465
2Dvortex,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.0055248618784530384,,0.0778630831007,1.90834879625e-06,0.000187659261685
2Dvortex,hex,uncachedQuadraticWeightedLeastSquares,1.0,0.0055248618784530384,,0.0785281223756,4.55047137976e-06,0.000403572078362
2Dvortex,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.0078125,,0.0933693773116,4.61113368383e-06,0.000439119739931
2Dvortex,hex,uncachedQuadraticWeightedLeastSquares,1.0,0.0078125,,0.094246140604,1.1990789921e-05,0.00071769220677
2Dvortex,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.011111111111111112,,0.111842346053,1.27076894474e-05,0.000981165568429
2Dvortex,hex,uncachedQuadraticWeightedLeastSquares,1.0,0.011111111111111112,,0.113205256422,4.34092443977e-05,0.00266981480784
2Dvortex,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.015625,,0.134408953207,4.38463776306e-05,0.00477822723751
2Dvortex,hex,uncachedQuadraticWeightedLeastSquares,1.0,0.015625,,0.136096676185,0.000103465561149,0.0100237847517
2Dvortex,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.022222222222222223,,0.161469707636,0.00014519104995,0.0156225858616
2Dvortex,hex,uncachedQuadraticWeightedLeastSquares,1.0,0.022222222222222223,,0.164342544481,0.000250003294374,0.0269394627233
2Dvortex,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.03125,,0.19566747566,0.000305028748774,0.0292849823545
2Dvortex,hex,uncachedQuadraticWeightedLeastSquares,1.0,0.03125,,0.199196352004,0.000471385269889,0.0438357211438
3Dshear,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.0078125,,0.386768719877,4.43458557129e-05,0.000168304833715
3Dshear,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.0125,,0.384937350366,0.000240506032301,0.00966999504832
3Dshear,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.02,,0.376892776632,0.000663809576284,0.00226664380986
3Dshear,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.03125,,0.357754936701,0.0014812840972,0.0411874589572
3Ddeformation,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.00625,,0.506760654648,0.0005947265625,0.00971377212388
3Ddeformation,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.0078125,,0.490977996341,0.000874519348145,0.0118091639112
3Ddeformation,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.0125,,0.426453220898,0.00179636778775,0.0211020264591
3Ddeformation,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.02,,0.339291015789,0.00305132356254,0.0691252163236
3Ddeformation,hex,uncachedQuadraticWeightedLeastSquares,0.5,0.03125,,0.270687226195,0.00547398254216,0.182440779144
3Dshear,poly,uncachedQuadraticWeightedLeastSquares,0.5,0.02,0.02,1.78901601219,0.000956014848105,0.0117192263129
3Dshear,poly,uncachedQuadraticWeightedLeastSquares,0.5,0.03125,0.03125,1.20149131314,0.00161668998857,0.020830188928
3Ddeformation,poly,uncachedQuadraticWeightedLeastSquares,0.5,0.0078125,0.0078125,0.224858833901,0.000623226165771,0.00856834435299
3Ddeformation,poly,uncachedQuadraticWeightedLeastSquares,0.5,0.0125,0.0125,0.24349922281,0.00135406839549,0.0147889824135
3Ddeformation,poly,uncachedQuadraticWeightedLeastSquares,0.5,0.02,0.02,0.225100320228,0.00279168236613,0.09685472819
3Ddeformation,poly,uncachedQuadraticWeightedLeastSquares,0.5,0.03125,0.03125,0.209439366617,0.00467807518912,0.221089049291
