method,velocityExtension,reconstruction,redistancer,redistTrigger,solver,phaseIndicator,surfaceTensionForce,psiDdt,T,h,maxCellSize,cfl,totalClockTime,clockPerSimTime,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,gradientErrorMax,gradientErrorMaxHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,minStrainBand,meanStrainBand,maxStrainBand,minStrainBandHalf,meanStrainBandHalf,maxStrainBandHalf,sdplsBeta,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out,solverFailed,study,caseDir,np,gitCommit,runDate,oscillation,endTimeReached,lastTime,divPsi,divPsiGrad,divPsiGradScheme,gradPsiSdpls,gradUSdpls,nDefCorr,oscillationRendered
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,2,0.00390625,,0.5,61.0,30.5,0.0596800156541,1.1053645831e-06,3.9509324375e-05,0.000136297825185,0.980117839249,1.67337842919,0.83333023276,3.08061950406,0.0011568857744,0.999712745071,0.287907519221,0.999952096669,2.42990582687,1.00027870335,3.82622240929,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,traceGate2Dvortex,2Dvortex_00012,4,07953c2-dirty,2026-08-28T12:38:35+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,2,0.00390625,,0.5,100.0,50.0,0.0596799411339,1.10523502734e-06,3.95017485672e-05,0.000136277568256,0.980039418275,1.6731995249,0.833323145234,3.08042882368,0.00115659906526,0.99971277094,0.288057169145,0.999952086221,2.42976669552,1.00027860249,3.82572536199,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,traceGate2Dvortex,2Dvortex_00013,4,07953c2-dirty,2026-08-28T12:34:40+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,2,0.00390625,,0.5,4896.0,2448.0,0.059680035195,4.54770581055e-07,3.4911149003e-05,0.000131348969104,0.980074816904,1.67329333228,0.834354684362,3.0804264733,0.00114315779024,0.999722541845,0.288002256077,0.999962336219,2.42981851752,1.00019495626,3.82603611644,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,traceGate2Dvortex,2Dvortex_00014,4,07953c2-dirty,2026-08-28T12:39:51+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,2,0.00390625,,0.5,827.0,413.5,0.0596800507111,4.54689636393e-07,3.49027394853e-05,0.000131324082554,0.97999338195,1.67311671786,0.83434755112,3.08023444193,0.00114281068372,0.999722569093,0.288152689008,0.999962325108,2.42966605298,1.00019491053,3.825539131,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,traceGate2Dvortex,2Dvortex_00015,4,07953c2-dirty,2026-08-28T12:20:02+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,2,0.0078125,,0.5,9.0,4.5,0.0853411463545,4.71324553723e-06,0.000223447934919,0.00160692028792,0.974747897368,1.63175976835,0.811090764355,2.87692901019,0.0095028903469,0.994493190989,0.29174470384,0.999569268189,2.38044682586,1.0031400204,3.82401523276,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,traceGate2Dvortex,2Dvortex_00008,4,07953c2-dirty,2026-08-28T12:34:05+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,2,0.0078125,,0.5,9.0,4.5,0.0853404674453,4.71061440511e-06,0.00022332804102,0.00160492417612,0.974436846325,1.63116861481,0.811050150913,2.87492987643,0.00949119749391,0.994499043799,0.291054297239,0.999569396051,2.37995928284,1.00313460663,3.82192879279,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,traceGate2Dvortex,2Dvortex_00009,4,07953c2-dirty,2026-08-28T14:01:44+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,2,0.0078125,,0.5,41.0,20.5,0.0853405325667,3.66698003608e-06,0.000207959602275,0.00164157815347,0.974560747307,1.63153853009,0.812924042999,2.87625058912,0.00944059005945,0.994275013435,0.291314899491,0.999601430326,2.38018942108,1.00277576777,3.8232466631,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,traceGate2Dvortex,2Dvortex_00010,4,07953c2-dirty,2026-08-28T12:37:09+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,2,0.0078125,,0.5,43.0,21.5,0.0853403890609,3.66401157641e-06,0.000207829255959,0.00163960692734,0.974238633888,1.63038316362,0.812883075964,2.87425187545,0.00942924343711,0.994280975963,0.29063785628,0.999601553355,2.37932481473,1.00277054776,3.82116106314,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,traceGate2Dvortex,2Dvortex_00011,4,07953c2-dirty,2026-08-28T12:18:52+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,2,0.015625,,0.5,1.0,0.5,0.122714127471,4.43809385038e-05,0.00414055040158,0.0196955856783,0.957668051745,1.71511433515,0.79173228243,2.7002523144,0.00527383112618,0.980356363477,0.290396250355,1.00928280859,2.50487715465,1.05128300138,3.7002523144,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,traceGate2Dvortex,2Dvortex_00004,4,07953c2-dirty,2026-08-28T14:02:08+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
euler+div:linearUpwind/grad(psi)+dc:3,none,uncachedQuadraticWeightedLeastSquares,,,leiaSemiLagrangeLevelSetFoam,detrixheAslam,,,2,0.015625,,0.5,2.0,1.0,0.122707588701,4.42170226835e-05,0.00412104848701,0.0196267913718,0.956474745939,1.71248969015,0.791487046795,2.69310043889,0.00520796822791,0.98043627245,0.289148647746,1.009246257,2.50235150725,1.0511076066,3.69310043889,nan,nan,nan,nan,nan,nan,,0,UpwindUext,,,,,,,,traceGate2Dvortex,2Dvortex_00005,4,07953c2-dirty,2026-08-28T12:36:54+00:00,on,1,2,Gauss linearUpwind grad(psi),grad(psi),cellLimited leastSquares 1,leastSquares,Gauss linear,3,on
