case,mesh,study,arm,reconstruction,cfl,h,maxCellSize,stable,shapeError,volumeError,gradientError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,meanGradPsiBand,meanGradPsiBandHalf,maxGradPsiBand,maxGradPsiBandHalf,meanStrainBand,meanStrainBandHalf
2Dvortex,hex,uncachedConv2Dvortex,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.00390625,,1,1.1053645831e-06,3.9509324375e-05,,,0.980117839249,1.67337842919,0.0011568857744,0.999712745071,0.287907519221,0.999952096669,2.42990582687,1.00027870335,3.82622240929,nan,nan
2Dvortex,hex,uncachedConv2Dvortex,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,1.0,0.00390625,,1,4.30979059033e-06,4.66876011193e-05,,,0.979326348305,1.66606823026,0.000922816806123,0.999530082642,0.287765188753,0.999993369989,2.41980283924,1.00088322394,3.82633440794,nan,nan
2Dvortex,hex,uncachedConv2Dvortex,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.0055248618784530384,,1,1.96602027453e-06,0.000110126925784,,,0.978061370005,1.63276687987,0.000897911253273,0.999228545334,0.314848105831,0.999978441876,2.38861083406,1.00074804339,3.83390463749,nan,nan
2Dvortex,hex,uncachedConv2Dvortex,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,1.0,0.0055248618784530384,,1,6.70818058294e-06,0.00024575834755,,,0.976583483235,1.63715778258,0.000190861021914,0.997198352799,0.313986655345,0.999903164615,2.39575021643,1.00240827751,3.83388943973,nan,nan
2Dvortex,hex,uncachedConv2Dvortex,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.0078125,,1,4.71324553723e-06,0.000223447934919,,,0.974747897368,1.63175976835,0.0095028903469,0.994493190989,0.29174470384,0.999569268189,2.38044682586,1.0031400204,3.82401523276,nan,nan
2Dvortex,hex,uncachedConv2Dvortex,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,1.0,0.0078125,,1,1.62047247226e-05,5.39637953763e-05,,,0.972155745323,1.62453100485,0.00670760950564,0.989777999538,0.290256294268,0.999754325786,2.3725617675,1.00984244899,3.82341810397,nan,nan
2Dvortex,hex,uncachedConv2Dvortex,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.011111111111111112,,1,1.37899637784e-05,0.000617656003301,,,0.968624652222,1.70784690194,0.00944864545724,0.992863329664,0.288003226059,1.00157709524,2.49240632137,1.0147596653,3.75947428607,nan,nan
2Dvortex,hex,uncachedConv2Dvortex,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,1.0,0.011111111111111112,,1,5.07063305186e-05,0.00198823540916,,,0.965218557045,1.6611221996,0.0083569072155,0.991006059205,0.285639174527,1.00688386793,2.44719351972,1.04315861246,3.75918587291,nan,nan
2Dvortex,hex,uncachedConv2Dvortex,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,0.5,0.015625,,1,4.43809385038e-05,0.00414055040158,,,0.957668051745,1.71511433515,0.00527383112618,0.980356363477,0.290396250355,1.00928280859,2.50487715465,1.05128300138,3.7002523144,nan,nan
2Dvortex,hex,uncachedConv2Dvortex,uncachedQuadraticWeightedLeastSquares,uncachedQuadraticWeightedLeastSquares,1.0,0.015625,,1,0.000107837060348,0.00910269866569,,,0.952124713677,1.66912111967,0.00224248904081,0.969460666923,0.287930905018,1.01726977283,2.461950371,1.09244178421,3.69699915751,nan,nan
