velocityExtension,reconstruction,solver,phaseIndicator,T,h,maxCellSize,cfl,gradientError,shapeError,volumeError,gradientErrorBand,gradientErrorHalf,gradientErrorBandHalf,volumeErrorHalf,minGradPsiBand,minGradPsiBandHalf,anchorLayers,uextDiv,eNormalL2,eNormalLinf,eNormalRawL2,ratioL2,eNormalL2In,eNormalL2Out
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.00390625,,0.5,0.0652648648655,7.85074304526e-07,8.01475158601e-05,0.00022194118318,0.980628841798,1.67337714784,0.00113657061213,0.999351415457,0.287896426564,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.00390625,,1.0,0.0657177913254,3.15628278726e-06,0.000127666655465,0.000417736783606,0.979818181431,1.66605101815,0.000883033544028,0.998893046055,0.287744786438,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,0.5,0.0778630831007,1.90834879625e-06,0.000187659261685,0.000445603597742,0.978847981203,1.6327422178,0.000936739387692,0.99894455408,0.314839591756,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0055248618784530384,,1.0,0.0785281223756,4.55047137976e-06,0.000403572078362,0.000875630767214,0.977347976112,1.63711979137,0.000117028533144,0.996942419912,0.313978124369,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0078125,,0.5,0.0933693773116,4.61113368383e-06,0.000439119739931,0.00201434483792,0.975971501462,1.63182328315,0.00938705120965,0.99430084062,0.291751856325,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.0078125,,1.0,0.094246140604,1.1990789921e-05,0.00071769220677,0.00398685120228,0.973330435723,1.62456193771,0.00648361414617,0.989764420726,0.29027581667,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.011111111111111112,,0.5,0.111842346053,1.27076894474e-05,0.000981165568429,0.00551518777263,0.97053170352,1.70777861501,0.00927847758461,0.992535182982,0.156703447376,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.011111111111111112,,1.0,0.113205256422,4.34092443977e-05,0.00266981480784,0.0140300858567,0.967000723317,1.66117488013,0.00804070689694,0.990810190492,0.152009217281,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,0.5,0.134408953207,4.38463776306e-05,0.00477822723751,0.0202716155115,0.961091230847,1.71542574693,0.00562816941833,0.979830203459,0.290302620748,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.015625,,1.0,0.136096676185,0.000103465561149,0.0100237847517,0.0361210300929,0.955362650272,1.66580508709,0.00288992449995,0.96856038668,0.287780190007,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.022222222222222223,,0.5,0.161469707636,0.00014519104995,0.0156225858616,0.0426140012148,0.945300152991,1.55923130128,0.0262107827664,0.950939971471,0.114562108695,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.022222222222222223,,1.0,0.164342544481,0.000250003294374,0.0269394627233,0.0569766243808,0.935047355422,1.50557861123,0.0172149874951,0.928788992885,0.105356776434,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.03125,,0.5,0.19566747566,0.000305028748774,0.0292849823545,0.0578419426149,0.918752144041,1.37254768881,0.0468357585699,0.894154309793,0,0,UpwindUext,,,,,,
none,uncachedQuadraticWeightedLeastSquares,leiaSemiLagrangeLevelSetFoam,detrixheAslam,2,0.03125,,1.0,0.199196352004,0.000471385269889,0.0438357211438,0.0772478193106,0.904199335086,1.3074868639,0.0261356964121,0.861779118906,0,0,UpwindUext,,,,,,
